sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
93902,R_6tnuysbuzF9kM88,1,26,12,-0.043700,0.15,1,1,true,10880,Trend,P,training
93902,R_6tnuysbuzF9kM88,2,39,22,0.043700,0.15,1,1,false,11435,Trend,P,training
93902,R_6tnuysbuzF9kM88,3,54,20,0.221700,0.15,1,1,true,3668,Trend,Q,training
93902,R_6tnuysbuzF9kM88,4,25,10,-0.043700,0.15,1,1,false,4290,Trend,Q,training
93902,R_6tnuysbuzF9kM88,5,24,8,-0.043700,0.15,1,1,true,2953,Trend,P,training
93902,R_6tnuysbuzF9kM88,6,27,14,-0.043700,0.15,1,1,false,4092,Trend,Q,training
93902,R_6tnuysbuzF9kM88,7,59,14,0.315300,0.15,1,1,true,2445,Trend,Q,training
93902,R_6tnuysbuzF9kM88,8,37,18,0.043700,0.15,1,1,true,2484,Trend,Q,training
93902,R_6tnuysbuzF9kM88,9,10,12,-0.221700,0.15,1,1,true,1440,Trend,P,training
93902,R_6tnuysbuzF9kM88,10,49,10,0.221700,0.15,1,1,true,1190,Trend,Q,training
93902,R_6tnuysbuzF9kM88,11,425,18,0.221700,0.15,1,1,true,2152,Trend,Q,main
93902,R_6tnuysbuzF9kM88,12,181,20,-0.131700,0.15,1,1,true,971,Trend,P,main
93902,R_6tnuysbuzF9kM88,13,463,10,0.315300,0.15,1,1,true,749,Trend,Q,main
93902,R_6tnuysbuzF9kM88,14,26,14,-0.315300,0.15,1,1,true,583,Trend,P,main
93902,R_6tnuysbuzF9kM88,15,83,12,-0.221700,0.15,1,1,true,835,Trend,P,main
93902,R_6tnuysbuzF9kM88,16,438,20,0.221700,0.15,1,1,true,558,Trend,Q,main
93902,R_6tnuysbuzF9kM88,17,253,22,-0.043700,0.15,1,1,true,1781,Trend,P,main
93902,R_6tnuysbuzF9kM88,18,213,12,-0.043700,0.15,1,1,true,1047,Trend,P,main
93902,R_6tnuysbuzF9kM88,19,342,12,0.131700,0.15,1,1,true,630,Trend,Q,main
93902,R_6tnuysbuzF9kM88,20,161,16,-0.131700,0.15,1,1,true,806,Trend,P,main
93902,R_6tnuysbuzF9kM88,21,239,18,-0.043700,0.15,1,1,true,792,Trend,P,main
93902,R_6tnuysbuzF9kM88,22,507,22,0.315300,0.15,1,1,true,721,Trend,Q,main
93902,R_6tnuysbuzF9kM88,23,14,10,-0.315300,0.15,1,1,true,515,Trend,P,main
93902,R_6tnuysbuzF9kM88,24,476,14,0.315300,0.15,1,1,true,599,Trend,Q,main
93902,R_6tnuysbuzF9kM88,25,130,8,-0.131700,0.15,1,1,true,584,Trend,P,main
93902,R_6tnuysbuzF9kM88,26,6,8,-0.315300,0.15,1,1,true,522,Trend,P,main
93902,R_6tnuysbuzF9kM88,27,112,20,-0.221700,0.15,1,1,true,807,Trend,P,main
93902,R_6tnuysbuzF9kM88,28,479,14,0.315300,0.15,1,1,true,620,Trend,Q,main
93902,R_6tnuysbuzF9kM88,29,18,12,-0.315300,0.15,1,1,true,402,Trend,P,main
93902,R_6tnuysbuzF9kM88,30,452,8,0.315300,0.15,1,1,true,489,Trend,Q,main
93902,R_6tnuysbuzF9kM88,31,377,22,0.131700,0.15,1,1,false,530,Trend,P,main
93902,R_6tnuysbuzF9kM88,32,475,14,0.315300,0.15,1,1,true,383,Trend,Q,main
93902,R_6tnuysbuzF9kM88,33,310,20,0.043700,0.15,1,1,false,579,Trend,P,main
93902,R_6tnuysbuzF9kM88,34,404,12,0.221700,0.15,1,1,true,543,Trend,Q,main
93902,R_6tnuysbuzF9kM88,35,111,18,-0.221700,0.15,1,1,true,432,Trend,P,main
93902,R_6tnuysbuzF9kM88,36,90,14,-0.221700,0.15,1,1,true,629,Trend,P,main
93902,R_6tnuysbuzF9kM88,37,469,12,0.315300,0.15,1,1,true,526,Trend,Q,main
93902,R_6tnuysbuzF9kM88,38,184,22,-0.131700,0.15,1,1,true,560,Trend,P,main
93902,R_6tnuysbuzF9kM88,39,488,18,0.315300,0.15,1,1,false,542,Trend,P,main
93902,R_6tnuysbuzF9kM88,40,84,12,-0.221700,0.15,1,1,true,6951,Trend,P,main
93902,R_6tnuysbuzF9kM88,41,27,14,-0.315300,0.15,1,1,true,1131,Trend,P,main
93902,R_6tnuysbuzF9kM88,42,244,20,-0.043700,0.15,1,1,true,1031,Trend,P,main
93902,R_6tnuysbuzF9kM88,43,402,12,0.221700,0.15,1,1,true,787,Trend,Q,main
93902,R_6tnuysbuzF9kM88,44,504,22,0.315300,0.15,1,1,true,993,Trend,Q,main
93902,R_6tnuysbuzF9kM88,45,82,12,-0.221700,0.15,1,1,true,519,Trend,P,main
93902,R_6tnuysbuzF9kM88,46,103,16,-0.221700,0.15,1,1,true,545,Trend,P,main
93902,R_6tnuysbuzF9kM88,47,390,8,0.221700,0.15,1,1,true,441,Trend,Q,main
93902,R_6tnuysbuzF9kM88,48,433,20,0.221700,0.15,1,1,true,559,Trend,Q,main
93902,R_6tnuysbuzF9kM88,49,50,20,-0.315300,0.15,1,1,true,533,Trend,P,main
93902,R_6tnuysbuzF9kM88,50,126,22,-0.221700,0.15,1,1,true,499,Trend,P,main
93902,R_6tnuysbuzF9kM88,51,23,12,-0.315300,0.15,1,1,true,466,Trend,P,main
93902,R_6tnuysbuzF9kM88,52,250,22,-0.043700,0.15,1,1,true,1110,Trend,P,main
93902,R_6tnuysbuzF9kM88,53,232,18,-0.043700,0.15,1,1,false,813,Trend,Q,main
93902,R_6tnuysbuzF9kM88,54,423,16,0.221700,0.15,1,1,true,839,Trend,Q,main
93902,R_6tnuysbuzF9kM88,55,442,22,0.221700,0.15,1,1,true,879,Trend,Q,main
93902,R_6tnuysbuzF9kM88,56,19,12,-0.315300,0.15,1,1,true,592,Trend,P,main
93902,R_6tnuysbuzF9kM88,57,261,8,0.043700,0.15,1,1,true,1147,Trend,Q,main
93902,R_6tnuysbuzF9kM88,58,63,22,-0.315300,0.15,1,1,true,821,Trend,P,main
93902,R_6tnuysbuzF9kM88,59,216,14,-0.043700,0.15,1,1,false,1750,Trend,Q,main
93902,R_6tnuysbuzF9kM88,60,36,16,-0.315300,0.15,1,1,true,609,Trend,P,main
93902,R_6tnuysbuzF9kM88,61,416,16,0.221700,0.15,1,1,true,681,Trend,Q,main
93902,R_6tnuysbuzF9kM88,62,3,8,-0.315300,0.15,1,1,true,542,Trend,P,main
93902,R_6tnuysbuzF9kM88,63,47,18,-0.315300,0.15,1,1,true,671,Trend,P,main
93902,R_6tnuysbuzF9kM88,64,4,8,-0.315300,0.15,1,1,true,661,Trend,P,main
93902,R_6tnuysbuzF9kM88,65,362,18,0.131700,0.15,1,1,true,500,Trend,Q,main
93902,R_6tnuysbuzF9kM88,66,91,14,-0.221700,0.15,1,1,true,456,Trend,P,main
93902,R_6tnuysbuzF9kM88,67,313,22,0.043700,0.15,1,1,true,671,Trend,Q,main
93902,R_6tnuysbuzF9kM88,68,397,10,0.221700,0.15,1,1,true,706,Trend,Q,main
93902,R_6tnuysbuzF9kM88,69,195,8,-0.043700,0.15,1,1,false,669,Trend,Q,main
93902,R_6tnuysbuzF9kM88,70,265,10,0.043700,0.15,1,1,true,642,Trend,Q,main
93902,R_6tnuysbuzF9kM88,71,356,16,0.131700,0.15,1,1,true,1206,Trend,Q,main
93902,R_6tnuysbuzF9kM88,72,466,12,0.315300,0.15,1,1,true,596,Trend,Q,main
93902,R_6tnuysbuzF9kM88,73,311,20,0.043700,0.15,1,1,true,1339,Trend,Q,main
93902,R_6tnuysbuzF9kM88,74,20,12,-0.315300,0.15,1,1,true,624,Trend,P,main
93902,R_6tnuysbuzF9kM88,75,72,10,-0.221700,0.15,1,1,true,595,Trend,P,main
93902,R_6tnuysbuzF9kM88,76,60,22,-0.315300,0.15,1,1,true,536,Trend,P,main
93902,R_6tnuysbuzF9kM88,77,236,18,-0.043700,0.15,1,1,true,1162,Trend,P,main
93902,R_6tnuysbuzF9kM88,78,246,20,-0.043700,0.15,1,1,false,2325,Trend,Q,main
93902,R_6tnuysbuzF9kM88,79,94,14,-0.221700,0.15,1,1,false,1360,Trend,Q,main
93902,R_6tnuysbuzF9kM88,80,484,16,0.315300,0.15,1,1,true,732,Trend,Q,main
93902,R_6tnuysbuzF9kM88,81,104,18,-0.221700,0.15,1,1,true,645,Trend,P,main
93902,R_6tnuysbuzF9kM88,82,319,22,0.043700,0.15,1,1,true,527,Trend,Q,main
93902,R_6tnuysbuzF9kM88,83,117,20,-0.221700,0.15,1,1,true,519,Trend,P,main
93902,R_6tnuysbuzF9kM88,84,267,10,0.043700,0.15,1,1,true,930,Trend,Q,main
93902,R_6tnuysbuzF9kM88,85,31,14,-0.315300,0.15,1,1,true,798,Trend,P,main
93902,R_6tnuysbuzF9kM88,86,105,18,-0.221700,0.15,1,1,true,785,Trend,P,main
93902,R_6tnuysbuzF9kM88,87,37,16,-0.315300,0.15,1,1,true,626,Trend,P,main
93902,R_6tnuysbuzF9kM88,88,118,20,-0.221700,0.15,1,1,true,1063,Trend,P,main
93902,R_6tnuysbuzF9kM88,89,262,8,0.043700,0.15,1,1,true,670,Trend,Q,main
93902,R_6tnuysbuzF9kM88,90,492,18,0.315300,0.15,1,1,true,661,Trend,Q,main
93902,R_6tnuysbuzF9kM88,91,415,14,0.221700,0.15,1,1,true,470,Trend,Q,main
93902,R_6tnuysbuzF9kM88,92,448,8,0.315300,0.15,1,1,true,477,Trend,Q,main
93902,R_6tnuysbuzF9kM88,93,151,12,-0.131700,0.15,1,1,true,616,Trend,P,main
93902,R_6tnuysbuzF9kM88,94,186,22,-0.131700,0.15,1,1,true,798,Trend,P,main
93902,R_6tnuysbuzF9kM88,95,384,8,0.221700,0.15,1,1,true,702,Trend,Q,main
93902,R_6tnuysbuzF9kM88,96,286,14,0.043700,0.15,1,1,true,774,Trend,Q,main
93902,R_6tnuysbuzF9kM88,97,65,8,-0.221700,0.15,1,1,true,1135,Trend,P,main
93902,R_6tnuysbuzF9kM88,98,203,10,-0.043700,0.15,1,1,true,1296,Trend,P,main
93902,R_6tnuysbuzF9kM88,99,284,14,0.043700,0.15,1,1,true,446,Trend,Q,main
93902,R_6tnuysbuzF9kM88,100,456,10,0.315300,0.15,1,1,true,469,Trend,Q,main
93902,R_6tnuysbuzF9kM88,101,378,22,0.131700,0.15,1,1,true,867,Trend,Q,main
93902,R_6tnuysbuzF9kM88,102,350,14,0.131700,0.15,1,1,true,599,Trend,Q,main
93902,R_6tnuysbuzF9kM88,103,98,16,-0.221700,0.15,1,1,true,561,Trend,P,main
93902,R_6tnuysbuzF9kM88,104,279,12,0.043700,0.15,1,1,true,557,Trend,Q,main
93902,R_6tnuysbuzF9kM88,105,67,8,-0.221700,0.15,1,1,true,691,Trend,P,main
93902,R_6tnuysbuzF9kM88,106,324,8,0.131700,0.15,1,1,true,647,Trend,Q,main
93902,R_6tnuysbuzF9kM88,107,55,20,-0.315300,0.15,1,1,true,662,Trend,P,main
93902,R_6tnuysbuzF9kM88,108,32,16,-0.315300,0.15,1,1,true,580,Trend,P,main
93902,R_6tnuysbuzF9kM88,109,464,12,0.315300,0.15,1,1,true,546,Trend,Q,main
93902,R_6tnuysbuzF9kM88,110,383,22,0.131700,0.15,1,1,true,469,Trend,Q,main
93902,R_6tnuysbuzF9kM88,111,392,10,0.221700,0.15,1,1,true,551,Trend,Q,main
93902,R_6tnuysbuzF9kM88,112,275,12,0.043700,0.15,1,1,false,1412,Trend,P,main
93902,R_6tnuysbuzF9kM88,113,263,8,0.043700,0.15,1,1,true,733,Trend,Q,main
93902,R_6tnuysbuzF9kM88,114,121,22,-0.221700,0.15,1,1,true,692,Trend,P,main
93902,R_6tnuysbuzF9kM88,115,444,22,0.221700,0.15,1,1,true,607,Trend,Q,main
93902,R_6tnuysbuzF9kM88,116,281,14,0.043700,0.15,1,1,true,526,Trend,Q,main
93902,R_6tnuysbuzF9kM88,117,414,14,0.221700,0.15,1,1,false,447,Trend,P,main
93902,R_6tnuysbuzF9kM88,118,323,8,0.131700,0.15,1,1,true,669,Trend,Q,main
93902,R_6tnuysbuzF9kM88,119,137,10,-0.131700,0.15,1,1,true,584,Trend,P,main
93902,R_6tnuysbuzF9kM88,120,44,18,-0.315300,0.15,1,1,true,648,Trend,P,main
93902,R_6tnuysbuzF9kM88,121,472,14,0.315300,0.15,1,1,true,482,Trend,Q,main
93902,R_6tnuysbuzF9kM88,122,140,10,-0.131700,0.15,1,1,true,466,Trend,P,main
93902,R_6tnuysbuzF9kM88,123,51,20,-0.315300,0.15,1,1,true,588,Trend,P,main
93902,R_6tnuysbuzF9kM88,124,316,22,0.043700,0.15,1,1,true,447,Trend,Q,main
93902,R_6tnuysbuzF9kM88,125,134,8,-0.131700,0.15,1,1,true,603,Trend,P,main
93902,R_6tnuysbuzF9kM88,126,245,20,-0.043700,0.15,1,1,true,2287,Trend,P,main
93902,R_6tnuysbuzF9kM88,127,52,20,-0.315300,0.15,1,1,true,516,Trend,P,main
93902,R_6tnuysbuzF9kM88,128,170,18,-0.131700,0.15,1,1,true,605,Trend,P,main
93902,R_6tnuysbuzF9kM88,129,473,14,0.315300,0.15,1,1,true,527,Trend,Q,main
93902,R_6tnuysbuzF9kM88,130,344,14,0.131700,0.15,1,1,true,544,Trend,Q,main
93902,R_6tnuysbuzF9kM88,131,10,10,-0.315300,0.15,1,1,true,451,Trend,P,main
93902,R_6tnuysbuzF9kM88,132,41,18,-0.315300,0.15,1,1,true,543,Trend,P,main
93902,R_6tnuysbuzF9kM88,133,238,18,-0.043700,0.15,1,1,false,1089,Trend,Q,main
