sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
95942,R_7DdTh4zTJlr2qHG,1,19,14,-0.131700,0.15,1,1,false,1807,Trend,Q,training
95942,R_7DdTh4zTJlr2qHG,2,52,16,0.221700,0.15,1,1,true,11198,Trend,Q,training
95942,R_7DdTh4zTJlr2qHG,3,33,10,0.043700,0.15,1,1,false,1217,Trend,P,training
95942,R_7DdTh4zTJlr2qHG,4,21,18,-0.131700,0.15,1,1,true,950,Trend,P,training
95942,R_7DdTh4zTJlr2qHG,5,41,10,0.131700,0.15,1,1,true,1404,Trend,Q,training
95942,R_7DdTh4zTJlr2qHG,6,30,20,-0.043700,0.15,1,1,true,1266,Trend,P,training
95942,R_7DdTh4zTJlr2qHG,7,7,22,-0.315300,0.15,1,1,true,1168,Trend,P,training
95942,R_7DdTh4zTJlr2qHG,8,2,12,-0.315300,0.15,1,1,true,834,Trend,P,training
95942,R_7DdTh4zTJlr2qHG,9,26,12,-0.043700,0.15,1,1,true,1824,Trend,P,training
95942,R_7DdTh4zTJlr2qHG,10,46,20,0.131700,0.15,1,1,false,1581,Trend,P,training
95942,R_7DdTh4zTJlr2qHG,11,288,16,0.043700,0.15,1,1,false,969,Trend,P,main
95942,R_7DdTh4zTJlr2qHG,12,83,12,-0.221700,0.15,1,1,false,1115,Trend,Q,main
95942,R_7DdTh4zTJlr2qHG,13,194,8,-0.043700,0.15,1,1,false,878,Trend,Q,main
95942,R_7DdTh4zTJlr2qHG,14,65,8,-0.221700,0.15,1,1,false,1471,Trend,Q,main
95942,R_7DdTh4zTJlr2qHG,15,373,20,0.131700,0.15,1,1,false,841,Trend,P,main
95942,R_7DdTh4zTJlr2qHG,16,229,16,-0.043700,0.15,1,1,false,1411,Trend,Q,main
95942,R_7DdTh4zTJlr2qHG,17,507,22,0.315300,0.15,1,1,false,1560,Trend,P,main
95942,R_7DdTh4zTJlr2qHG,18,485,16,0.315300,0.15,1,1,false,934,Trend,P,main
95942,R_7DdTh4zTJlr2qHG,19,318,22,0.043700,0.15,1,1,false,1545,Trend,P,main
95942,R_7DdTh4zTJlr2qHG,20,223,14,-0.043700,0.15,1,1,false,902,Trend,Q,main
95942,R_7DdTh4zTJlr2qHG,21,457,10,0.315300,0.15,1,1,false,1127,Trend,P,main
95942,R_7DdTh4zTJlr2qHG,22,263,8,0.043700,0.15,1,1,true,950,Trend,Q,main
95942,R_7DdTh4zTJlr2qHG,23,56,22,-0.315300,0.15,1,1,true,1537,Trend,P,main
95942,R_7DdTh4zTJlr2qHG,24,418,16,0.221700,0.15,1,1,true,939,Trend,Q,main
95942,R_7DdTh4zTJlr2qHG,25,465,12,0.315300,0.15,1,1,true,1508,Trend,Q,main
95942,R_7DdTh4zTJlr2qHG,26,337,12,0.131700,0.15,1,1,false,839,Trend,P,main
95942,R_7DdTh4zTJlr2qHG,27,439,20,0.221700,0.15,1,1,true,1640,Trend,Q,main
95942,R_7DdTh4zTJlr2qHG,28,38,16,-0.315300,0.15,1,1,true,844,Trend,P,main
95942,R_7DdTh4zTJlr2qHG,29,110,18,-0.221700,0.15,1,1,true,825,Trend,P,main
95942,R_7DdTh4zTJlr2qHG,30,459,10,0.315300,0.15,1,1,true,1104,Trend,Q,main
95942,R_7DdTh4zTJlr2qHG,31,210,12,-0.043700,0.15,1,1,false,1730,Trend,Q,main
95942,R_7DdTh4zTJlr2qHG,32,134,8,-0.131700,0.15,1,1,true,1240,Trend,P,main
95942,R_7DdTh4zTJlr2qHG,33,292,16,0.043700,0.15,1,1,false,1111,Trend,P,main
95942,R_7DdTh4zTJlr2qHG,34,298,18,0.043700,0.15,1,1,false,699,Trend,P,main
95942,R_7DdTh4zTJlr2qHG,35,100,16,-0.221700,0.15,1,1,true,672,Trend,P,main
95942,R_7DdTh4zTJlr2qHG,36,92,14,-0.221700,0.15,1,1,true,507,Trend,P,main
95942,R_7DdTh4zTJlr2qHG,37,455,8,0.315300,0.15,1,1,true,597,Trend,Q,main
95942,R_7DdTh4zTJlr2qHG,38,60,22,-0.315300,0.15,1,1,true,1004,Trend,P,main
95942,R_7DdTh4zTJlr2qHG,39,448,8,0.315300,0.15,1,1,true,642,Trend,Q,main
95942,R_7DdTh4zTJlr2qHG,40,94,14,-0.221700,0.15,1,1,true,1368,Trend,P,main
95942,R_7DdTh4zTJlr2qHG,41,428,18,0.221700,0.15,1,1,true,715,Trend,Q,main
95942,R_7DdTh4zTJlr2qHG,42,23,12,-0.315300,0.15,1,1,true,705,Trend,P,main
95942,R_7DdTh4zTJlr2qHG,43,269,10,0.043700,0.15,1,1,true,841,Trend,Q,main
95942,R_7DdTh4zTJlr2qHG,44,179,20,-0.131700,0.15,1,1,false,884,Trend,Q,main
95942,R_7DdTh4zTJlr2qHG,45,260,8,0.043700,0.15,1,1,true,1030,Trend,Q,main
95942,R_7DdTh4zTJlr2qHG,46,474,14,0.315300,0.15,1,1,true,1063,Trend,Q,main
