sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
96846,R_7Q0leQhv8odtGBB,1,48,8,0.221700,0.15,2,2,true,9378,Number,Q,training
96846,R_7Q0leQhv8odtGBB,2,45,18,0.131700,0.15,2,2,true,1570,Number,P,training
96846,R_7Q0leQhv8odtGBB,3,57,10,0.315300,0.15,2,2,true,1051,Number,Q,training
96846,R_7Q0leQhv8odtGBB,4,63,22,0.315300,0.15,2,2,true,958,Number,P,training
96846,R_7Q0leQhv8odtGBB,5,27,14,-0.043700,0.15,2,2,true,1729,Number,Q,training
96846,R_7Q0leQhv8odtGBB,6,54,20,0.221700,0.15,2,2,true,1281,Number,P,training
96846,R_7Q0leQhv8odtGBB,7,18,12,-0.131700,0.15,2,2,true,1041,Number,Q,training
96846,R_7Q0leQhv8odtGBB,8,0,8,-0.315300,0.15,2,2,true,905,Number,Q,training
96846,R_7Q0leQhv8odtGBB,9,25,10,-0.043700,0.15,2,2,true,1436,Number,Q,training
96846,R_7Q0leQhv8odtGBB,10,59,14,0.315300,0.15,2,2,false,1167,Number,P,training
96846,R_7Q0leQhv8odtGBB,11,209,12,-0.043700,0.15,2,2,true,955,Number,Q,main
96846,R_7Q0leQhv8odtGBB,12,279,12,0.043700,0.15,2,2,false,1228,Number,P,main
96846,R_7Q0leQhv8odtGBB,13,369,20,0.131700,0.15,2,2,true,699,Number,P,main
96846,R_7Q0leQhv8odtGBB,14,464,12,0.315300,0.15,2,2,true,749,Number,Q,main
96846,R_7Q0leQhv8odtGBB,15,352,16,0.131700,0.15,2,2,false,1994,Number,Q,main
96846,R_7Q0leQhv8odtGBB,16,97,16,-0.221700,0.15,2,2,false,848,Number,Q,main
96846,R_7Q0leQhv8odtGBB,17,337,12,0.131700,0.15,2,2,true,2030,Number,Q,main
96846,R_7Q0leQhv8odtGBB,18,506,22,0.315300,0.15,2,2,true,731,Number,P,main
96846,R_7Q0leQhv8odtGBB,19,210,12,-0.043700,0.15,2,2,true,1031,Number,Q,main
96846,R_7Q0leQhv8odtGBB,20,329,10,0.131700,0.15,2,2,true,632,Number,Q,main
96846,R_7Q0leQhv8odtGBB,21,247,20,-0.043700,0.15,2,2,true,721,Number,P,main
96846,R_7Q0leQhv8odtGBB,22,364,18,0.131700,0.15,2,2,true,1496,Number,P,main
96846,R_7Q0leQhv8odtGBB,23,304,20,0.043700,0.15,2,2,true,683,Number,P,main
96846,R_7Q0leQhv8odtGBB,24,485,16,0.315300,0.15,2,2,true,920,Number,P,main
96846,R_7Q0leQhv8odtGBB,25,429,18,0.221700,0.15,2,2,true,881,Number,P,main
96846,R_7Q0leQhv8odtGBB,26,79,10,-0.221700,0.15,2,2,true,618,Number,Q,main
96846,R_7Q0leQhv8odtGBB,27,391,8,0.221700,0.15,2,2,true,741,Number,Q,main
96846,R_7Q0leQhv8odtGBB,28,183,20,-0.131700,0.15,2,2,true,841,Number,P,main
96846,R_7Q0leQhv8odtGBB,29,445,22,0.221700,0.15,2,2,true,821,Number,P,main
96846,R_7Q0leQhv8odtGBB,30,349,14,0.131700,0.15,2,2,false,1301,Number,P,main
96846,R_7Q0leQhv8odtGBB,31,17,12,-0.315300,0.15,2,2,true,622,Number,Q,main
96846,R_7Q0leQhv8odtGBB,32,351,14,0.131700,0.15,2,2,true,1267,Number,Q,main
96846,R_7Q0leQhv8odtGBB,33,317,22,0.043700,0.15,2,2,true,706,Number,P,main
96846,R_7Q0leQhv8odtGBB,34,207,10,-0.043700,0.15,2,2,true,636,Number,Q,main
96846,R_7Q0leQhv8odtGBB,35,130,8,-0.131700,0.15,2,2,true,776,Number,Q,main
96846,R_7Q0leQhv8odtGBB,36,383,22,0.131700,0.15,2,2,true,671,Number,P,main
96846,R_7Q0leQhv8odtGBB,37,0,8,-0.315300,0.15,2,2,true,711,Number,Q,main
96846,R_7Q0leQhv8odtGBB,38,38,16,-0.315300,0.15,2,2,true,659,Number,P,main
96846,R_7Q0leQhv8odtGBB,39,83,12,-0.221700,0.15,2,2,true,602,Number,Q,main
96846,R_7Q0leQhv8odtGBB,40,281,14,0.043700,0.15,2,2,false,1358,Number,P,main
96846,R_7Q0leQhv8odtGBB,41,251,22,-0.043700,0.15,2,2,true,756,Number,P,main
