sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
96292,R_7hIPf7xOpf98ChH,1,29,18,-0.043700,0.15,2,2,false,7937,Number,Q,training
96292,R_7hIPf7xOpf98ChH,2,11,14,-0.221700,0.15,2,2,false,2955,Number,P,training
96292,R_7hIPf7xOpf98ChH,3,14,20,-0.221700,0.15,2,2,true,1175,Number,P,training
96292,R_7hIPf7xOpf98ChH,4,59,14,0.315300,0.15,2,2,true,1486,Number,Q,training
96292,R_7hIPf7xOpf98ChH,5,50,12,0.221700,0.15,2,2,false,3645,Number,P,training
96292,R_7hIPf7xOpf98ChH,6,53,18,0.221700,0.15,2,2,false,1302,Number,Q,training
96292,R_7hIPf7xOpf98ChH,7,51,14,0.221700,0.15,2,2,true,2594,Number,Q,training
96292,R_7hIPf7xOpf98ChH,8,23,22,-0.131700,0.15,2,2,true,1098,Number,P,training
96292,R_7hIPf7xOpf98ChH,9,30,20,-0.043700,0.15,2,2,true,1243,Number,P,training
96292,R_7hIPf7xOpf98ChH,10,25,10,-0.043700,0.15,2,2,true,1003,Number,Q,training
96292,R_7hIPf7xOpf98ChH,11,18,12,-0.315300,0.15,2,2,true,1363,Number,Q,main
96292,R_7hIPf7xOpf98ChH,12,405,12,0.221700,0.15,2,2,true,1465,Number,Q,main
96292,R_7hIPf7xOpf98ChH,13,481,16,0.315300,0.15,2,2,true,836,Number,P,main
96292,R_7hIPf7xOpf98ChH,14,201,10,-0.043700,0.15,2,2,true,1198,Number,Q,main
96292,R_7hIPf7xOpf98ChH,15,427,18,0.221700,0.15,2,2,true,1041,Number,P,main
96292,R_7hIPf7xOpf98ChH,16,304,20,0.043700,0.15,2,2,true,1176,Number,P,main
96292,R_7hIPf7xOpf98ChH,17,64,8,-0.221700,0.15,2,2,true,999,Number,Q,main
96292,R_7hIPf7xOpf98ChH,18,68,8,-0.221700,0.15,2,2,true,1158,Number,Q,main
96292,R_7hIPf7xOpf98ChH,19,472,14,0.315300,0.15,2,2,true,1386,Number,Q,main
96292,R_7hIPf7xOpf98ChH,20,142,10,-0.131700,0.15,2,2,true,758,Number,Q,main
96292,R_7hIPf7xOpf98ChH,21,370,20,0.131700,0.15,2,2,true,761,Number,P,main
