sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,block,accuracy,reactionTime,blockName,responseKey,trialType
94683,R_7znE1Fvshc5wXHH,1,13,18,-0.221700,0.15,1,2,true,1127,Number,Q,training
94683,R_7znE1Fvshc5wXHH,2,41,10,0.131700,0.15,1,2,true,564,Number,P,training
94683,R_7znE1Fvshc5wXHH,3,53,18,0.221700,0.15,1,2,true,1028,Number,Q,training
94683,R_7znE1Fvshc5wXHH,4,50,12,0.221700,0.15,1,2,true,975,Number,P,training
94683,R_7znE1Fvshc5wXHH,5,9,10,-0.221700,0.15,1,2,false,532,Number,Q,training
94683,R_7znE1Fvshc5wXHH,6,14,20,-0.221700,0.15,1,2,true,478,Number,Q,training
94683,R_7znE1Fvshc5wXHH,7,39,22,0.043700,0.15,1,2,true,419,Number,Q,training
94683,R_7znE1Fvshc5wXHH,8,16,8,-0.131700,0.15,1,2,true,600,Number,P,training
94683,R_7znE1Fvshc5wXHH,9,17,10,-0.131700,0.15,1,2,true,519,Number,P,training
94683,R_7znE1Fvshc5wXHH,10,46,20,0.131700,0.15,1,2,true,462,Number,Q,training
94683,R_7znE1Fvshc5wXHH,11,55,20,-0.315300,0.15,1,2,true,599,Number,Q,main
94683,R_7znE1Fvshc5wXHH,12,491,18,0.315300,0.15,1,2,true,567,Number,Q,main
94683,R_7znE1Fvshc5wXHH,13,201,10,-0.043700,0.15,1,2,true,523,Number,P,main
94683,R_7znE1Fvshc5wXHH,14,19,12,-0.315300,0.15,1,2,true,657,Number,P,main
94683,R_7znE1Fvshc5wXHH,15,440,22,0.221700,0.15,1,2,true,645,Number,Q,main
94683,R_7znE1Fvshc5wXHH,16,475,14,0.315300,0.15,1,2,true,704,Number,P,main
94683,R_7znE1Fvshc5wXHH,17,191,22,-0.131700,0.15,1,2,true,593,Number,Q,main
94683,R_7znE1Fvshc5wXHH,18,104,18,-0.221700,0.15,1,2,true,721,Number,Q,main
94683,R_7znE1Fvshc5wXHH,19,477,14,0.315300,0.15,1,2,true,758,Number,P,main
94683,R_7znE1Fvshc5wXHH,20,20,12,-0.315300,0.15,1,2,true,734,Number,P,main
94683,R_7znE1Fvshc5wXHH,21,438,20,0.221700,0.15,1,2,true,696,Number,Q,main
94683,R_7znE1Fvshc5wXHH,22,100,16,-0.221700,0.15,1,2,true,993,Number,Q,main
94683,R_7znE1Fvshc5wXHH,23,158,14,-0.131700,0.15,1,2,true,590,Number,P,main
94683,R_7znE1Fvshc5wXHH,24,302,18,0.043700,0.15,1,2,false,1220,Number,P,main
94683,R_7znE1Fvshc5wXHH,25,151,12,-0.131700,0.15,1,2,true,1111,Number,P,main
94683,R_7znE1Fvshc5wXHH,26,215,12,-0.043700,0.15,1,2,true,717,Number,P,main
94683,R_7znE1Fvshc5wXHH,27,120,22,-0.221700,0.15,1,2,true,485,Number,Q,main
94683,R_7znE1Fvshc5wXHH,28,205,10,-0.043700,0.15,1,2,true,964,Number,P,main
94683,R_7znE1Fvshc5wXHH,29,473,14,0.315300,0.15,1,2,true,995,Number,P,main
94683,R_7znE1Fvshc5wXHH,30,497,20,0.315300,0.15,1,2,true,513,Number,Q,main
94683,R_7znE1Fvshc5wXHH,31,45,18,-0.315300,0.15,1,2,true,859,Number,Q,main
94683,R_7znE1Fvshc5wXHH,32,448,8,0.315300,0.15,1,2,true,683,Number,P,main
94683,R_7znE1Fvshc5wXHH,33,142,10,-0.131700,0.15,1,2,true,807,Number,P,main
94683,R_7znE1Fvshc5wXHH,34,37,16,-0.315300,0.15,1,2,true,560,Number,Q,main
