sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,stimulusPairing,accuracy,reactionTime,responseKey,trialType
96968,R_1NqX4F9TP9j67JC,1,280,14,0.043700,0.15,1,2,false,6961,Q,training
96968,R_1NqX4F9TP9j67JC,2,59,22,-0.315300,0.15,1,2,false,831,P,training
96968,R_1NqX4F9TP9j67JC,3,226,16,-0.043700,0.15,1,2,true,875,Q,training
96968,R_1NqX4F9TP9j67JC,4,227,16,-0.043700,0.15,1,2,true,1550,Q,training
96968,R_1NqX4F9TP9j67JC,5,339,12,0.131700,0.15,1,2,true,942,P,training
96968,R_1NqX4F9TP9j67JC,6,56,22,-0.315300,0.15,1,2,true,808,Q,training
96968,R_1NqX4F9TP9j67JC,7,450,8,0.315300,0.15,1,2,true,977,P,training
96968,R_1NqX4F9TP9j67JC,8,171,18,-0.131700,0.15,1,2,true,751,Q,training
96968,R_1NqX4F9TP9j67JC,9,57,22,-0.315300,0.15,1,2,true,681,Q,training
96968,R_1NqX4F9TP9j67JC,10,282,14,0.043700,0.15,1,2,true,742,P,training
96968,R_1NqX4F9TP9j67JC,11,448,8,0.315300,0.15,1,2,true,814,P,training
96968,R_1NqX4F9TP9j67JC,12,449,8,0.315300,0.15,1,2,true,1399,P,training
96968,R_1NqX4F9TP9j67JC,13,170,18,-0.131700,0.15,1,2,true,828,Q,training
96968,R_1NqX4F9TP9j67JC,14,168,18,-0.131700,0.15,1,2,true,773,Q,training
96968,R_1NqX4F9TP9j67JC,15,113,20,-0.221700,0.15,1,2,true,658,Q,training
96968,R_1NqX4F9TP9j67JC,16,225,16,-0.043700,0.15,1,2,false,878,P,training
96968,R_1NqX4F9TP9j67JC,17,395,10,0.221700,0.15,1,2,true,844,P,training
96968,R_1NqX4F9TP9j67JC,18,224,16,-0.043700,0.15,1,2,true,742,Q,training
96968,R_1NqX4F9TP9j67JC,19,112,20,-0.221700,0.15,1,2,true,584,Q,training
96968,R_1NqX4F9TP9j67JC,20,58,22,-0.315300,0.15,1,2,true,550,Q,training
96968,R_1NqX4F9TP9j67JC,21,281,14,0.043700,0.15,1,2,false,659,Q,training
96968,R_1NqX4F9TP9j67JC,22,393,10,0.221700,0.15,1,2,true,1129,P,training
96968,R_1NqX4F9TP9j67JC,23,392,10,0.221700,0.15,1,2,true,665,P,training
96968,R_1NqX4F9TP9j67JC,24,451,8,0.315300,0.15,1,2,true,729,P,training
96968,R_1NqX4F9TP9j67JC,25,338,12,0.131700,0.15,1,2,true,1148,P,training
96968,R_1NqX4F9TP9j67JC,26,336,12,0.131700,0.15,1,2,true,876,P,training
96968,R_1NqX4F9TP9j67JC,27,394,10,0.221700,0.15,1,2,true,990,P,training
96968,R_1NqX4F9TP9j67JC,28,283,14,0.043700,0.15,1,2,false,778,Q,training
96968,R_1NqX4F9TP9j67JC,29,337,12,0.131700,0.15,1,2,true,1023,P,training
96968,R_1NqX4F9TP9j67JC,30,114,20,-0.221700,0.15,1,2,true,777,Q,training
96968,R_1NqX4F9TP9j67JC,31,169,18,-0.131700,0.15,1,2,true,1436,Q,training
96968,R_1NqX4F9TP9j67JC,32,115,20,-0.221700,0.15,1,2,true,560,Q,training
96968,R_1NqX4F9TP9j67JC,33,153,14,-0.131700,0.15,1,2,true,953,P,main
96968,R_1NqX4F9TP9j67JC,34,161,16,-0.131700,0.15,1,2,false,1703,P,main
96968,R_1NqX4F9TP9j67JC,35,354,16,0.131700,0.15,1,2,true,1240,Q,main
96968,R_1NqX4F9TP9j67JC,36,67,8,-0.221700,0.15,1,2,true,634,P,main
96968,R_1NqX4F9TP9j67JC,37,465,12,0.315300,0.15,1,2,true,771,P,main
96968,R_1NqX4F9TP9j67JC,38,496,20,0.315300,0.15,1,2,true,662,Q,main
96968,R_1NqX4F9TP9j67JC,39,48,20,-0.315300,0.15,1,2,true,606,Q,main
96968,R_1NqX4F9TP9j67JC,40,234,18,-0.043700,0.15,1,2,false,784,P,main
96968,R_1NqX4F9TP9j67JC,41,435,20,0.221700,0.15,1,2,true,1098,Q,main
96968,R_1NqX4F9TP9j67JC,42,202,10,-0.043700,0.15,1,2,true,581,P,main
96968,R_1NqX4F9TP9j67JC,43,363,18,0.131700,0.15,1,2,true,601,Q,main
96968,R_1NqX4F9TP9j67JC,44,256,8,0.043700,0.15,1,2,true,617,P,main
96968,R_1NqX4F9TP9j67JC,45,73,10,-0.221700,0.15,1,2,true,796,P,main
96968,R_1NqX4F9TP9j67JC,46,195,8,-0.043700,0.15,1,2,true,653,P,main
96968,R_1NqX4F9TP9j67JC,47,507,22,0.315300,0.15,1,2,true,824,Q,main
96968,R_1NqX4F9TP9j67JC,48,377,22,0.131700,0.15,1,2,true,925,Q,main
96968,R_1NqX4F9TP9j67JC,49,296,18,0.043700,0.15,1,2,true,1243,Q,main
96968,R_1NqX4F9TP9j67JC,50,491,18,0.315300,0.15,1,2,false,1691,P,main
96968,R_1NqX4F9TP9j67JC,51,441,22,0.221700,0.15,1,2,true,653,Q,main
96968,R_1NqX4F9TP9j67JC,52,331,10,0.131700,0.15,1,2,true,582,P,main
96968,R_1NqX4F9TP9j67JC,53,146,12,-0.131700,0.15,1,2,true,570,P,main
96968,R_1NqX4F9TP9j67JC,54,442,22,0.221700,0.15,1,2,true,665,Q,main
96968,R_1NqX4F9TP9j67JC,55,74,10,-0.221700,0.15,1,2,false,674,Q,main
96968,R_1NqX4F9TP9j67JC,56,456,10,0.315300,0.15,1,2,true,924,P,main
96968,R_1NqX4F9TP9j67JC,57,25,14,-0.315300,0.15,1,2,false,546,Q,main
96968,R_1NqX4F9TP9j67JC,58,411,14,0.221700,0.15,1,2,false,588,Q,main
96968,R_1NqX4F9TP9j67JC,59,201,10,-0.043700,0.15,1,2,true,650,P,main
96968,R_1NqX4F9TP9j67JC,60,209,12,-0.043700,0.15,1,2,false,605,Q,main
96968,R_1NqX4F9TP9j67JC,61,187,22,-0.131700,0.15,1,2,true,625,Q,main
96968,R_1NqX4F9TP9j67JC,62,344,14,0.131700,0.15,1,2,true,881,P,main
96968,R_1NqX4F9TP9j67JC,63,418,16,0.221700,0.15,1,2,true,750,Q,main
96968,R_1NqX4F9TP9j67JC,64,72,10,-0.221700,0.15,1,2,true,839,P,main
96968,R_1NqX4F9TP9j67JC,65,370,20,0.131700,0.15,1,2,true,651,Q,main
