sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,stimulusPairing,accuracy,reactionTime,responseKey,trialType
96858,R_1pQVIWzgUsjlj1p,1,59,22,-0.315300,0.15,1,2,false,1243,P,training
96858,R_1pQVIWzgUsjlj1p,2,393,10,0.221700,0.15,1,2,true,1508,P,training
96858,R_1pQVIWzgUsjlj1p,3,58,22,-0.315300,0.15,1,2,true,1244,Q,training
96858,R_1pQVIWzgUsjlj1p,4,170,18,-0.131700,0.15,1,2,true,583,Q,training
96858,R_1pQVIWzgUsjlj1p,5,336,12,0.131700,0.15,1,2,false,617,Q,training
96858,R_1pQVIWzgUsjlj1p,6,281,14,0.043700,0.15,1,2,false,1099,Q,training
96858,R_1pQVIWzgUsjlj1p,7,280,14,0.043700,0.15,1,2,false,1265,Q,training
96858,R_1pQVIWzgUsjlj1p,8,392,10,0.221700,0.15,1,2,true,927,P,training
96858,R_1pQVIWzgUsjlj1p,9,339,12,0.131700,0.15,1,2,true,654,P,training
96858,R_1pQVIWzgUsjlj1p,10,449,8,0.315300,0.15,1,2,true,784,P,training
96858,R_1pQVIWzgUsjlj1p,11,171,18,-0.131700,0.15,1,2,true,464,Q,training
96858,R_1pQVIWzgUsjlj1p,12,168,18,-0.131700,0.15,1,2,true,554,Q,training
96858,R_1pQVIWzgUsjlj1p,13,227,16,-0.043700,0.15,1,2,false,632,P,training
96858,R_1pQVIWzgUsjlj1p,14,56,22,-0.315300,0.15,1,2,true,830,Q,training
96858,R_1pQVIWzgUsjlj1p,15,112,20,-0.221700,0.15,1,2,true,709,Q,training
96858,R_1pQVIWzgUsjlj1p,16,224,16,-0.043700,0.15,1,2,true,1293,Q,training
96858,R_1pQVIWzgUsjlj1p,17,448,8,0.315300,0.15,1,2,true,496,P,training
96858,R_1pQVIWzgUsjlj1p,18,169,18,-0.131700,0.15,1,2,true,757,Q,training
96858,R_1pQVIWzgUsjlj1p,19,283,14,0.043700,0.15,1,2,false,671,Q,training
96858,R_1pQVIWzgUsjlj1p,20,114,20,-0.221700,0.15,1,2,true,657,Q,training
96858,R_1pQVIWzgUsjlj1p,21,394,10,0.221700,0.15,1,2,true,638,P,training
96858,R_1pQVIWzgUsjlj1p,22,57,22,-0.315300,0.15,1,2,true,1000,Q,training
96858,R_1pQVIWzgUsjlj1p,23,115,20,-0.221700,0.15,1,2,false,5083,P,training
96858,R_1pQVIWzgUsjlj1p,24,338,12,0.131700,0.15,1,2,true,2524,P,training
96858,R_1pQVIWzgUsjlj1p,25,225,16,-0.043700,0.15,1,2,false,778,P,training
96858,R_1pQVIWzgUsjlj1p,26,282,14,0.043700,0.15,1,2,false,376,Q,training
96858,R_1pQVIWzgUsjlj1p,27,337,12,0.131700,0.15,1,2,true,615,P,training
96858,R_1pQVIWzgUsjlj1p,28,451,8,0.315300,0.15,1,2,true,552,P,training
96858,R_1pQVIWzgUsjlj1p,29,395,10,0.221700,0.15,1,2,true,613,P,training
96858,R_1pQVIWzgUsjlj1p,30,113,20,-0.221700,0.15,1,2,true,607,Q,training
96858,R_1pQVIWzgUsjlj1p,31,226,16,-0.043700,0.15,1,2,false,1121,P,training
96858,R_1pQVIWzgUsjlj1p,32,450,8,0.315300,0.15,1,2,true,891,P,training
96858,R_1pQVIWzgUsjlj1p,33,136,10,-0.131700,0.15,1,2,true,1961,P,main
96858,R_1pQVIWzgUsjlj1p,34,147,12,-0.131700,0.15,1,2,false,2047,Q,main
96858,R_1pQVIWzgUsjlj1p,35,506,22,0.315300,0.15,1,2,false,4828,P,main
96858,R_1pQVIWzgUsjlj1p,36,504,22,0.315300,0.15,1,2,true,1009,Q,main
96858,R_1pQVIWzgUsjlj1p,37,98,16,-0.221700,0.15,1,2,false,670,P,main
96858,R_1pQVIWzgUsjlj1p,38,458,10,0.315300,0.15,1,2,true,969,P,main
96858,R_1pQVIWzgUsjlj1p,39,123,22,-0.221700,0.15,1,2,true,608,Q,main
96858,R_1pQVIWzgUsjlj1p,40,32,16,-0.315300,0.15,1,2,false,701,P,main
96858,R_1pQVIWzgUsjlj1p,41,496,20,0.315300,0.15,1,2,false,399,P,main
96858,R_1pQVIWzgUsjlj1p,42,185,22,-0.131700,0.15,1,2,false,873,P,main
96858,R_1pQVIWzgUsjlj1p,43,153,14,-0.131700,0.15,1,2,true,554,P,main
96858,R_1pQVIWzgUsjlj1p,44,257,8,0.043700,0.15,1,2,true,544,P,main
96858,R_1pQVIWzgUsjlj1p,45,499,20,0.315300,0.15,1,2,true,542,Q,main
96858,R_1pQVIWzgUsjlj1p,46,160,16,-0.131700,0.15,1,2,false,644,P,main
96858,R_1pQVIWzgUsjlj1p,47,304,20,0.043700,0.15,1,2,true,442,Q,main
96858,R_1pQVIWzgUsjlj1p,48,417,16,0.221700,0.15,1,2,false,723,P,main
96858,R_1pQVIWzgUsjlj1p,49,491,18,0.315300,0.15,1,2,false,610,P,main
96858,R_1pQVIWzgUsjlj1p,50,267,10,0.043700,0.15,1,2,true,691,P,main
96858,R_1pQVIWzgUsjlj1p,51,489,18,0.315300,0.15,1,2,true,1221,Q,main
96858,R_1pQVIWzgUsjlj1p,52,408,14,0.221700,0.15,1,2,true,1307,P,main
96858,R_1pQVIWzgUsjlj1p,53,411,14,0.221700,0.15,1,2,false,2405,Q,main
96858,R_1pQVIWzgUsjlj1p,54,329,10,0.131700,0.15,1,2,true,1381,P,main
96858,R_1pQVIWzgUsjlj1p,55,232,18,-0.043700,0.15,1,2,true,1133,Q,main
96858,R_1pQVIWzgUsjlj1p,56,251,22,-0.043700,0.15,1,2,true,521,Q,main
96858,R_1pQVIWzgUsjlj1p,57,154,14,-0.131700,0.15,1,2,true,534,P,main
96858,R_1pQVIWzgUsjlj1p,58,424,18,0.221700,0.15,1,2,false,611,P,main
96858,R_1pQVIWzgUsjlj1p,59,440,22,0.221700,0.15,1,2,true,708,Q,main
96858,R_1pQVIWzgUsjlj1p,60,152,14,-0.131700,0.15,1,2,false,880,Q,main
96858,R_1pQVIWzgUsjlj1p,61,24,14,-0.315300,0.15,1,2,true,971,P,main
96858,R_1pQVIWzgUsjlj1p,62,72,10,-0.221700,0.15,1,2,true,608,P,main
96858,R_1pQVIWzgUsjlj1p,63,11,10,-0.315300,0.15,1,2,true,585,P,main
96858,R_1pQVIWzgUsjlj1p,64,410,14,0.221700,0.15,1,2,true,518,P,main
96858,R_1pQVIWzgUsjlj1p,65,321,8,0.131700,0.15,1,2,true,528,P,main
96858,R_1pQVIWzgUsjlj1p,66,3,8,-0.315300,0.15,1,2,true,504,P,main
96858,R_1pQVIWzgUsjlj1p,67,384,8,0.221700,0.15,1,2,true,434,P,main
96858,R_1pQVIWzgUsjlj1p,68,130,8,-0.131700,0.15,1,2,true,413,P,main
96858,R_1pQVIWzgUsjlj1p,69,2,8,-0.315300,0.15,1,2,true,351,P,main
96858,R_1pQVIWzgUsjlj1p,70,475,14,0.315300,0.15,1,2,true,519,P,main
96858,R_1pQVIWzgUsjlj1p,71,490,18,0.315300,0.15,1,2,true,965,Q,main
96858,R_1pQVIWzgUsjlj1p,72,352,16,0.131700,0.15,1,2,false,730,P,main
96858,R_1pQVIWzgUsjlj1p,73,288,16,0.043700,0.15,1,2,true,455,Q,main
96858,R_1pQVIWzgUsjlj1p,74,128,8,-0.131700,0.15,1,2,true,561,P,main
96858,R_1pQVIWzgUsjlj1p,75,403,12,0.221700,0.15,1,2,true,501,P,main
96858,R_1pQVIWzgUsjlj1p,76,249,22,-0.043700,0.15,1,2,true,756,Q,main
96858,R_1pQVIWzgUsjlj1p,77,193,8,-0.043700,0.15,1,2,true,572,P,main
96858,R_1pQVIWzgUsjlj1p,78,378,22,0.131700,0.15,1,2,true,620,Q,main
96858,R_1pQVIWzgUsjlj1p,79,96,16,-0.221700,0.15,1,2,false,1816,P,main
96858,R_1pQVIWzgUsjlj1p,80,186,22,-0.131700,0.15,1,2,true,670,Q,main
