sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,stimulusPairing,accuracy,reactionTime,responseKey,trialType
93065,R_1rPtYNTwvyRkKCQ,1,226,16,-0.043700,0.15,2,2,false,11750,Q,training
93065,R_1rPtYNTwvyRkKCQ,2,392,10,0.221700,0.15,2,2,false,1270,P,training
93065,R_1rPtYNTwvyRkKCQ,3,281,14,0.043700,0.15,2,2,false,1096,P,training
93065,R_1rPtYNTwvyRkKCQ,4,282,14,0.043700,0.15,2,2,false,3976,P,training
93065,R_1rPtYNTwvyRkKCQ,5,113,20,-0.221700,0.15,2,2,true,1430,P,training
93065,R_1rPtYNTwvyRkKCQ,6,114,20,-0.221700,0.15,2,2,true,2451,P,training
93065,R_1rPtYNTwvyRkKCQ,7,57,22,-0.315300,0.15,2,2,true,843,P,training
93065,R_1rPtYNTwvyRkKCQ,8,448,8,0.315300,0.15,2,2,true,650,Q,training
93065,R_1rPtYNTwvyRkKCQ,9,450,8,0.315300,0.15,2,2,true,654,Q,training
93065,R_1rPtYNTwvyRkKCQ,10,283,14,0.043700,0.15,2,2,true,1108,Q,training
93065,R_1rPtYNTwvyRkKCQ,11,115,20,-0.221700,0.15,2,2,true,664,P,training
93065,R_1rPtYNTwvyRkKCQ,12,170,18,-0.131700,0.15,2,2,true,946,P,training
93065,R_1rPtYNTwvyRkKCQ,13,338,12,0.131700,0.15,2,2,true,654,Q,training
93065,R_1rPtYNTwvyRkKCQ,14,225,16,-0.043700,0.15,2,2,true,700,P,training
93065,R_1rPtYNTwvyRkKCQ,15,393,10,0.221700,0.15,2,2,true,1690,Q,training
93065,R_1rPtYNTwvyRkKCQ,16,280,14,0.043700,0.15,2,2,false,1539,P,training
93065,R_1rPtYNTwvyRkKCQ,17,112,20,-0.221700,0.15,2,2,true,1239,P,training
93065,R_1rPtYNTwvyRkKCQ,18,337,12,0.131700,0.15,2,2,true,1146,Q,training
93065,R_1rPtYNTwvyRkKCQ,19,224,16,-0.043700,0.15,2,2,true,1191,P,training
93065,R_1rPtYNTwvyRkKCQ,20,59,22,-0.315300,0.15,2,2,true,841,P,training
93065,R_1rPtYNTwvyRkKCQ,21,451,8,0.315300,0.15,2,2,true,810,Q,training
93065,R_1rPtYNTwvyRkKCQ,22,339,12,0.131700,0.15,2,2,true,941,Q,training
93065,R_1rPtYNTwvyRkKCQ,23,171,18,-0.131700,0.15,2,2,true,1132,P,training
93065,R_1rPtYNTwvyRkKCQ,24,56,22,-0.315300,0.15,2,2,true,764,P,training
93065,R_1rPtYNTwvyRkKCQ,25,449,8,0.315300,0.15,2,2,true,757,Q,training
93065,R_1rPtYNTwvyRkKCQ,26,394,10,0.221700,0.15,2,2,true,904,Q,training
93065,R_1rPtYNTwvyRkKCQ,27,168,18,-0.131700,0.15,2,2,true,1059,P,training
93065,R_1rPtYNTwvyRkKCQ,28,395,10,0.221700,0.15,2,2,true,756,Q,training
93065,R_1rPtYNTwvyRkKCQ,29,336,12,0.131700,0.15,2,2,true,1108,Q,training
93065,R_1rPtYNTwvyRkKCQ,30,227,16,-0.043700,0.15,2,2,true,1263,P,training
93065,R_1rPtYNTwvyRkKCQ,31,169,18,-0.131700,0.15,2,2,true,1083,P,training
93065,R_1rPtYNTwvyRkKCQ,32,58,22,-0.315300,0.15,2,2,true,950,P,training
93065,R_1rPtYNTwvyRkKCQ,33,42,18,-0.315300,0.15,2,2,true,809,P,main
93065,R_1rPtYNTwvyRkKCQ,34,120,22,-0.221700,0.15,2,2,true,813,P,main
93065,R_1rPtYNTwvyRkKCQ,35,320,8,0.131700,0.15,2,2,false,1436,P,main
93065,R_1rPtYNTwvyRkKCQ,36,73,10,-0.221700,0.15,2,2,false,839,P,main
93065,R_1rPtYNTwvyRkKCQ,37,315,22,0.043700,0.15,2,2,false,1198,Q,main
