sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,stimulusPairing,accuracy,reactionTime,responseKey,trialType
88187,R_31zIPPnqWkVupbu,1,337,12,0.131700,0.15,1,2,true,11794,P,training
88187,R_31zIPPnqWkVupbu,2,280,14,0.043700,0.15,1,2,true,6680,P,training
88187,R_31zIPPnqWkVupbu,3,171,18,-0.131700,0.15,1,2,false,479,P,training
88187,R_31zIPPnqWkVupbu,4,338,12,0.131700,0.15,1,2,false,69,Q,training
88187,R_31zIPPnqWkVupbu,5,448,8,0.315300,0.15,1,2,true,849,P,training
88187,R_31zIPPnqWkVupbu,6,339,12,0.131700,0.15,1,2,true,632,P,training
88187,R_31zIPPnqWkVupbu,7,392,10,0.221700,0.15,1,2,true,747,P,training
88187,R_31zIPPnqWkVupbu,8,112,20,-0.221700,0.15,1,2,false,1047,P,training
88187,R_31zIPPnqWkVupbu,9,170,18,-0.131700,0.15,1,2,true,1086,Q,training
88187,R_31zIPPnqWkVupbu,10,168,18,-0.131700,0.15,1,2,true,1193,Q,training
88187,R_31zIPPnqWkVupbu,11,113,20,-0.221700,0.15,1,2,false,854,P,training
88187,R_31zIPPnqWkVupbu,12,393,10,0.221700,0.15,1,2,false,1211,Q,training
88187,R_31zIPPnqWkVupbu,13,57,22,-0.315300,0.15,1,2,false,742,P,training
88187,R_31zIPPnqWkVupbu,14,56,22,-0.315300,0.15,1,2,false,1041,P,training
88187,R_31zIPPnqWkVupbu,15,225,16,-0.043700,0.15,1,2,false,1226,P,training
88187,R_31zIPPnqWkVupbu,16,450,8,0.315300,0.15,1,2,false,663,Q,training
88187,R_31zIPPnqWkVupbu,17,227,16,-0.043700,0.15,1,2,false,825,P,training
88187,R_31zIPPnqWkVupbu,18,59,22,-0.315300,0.15,1,2,false,579,P,training
88187,R_31zIPPnqWkVupbu,19,115,20,-0.221700,0.15,1,2,false,1416,P,training
88187,R_31zIPPnqWkVupbu,20,281,14,0.043700,0.15,1,2,true,770,P,training
88187,R_31zIPPnqWkVupbu,21,449,8,0.315300,0.15,1,2,true,1537,P,training
