sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,stimulusPairing,accuracy,reactionTime,responseKey,trialType
94691,R_33ZCBBcucMZ5leN,1,435,20,0.221700,0.15,1,1,false,577,P,training
94691,R_33ZCBBcucMZ5leN,2,506,22,0.315300,0.15,1,1,true,1195,Q,training
94691,R_33ZCBBcucMZ5leN,3,360,18,0.131700,0.15,1,1,true,672,Q,training
94691,R_33ZCBBcucMZ5leN,4,1,8,-0.315300,0.15,1,1,false,454,Q,training
94691,R_33ZCBBcucMZ5leN,5,291,16,0.043700,0.15,1,1,true,715,Q,training
94691,R_33ZCBBcucMZ5leN,6,218,14,-0.043700,0.15,1,1,true,652,P,training
94691,R_33ZCBBcucMZ5leN,7,73,10,-0.221700,0.15,1,1,true,863,P,training
94691,R_33ZCBBcucMZ5leN,8,361,18,0.131700,0.15,1,1,true,675,Q,training
94691,R_33ZCBBcucMZ5leN,9,219,14,-0.043700,0.15,1,1,true,539,P,training
94691,R_33ZCBBcucMZ5leN,10,146,12,-0.131700,0.15,1,1,false,581,Q,training
94691,R_33ZCBBcucMZ5leN,11,2,8,-0.315300,0.15,1,1,false,1030,Q,training
94691,R_33ZCBBcucMZ5leN,12,504,22,0.315300,0.15,1,1,false,590,P,training
94691,R_33ZCBBcucMZ5leN,13,288,16,0.043700,0.15,1,1,true,739,Q,training
94691,R_33ZCBBcucMZ5leN,14,434,20,0.221700,0.15,1,1,true,520,Q,training
94691,R_33ZCBBcucMZ5leN,15,507,22,0.315300,0.15,1,1,true,581,Q,training
94691,R_33ZCBBcucMZ5leN,16,432,20,0.221700,0.15,1,1,true,561,Q,training
94691,R_33ZCBBcucMZ5leN,17,74,10,-0.221700,0.15,1,1,false,779,Q,training
94691,R_33ZCBBcucMZ5leN,18,3,8,-0.315300,0.15,1,1,false,855,Q,training
94691,R_33ZCBBcucMZ5leN,19,144,12,-0.131700,0.15,1,1,true,710,P,training
94691,R_33ZCBBcucMZ5leN,20,362,18,0.131700,0.15,1,1,true,745,Q,training
94691,R_33ZCBBcucMZ5leN,21,217,14,-0.043700,0.15,1,1,true,799,P,training
94691,R_33ZCBBcucMZ5leN,22,216,14,-0.043700,0.15,1,1,false,683,Q,training
94691,R_33ZCBBcucMZ5leN,23,505,22,0.315300,0.15,1,1,false,276,P,training
94691,R_33ZCBBcucMZ5leN,24,145,12,-0.131700,0.15,1,1,false,87,Q,training
94691,R_33ZCBBcucMZ5leN,25,0,8,-0.315300,0.15,1,1,true,156,P,training
94691,R_33ZCBBcucMZ5leN,26,290,16,0.043700,0.15,1,1,false,863,P,training
94691,R_33ZCBBcucMZ5leN,27,72,10,-0.221700,0.15,1,1,true,559,P,training
94691,R_33ZCBBcucMZ5leN,28,147,12,-0.131700,0.15,1,1,false,645,Q,training
94691,R_33ZCBBcucMZ5leN,29,75,10,-0.221700,0.15,1,1,true,602,P,training
94691,R_33ZCBBcucMZ5leN,30,363,18,0.131700,0.15,1,1,true,833,Q,training
94691,R_33ZCBBcucMZ5leN,31,433,20,0.221700,0.15,1,1,true,557,Q,training
94691,R_33ZCBBcucMZ5leN,32,289,16,0.043700,0.15,1,1,false,722,P,training
94691,R_33ZCBBcucMZ5leN,33,67,8,-0.221700,0.15,1,1,false,755,Q,main
94691,R_33ZCBBcucMZ5leN,34,411,14,0.221700,0.15,1,1,true,838,P,main
94691,R_33ZCBBcucMZ5leN,35,402,12,0.221700,0.15,1,1,true,960,P,main
94691,R_33ZCBBcucMZ5leN,36,370,20,0.131700,0.15,1,1,false,561,P,main
94691,R_33ZCBBcucMZ5leN,37,115,20,-0.221700,0.15,1,1,false,703,P,main
94691,R_33ZCBBcucMZ5leN,38,481,16,0.315300,0.15,1,1,true,826,Q,main
94691,R_33ZCBBcucMZ5leN,39,314,22,0.043700,0.15,1,1,false,965,P,main
94691,R_33ZCBBcucMZ5leN,40,339,12,0.131700,0.15,1,1,false,689,Q,main
94691,R_33ZCBBcucMZ5leN,41,136,10,-0.131700,0.15,1,1,true,616,P,main
94691,R_33ZCBBcucMZ5leN,42,475,14,0.315300,0.15,1,1,false,345,Q,main
94691,R_33ZCBBcucMZ5leN,43,482,16,0.315300,0.15,1,1,true,583,Q,main
94691,R_33ZCBBcucMZ5leN,44,10,10,-0.315300,0.15,1,1,true,440,P,main
94691,R_33ZCBBcucMZ5leN,45,168,18,-0.131700,0.15,1,1,true,533,Q,main
94691,R_33ZCBBcucMZ5leN,46,177,20,-0.131700,0.15,1,1,true,542,Q,main
94691,R_33ZCBBcucMZ5leN,47,258,8,0.043700,0.15,1,1,true,621,P,main
94691,R_33ZCBBcucMZ5leN,48,43,18,-0.315300,0.15,1,1,true,486,Q,main
94691,R_33ZCBBcucMZ5leN,49,450,8,0.315300,0.15,1,1,true,473,P,main
94691,R_33ZCBBcucMZ5leN,50,24,14,-0.315300,0.15,1,1,false,368,Q,main
94691,R_33ZCBBcucMZ5leN,51,161,16,-0.131700,0.15,1,1,true,416,Q,main
94691,R_33ZCBBcucMZ5leN,52,307,20,0.043700,0.15,1,1,false,407,P,main
94691,R_33ZCBBcucMZ5leN,53,443,22,0.221700,0.15,1,1,true,292,Q,main
94691,R_33ZCBBcucMZ5leN,54,352,16,0.131700,0.15,1,1,true,688,Q,main
94691,R_33ZCBBcucMZ5leN,55,353,16,0.131700,0.15,1,1,true,508,Q,main
94691,R_33ZCBBcucMZ5leN,56,344,14,0.131700,0.15,1,1,false,575,Q,main
94691,R_33ZCBBcucMZ5leN,57,227,16,-0.043700,0.15,1,1,true,576,Q,main
94691,R_33ZCBBcucMZ5leN,58,105,18,-0.221700,0.15,1,1,true,585,Q,main
94691,R_33ZCBBcucMZ5leN,59,241,20,-0.043700,0.15,1,1,true,573,Q,main
94691,R_33ZCBBcucMZ5leN,60,480,16,0.315300,0.15,1,1,false,565,P,main
94691,R_33ZCBBcucMZ5leN,61,169,18,-0.131700,0.15,1,1,false,660,P,main
94691,R_33ZCBBcucMZ5leN,62,211,12,-0.043700,0.15,1,1,false,873,Q,main
94691,R_33ZCBBcucMZ5leN,63,232,18,-0.043700,0.15,1,1,true,510,Q,main
94691,R_33ZCBBcucMZ5leN,64,107,18,-0.221700,0.15,1,1,false,526,P,main
94691,R_33ZCBBcucMZ5leN,65,152,14,-0.131700,0.15,1,1,false,743,Q,main
94691,R_33ZCBBcucMZ5leN,66,337,12,0.131700,0.15,1,1,false,519,Q,main
94691,R_33ZCBBcucMZ5leN,67,33,16,-0.315300,0.15,1,1,false,820,P,main
94691,R_33ZCBBcucMZ5leN,68,265,10,0.043700,0.15,1,1,false,943,Q,main
94691,R_33ZCBBcucMZ5leN,69,320,8,0.131700,0.15,1,1,false,432,Q,main
94691,R_33ZCBBcucMZ5leN,70,368,20,0.131700,0.15,1,1,false,603,P,main
94691,R_33ZCBBcucMZ5leN,71,347,14,0.131700,0.15,1,1,true,666,P,main
94691,R_33ZCBBcucMZ5leN,72,441,22,0.221700,0.15,1,1,true,245,Q,main
94691,R_33ZCBBcucMZ5leN,73,185,22,-0.131700,0.15,1,1,true,516,Q,main
94691,R_33ZCBBcucMZ5leN,74,392,10,0.221700,0.15,1,1,false,534,Q,main
94691,R_33ZCBBcucMZ5leN,75,251,22,-0.043700,0.15,1,1,false,585,P,main
94691,R_33ZCBBcucMZ5leN,76,489,18,0.315300,0.15,1,1,false,390,P,main
94691,R_33ZCBBcucMZ5leN,77,83,12,-0.221700,0.15,1,1,false,495,Q,main
94691,R_33ZCBBcucMZ5leN,78,248,22,-0.043700,0.15,1,1,false,687,P,main
94691,R_33ZCBBcucMZ5leN,79,114,20,-0.221700,0.15,1,1,false,1397,P,main
94691,R_33ZCBBcucMZ5leN,80,235,18,-0.043700,0.15,1,1,false,572,P,main
94691,R_33ZCBBcucMZ5leN,81,120,22,-0.221700,0.15,1,1,false,438,P,main
94691,R_33ZCBBcucMZ5leN,82,19,12,-0.315300,0.15,1,1,false,468,Q,main
94691,R_33ZCBBcucMZ5leN,83,187,22,-0.131700,0.15,1,1,false,433,P,main
94691,R_33ZCBBcucMZ5leN,84,313,22,0.043700,0.15,1,1,false,676,P,main
94691,R_33ZCBBcucMZ5leN,85,32,16,-0.315300,0.15,1,1,false,613,P,main
94691,R_33ZCBBcucMZ5leN,86,153,14,-0.131700,0.15,1,1,false,475,Q,main
94691,R_33ZCBBcucMZ5leN,87,203,10,-0.043700,0.15,1,1,true,309,P,main
94691,R_33ZCBBcucMZ5leN,88,490,18,0.315300,0.15,1,1,true,676,Q,main
94691,R_33ZCBBcucMZ5leN,89,393,10,0.221700,0.15,1,1,false,484,Q,main
94691,R_33ZCBBcucMZ5leN,90,99,16,-0.221700,0.15,1,1,false,414,P,main
94691,R_33ZCBBcucMZ5leN,91,299,18,0.043700,0.15,1,1,false,515,P,main
94691,R_33ZCBBcucMZ5leN,92,122,22,-0.221700,0.15,1,1,false,718,P,main
94691,R_33ZCBBcucMZ5leN,93,98,16,-0.221700,0.15,1,1,false,602,P,main
94691,R_33ZCBBcucMZ5leN,94,121,22,-0.221700,0.15,1,1,false,523,P,main
94691,R_33ZCBBcucMZ5leN,95,90,14,-0.221700,0.15,1,1,true,490,P,main
94691,R_33ZCBBcucMZ5leN,96,137,10,-0.131700,0.15,1,1,false,775,Q,main
94691,R_33ZCBBcucMZ5leN,97,395,10,0.221700,0.15,1,1,false,639,Q,main
94691,R_33ZCBBcucMZ5leN,98,171,18,-0.131700,0.15,1,1,false,572,P,main
94691,R_33ZCBBcucMZ5leN,99,123,22,-0.221700,0.15,1,1,false,635,P,main
94691,R_33ZCBBcucMZ5leN,100,160,16,-0.131700,0.15,1,1,true,513,Q,main
94691,R_33ZCBBcucMZ5leN,101,208,12,-0.043700,0.15,1,1,true,774,P,main
94691,R_33ZCBBcucMZ5leN,102,209,12,-0.043700,0.15,1,1,true,941,P,main
94691,R_33ZCBBcucMZ5leN,103,384,8,0.221700,0.15,1,1,true,604,P,main
94691,R_33ZCBBcucMZ5leN,104,403,12,0.221700,0.15,1,1,true,1015,P,main
94691,R_33ZCBBcucMZ5leN,105,224,16,-0.043700,0.15,1,1,true,303,Q,main
94691,R_33ZCBBcucMZ5leN,106,394,10,0.221700,0.15,1,1,false,314,Q,main
94691,R_33ZCBBcucMZ5leN,107,409,14,0.221700,0.15,1,1,true,458,P,main
94691,R_33ZCBBcucMZ5leN,108,377,22,0.131700,0.15,1,1,false,639,P,main
94691,R_33ZCBBcucMZ5leN,109,264,10,0.043700,0.15,1,1,false,1131,Q,main
94691,R_33ZCBBcucMZ5leN,110,56,22,-0.315300,0.15,1,1,false,956,P,main
94691,R_33ZCBBcucMZ5leN,111,104,18,-0.221700,0.15,1,1,true,874,Q,main
94691,R_33ZCBBcucMZ5leN,112,338,12,0.131700,0.15,1,1,true,662,P,main
94691,R_33ZCBBcucMZ5leN,113,305,20,0.043700,0.15,1,1,false,537,P,main
94691,R_33ZCBBcucMZ5leN,114,178,20,-0.131700,0.15,1,1,false,463,P,main
94691,R_33ZCBBcucMZ5leN,115,354,16,0.131700,0.15,1,1,false,532,P,main
94691,R_33ZCBBcucMZ5leN,116,58,22,-0.315300,0.15,1,1,false,649,P,main
94691,R_33ZCBBcucMZ5leN,117,233,18,-0.043700,0.15,1,1,false,409,P,main
94691,R_33ZCBBcucMZ5leN,118,465,12,0.315300,0.15,1,1,false,570,Q,main
94691,R_33ZCBBcucMZ5leN,119,17,12,-0.315300,0.15,1,1,true,565,P,main
94691,R_33ZCBBcucMZ5leN,120,195,8,-0.043700,0.15,1,1,true,715,P,main
94691,R_33ZCBBcucMZ5leN,121,80,12,-0.221700,0.15,1,1,false,13,Q,main
94691,R_33ZCBBcucMZ5leN,122,498,20,0.315300,0.15,1,1,false,592,P,main
94691,R_33ZCBBcucMZ5leN,123,200,10,-0.043700,0.15,1,1,false,556,Q,main
94691,R_33ZCBBcucMZ5leN,124,243,20,-0.043700,0.15,1,1,false,623,P,main
94691,R_33ZCBBcucMZ5leN,125,385,8,0.221700,0.15,1,1,false,423,Q,main
94691,R_33ZCBBcucMZ5leN,126,210,12,-0.043700,0.15,1,1,false,630,Q,main
94691,R_33ZCBBcucMZ5leN,127,497,20,0.315300,0.15,1,1,false,436,P,main
94691,R_33ZCBBcucMZ5leN,128,472,14,0.315300,0.15,1,1,true,748,P,main
94691,R_33ZCBBcucMZ5leN,129,306,20,0.043700,0.15,1,1,false,616,P,main
94691,R_33ZCBBcucMZ5leN,130,496,20,0.315300,0.15,1,1,false,483,P,main
94691,R_33ZCBBcucMZ5leN,131,274,12,0.043700,0.15,1,1,false,744,Q,main
94691,R_33ZCBBcucMZ5leN,132,50,20,-0.315300,0.15,1,1,false,740,P,main
94691,R_33ZCBBcucMZ5leN,133,448,8,0.315300,0.15,1,1,false,633,Q,main
94691,R_33ZCBBcucMZ5leN,134,491,18,0.315300,0.15,1,1,false,607,P,main
94691,R_33ZCBBcucMZ5leN,135,296,18,0.043700,0.15,1,1,false,659,P,main
94691,R_33ZCBBcucMZ5leN,136,371,20,0.131700,0.15,1,1,true,589,Q,main
94691,R_33ZCBBcucMZ5leN,137,138,10,-0.131700,0.15,1,1,true,587,P,main
94691,R_33ZCBBcucMZ5leN,138,129,8,-0.131700,0.15,1,1,false,776,Q,main
94691,R_33ZCBBcucMZ5leN,139,280,14,0.043700,0.15,1,1,false,925,Q,main
94691,R_33ZCBBcucMZ5leN,140,163,16,-0.131700,0.15,1,1,false,605,P,main
94691,R_33ZCBBcucMZ5leN,141,267,10,0.043700,0.15,1,1,true,600,P,main
94691,R_33ZCBBcucMZ5leN,142,139,10,-0.131700,0.15,1,1,false,752,Q,main
94691,R_33ZCBBcucMZ5leN,143,467,12,0.315300,0.15,1,1,false,548,Q,main
94691,R_33ZCBBcucMZ5leN,144,387,8,0.221700,0.15,1,1,false,507,Q,main
94691,R_33ZCBBcucMZ5leN,145,323,8,0.131700,0.15,1,1,false,523,Q,main
94691,R_33ZCBBcucMZ5leN,146,9,10,-0.315300,0.15,1,1,false,447,Q,main
94691,R_33ZCBBcucMZ5leN,147,379,22,0.131700,0.15,1,1,false,563,P,main
94691,R_33ZCBBcucMZ5leN,148,59,22,-0.315300,0.15,1,1,false,782,P,main
94691,R_33ZCBBcucMZ5leN,149,298,18,0.043700,0.15,1,1,false,515,P,main
94691,R_33ZCBBcucMZ5leN,150,11,10,-0.315300,0.15,1,1,true,940,P,main
94691,R_33ZCBBcucMZ5leN,151,488,18,0.315300,0.15,1,1,false,891,P,main
94691,R_33ZCBBcucMZ5leN,152,65,8,-0.221700,0.15,1,1,false,782,Q,main
94691,R_33ZCBBcucMZ5leN,153,282,14,0.043700,0.15,1,1,true,850,P,main
94691,R_33ZCBBcucMZ5leN,154,155,14,-0.131700,0.15,1,1,false,651,Q,main
94691,R_33ZCBBcucMZ5leN,155,66,8,-0.221700,0.15,1,1,false,418,Q,main
94691,R_33ZCBBcucMZ5leN,156,458,10,0.315300,0.15,1,1,true,740,P,main
94691,R_33ZCBBcucMZ5leN,157,176,20,-0.131700,0.15,1,1,false,741,P,main
94691,R_33ZCBBcucMZ5leN,158,355,16,0.131700,0.15,1,1,false,651,P,main
