sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,stimulusPairing,accuracy,reactionTime,responseKey,trialType
94694,R_34bDeSLyd4DGY78,1,0,8,-0.315300,0.15,1,1,true,809,P,training
94694,R_34bDeSLyd4DGY78,2,362,18,0.131700,0.15,1,1,true,917,Q,training
94694,R_34bDeSLyd4DGY78,3,432,20,0.221700,0.15,1,1,false,2282,P,training
94694,R_34bDeSLyd4DGY78,4,360,18,0.131700,0.15,1,1,true,851,Q,training
94694,R_34bDeSLyd4DGY78,5,505,22,0.315300,0.15,1,1,true,1028,Q,training
94694,R_34bDeSLyd4DGY78,6,434,20,0.221700,0.15,1,1,true,800,Q,training
94694,R_34bDeSLyd4DGY78,7,73,10,-0.221700,0.15,1,1,true,646,P,training
94694,R_34bDeSLyd4DGY78,8,291,16,0.043700,0.15,1,1,true,817,Q,training
94694,R_34bDeSLyd4DGY78,9,146,12,-0.131700,0.15,1,1,true,845,P,training
94694,R_34bDeSLyd4DGY78,10,433,20,0.221700,0.15,1,1,true,799,Q,training
94694,R_34bDeSLyd4DGY78,11,435,20,0.221700,0.15,1,1,true,1033,Q,training
94694,R_34bDeSLyd4DGY78,12,2,8,-0.315300,0.15,1,1,true,668,P,training
94694,R_34bDeSLyd4DGY78,13,1,8,-0.315300,0.15,1,1,true,694,P,training
94694,R_34bDeSLyd4DGY78,14,363,18,0.131700,0.15,1,1,true,539,Q,training
94694,R_34bDeSLyd4DGY78,15,289,16,0.043700,0.15,1,1,false,972,P,training
94694,R_34bDeSLyd4DGY78,16,217,14,-0.043700,0.15,1,1,true,1276,P,training
94694,R_34bDeSLyd4DGY78,17,361,18,0.131700,0.15,1,1,true,841,Q,training
94694,R_34bDeSLyd4DGY78,18,145,12,-0.131700,0.15,1,1,true,1022,P,training
94694,R_34bDeSLyd4DGY78,19,290,16,0.043700,0.15,1,1,true,788,Q,training
94694,R_34bDeSLyd4DGY78,20,218,14,-0.043700,0.15,1,1,true,817,P,training
94694,R_34bDeSLyd4DGY78,21,288,16,0.043700,0.15,1,1,true,605,Q,training
94694,R_34bDeSLyd4DGY78,22,74,10,-0.221700,0.15,1,1,true,482,P,training
94694,R_34bDeSLyd4DGY78,23,216,14,-0.043700,0.15,1,1,false,386,Q,training
94694,R_34bDeSLyd4DGY78,24,219,14,-0.043700,0.15,1,1,true,362,P,training
94694,R_34bDeSLyd4DGY78,25,144,12,-0.131700,0.15,1,1,false,1041,Q,training
94694,R_34bDeSLyd4DGY78,26,75,10,-0.221700,0.15,1,1,false,1316,Q,training
94694,R_34bDeSLyd4DGY78,27,506,22,0.315300,0.15,1,1,true,831,Q,training
94694,R_34bDeSLyd4DGY78,28,72,10,-0.221700,0.15,1,1,true,557,P,training
94694,R_34bDeSLyd4DGY78,29,504,22,0.315300,0.15,1,1,true,612,Q,training
94694,R_34bDeSLyd4DGY78,30,507,22,0.315300,0.15,1,1,true,562,Q,training
94694,R_34bDeSLyd4DGY78,31,147,12,-0.131700,0.15,1,1,true,634,P,training
94694,R_34bDeSLyd4DGY78,32,3,8,-0.315300,0.15,1,1,true,784,P,training
94694,R_34bDeSLyd4DGY78,33,56,22,-0.315300,0.15,1,1,false,1570,P,main
94694,R_34bDeSLyd4DGY78,34,114,20,-0.221700,0.15,1,1,false,1122,P,main
94694,R_34bDeSLyd4DGY78,35,161,16,-0.131700,0.15,1,1,false,1006,P,main
94694,R_34bDeSLyd4DGY78,36,338,12,0.131700,0.15,1,1,false,545,Q,main
94694,R_34bDeSLyd4DGY78,37,400,12,0.221700,0.15,1,1,false,527,Q,main
94694,R_34bDeSLyd4DGY78,38,474,14,0.315300,0.15,1,1,false,536,Q,main
94694,R_34bDeSLyd4DGY78,39,441,22,0.221700,0.15,1,1,true,552,Q,main
94694,R_34bDeSLyd4DGY78,40,193,8,-0.043700,0.15,1,1,false,419,Q,main
94694,R_34bDeSLyd4DGY78,41,426,18,0.221700,0.15,1,1,true,714,Q,main
94694,R_34bDeSLyd4DGY78,42,65,8,-0.221700,0.15,1,1,true,491,P,main
94694,R_34bDeSLyd4DGY78,43,377,22,0.131700,0.15,1,1,true,534,Q,main
94694,R_34bDeSLyd4DGY78,44,379,22,0.131700,0.15,1,1,true,717,Q,main
94694,R_34bDeSLyd4DGY78,45,394,10,0.221700,0.15,1,1,true,616,P,main
94694,R_34bDeSLyd4DGY78,46,34,16,-0.315300,0.15,1,1,true,556,Q,main
94694,R_34bDeSLyd4DGY78,47,57,22,-0.315300,0.15,1,1,true,1143,Q,main
94694,R_34bDeSLyd4DGY78,48,24,14,-0.315300,0.15,1,1,true,914,P,main
94694,R_34bDeSLyd4DGY78,49,64,8,-0.221700,0.15,1,1,true,559,P,main
94694,R_34bDeSLyd4DGY78,50,42,18,-0.315300,0.15,1,1,false,485,P,main
94694,R_34bDeSLyd4DGY78,51,225,16,-0.043700,0.15,1,1,true,745,Q,main
94694,R_34bDeSLyd4DGY78,52,490,18,0.315300,0.15,1,1,true,759,Q,main
94694,R_34bDeSLyd4DGY78,53,105,18,-0.221700,0.15,1,1,false,648,P,main
94694,R_34bDeSLyd4DGY78,54,16,12,-0.315300,0.15,1,1,true,583,P,main
94694,R_34bDeSLyd4DGY78,55,312,22,0.043700,0.15,1,1,true,1201,Q,main
94694,R_34bDeSLyd4DGY78,56,393,10,0.221700,0.15,1,1,false,661,Q,main
94694,R_34bDeSLyd4DGY78,57,323,8,0.131700,0.15,1,1,false,730,Q,main
94694,R_34bDeSLyd4DGY78,58,355,16,0.131700,0.15,1,1,true,704,Q,main
94694,R_34bDeSLyd4DGY78,59,416,16,0.221700,0.15,1,1,true,659,Q,main
94694,R_34bDeSLyd4DGY78,60,32,16,-0.315300,0.15,1,1,false,914,P,main
94694,R_34bDeSLyd4DGY78,61,267,10,0.043700,0.15,1,1,false,1416,Q,main
94694,R_34bDeSLyd4DGY78,62,480,16,0.315300,0.15,1,1,true,559,Q,main
94694,R_34bDeSLyd4DGY78,63,424,18,0.221700,0.15,1,1,true,772,Q,main
94694,R_34bDeSLyd4DGY78,64,307,20,0.043700,0.15,1,1,true,801,Q,main
94694,R_34bDeSLyd4DGY78,65,26,14,-0.315300,0.15,1,1,true,1263,P,main
94694,R_34bDeSLyd4DGY78,66,249,22,-0.043700,0.15,1,1,true,561,Q,main
94694,R_34bDeSLyd4DGY78,67,194,8,-0.043700,0.15,1,1,true,1425,P,main
94694,R_34bDeSLyd4DGY78,68,43,18,-0.315300,0.15,1,1,false,1370,P,main
94694,R_34bDeSLyd4DGY78,69,233,18,-0.043700,0.15,1,1,true,724,Q,main
94694,R_34bDeSLyd4DGY78,70,403,12,0.221700,0.15,1,1,false,532,Q,main
