sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,stimulusPairing,accuracy,reactionTime,responseKey,trialType
97453,R_3I6sLhHMKimLJjs,1,73,10,-0.221700,0.15,1,1,true,5216,P,training
97453,R_3I6sLhHMKimLJjs,2,361,18,0.131700,0.15,1,1,false,2714,P,training
97453,R_3I6sLhHMKimLJjs,3,505,22,0.315300,0.15,1,1,true,10668,Q,training
97453,R_3I6sLhHMKimLJjs,4,288,16,0.043700,0.15,1,1,false,1754,P,training
97453,R_3I6sLhHMKimLJjs,5,72,10,-0.221700,0.15,1,1,true,1624,P,training
97453,R_3I6sLhHMKimLJjs,6,432,20,0.221700,0.15,1,1,true,681,Q,training
97453,R_3I6sLhHMKimLJjs,7,217,14,-0.043700,0.15,1,1,false,1283,Q,training
97453,R_3I6sLhHMKimLJjs,8,144,12,-0.131700,0.15,1,1,true,1354,P,training
97453,R_3I6sLhHMKimLJjs,9,362,18,0.131700,0.15,1,1,false,1501,P,training
97453,R_3I6sLhHMKimLJjs,10,290,16,0.043700,0.15,1,1,true,1550,Q,training
97453,R_3I6sLhHMKimLJjs,11,145,12,-0.131700,0.15,1,1,true,848,P,training
97453,R_3I6sLhHMKimLJjs,12,146,12,-0.131700,0.15,1,1,false,1618,Q,training
97453,R_3I6sLhHMKimLJjs,13,434,20,0.221700,0.15,1,1,false,975,P,training
97453,R_3I6sLhHMKimLJjs,14,218,14,-0.043700,0.15,1,1,true,933,P,training
97453,R_3I6sLhHMKimLJjs,15,435,20,0.221700,0.15,1,1,true,3568,Q,training
97453,R_3I6sLhHMKimLJjs,16,433,20,0.221700,0.15,1,1,true,1551,Q,training
97453,R_3I6sLhHMKimLJjs,17,289,16,0.043700,0.15,1,1,true,2016,Q,training
97453,R_3I6sLhHMKimLJjs,18,219,14,-0.043700,0.15,1,1,false,2314,Q,training
97453,R_3I6sLhHMKimLJjs,19,506,22,0.315300,0.15,1,1,false,976,P,training
97453,R_3I6sLhHMKimLJjs,20,74,10,-0.221700,0.15,1,1,true,835,P,training
97453,R_3I6sLhHMKimLJjs,21,147,12,-0.131700,0.15,1,1,true,1116,P,training
97453,R_3I6sLhHMKimLJjs,22,3,8,-0.315300,0.15,1,1,true,1129,P,training
97453,R_3I6sLhHMKimLJjs,23,1,8,-0.315300,0.15,1,1,true,1140,P,training
97453,R_3I6sLhHMKimLJjs,24,504,22,0.315300,0.15,1,1,true,971,Q,training
97453,R_3I6sLhHMKimLJjs,25,75,10,-0.221700,0.15,1,1,true,1383,P,training
97453,R_3I6sLhHMKimLJjs,26,363,18,0.131700,0.15,1,1,false,3333,P,training
97453,R_3I6sLhHMKimLJjs,27,291,16,0.043700,0.15,1,1,true,1308,Q,training
97453,R_3I6sLhHMKimLJjs,28,507,22,0.315300,0.15,1,1,true,1236,Q,training
