sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,stimulusPairing,accuracy,reactionTime,responseKey,trialType
92296,R_3aXmCHJhicGsy8Z,1,145,12,-0.131700,0.15,2,1,false,5597,P,training
92296,R_3aXmCHJhicGsy8Z,2,506,22,0.315300,0.15,2,1,true,1148,P,training
92296,R_3aXmCHJhicGsy8Z,3,73,10,-0.221700,0.15,2,1,false,788,P,training
92296,R_3aXmCHJhicGsy8Z,4,75,10,-0.221700,0.15,2,1,false,452,P,training
92296,R_3aXmCHJhicGsy8Z,5,504,22,0.315300,0.15,2,1,true,324,P,training
92296,R_3aXmCHJhicGsy8Z,6,1,8,-0.315300,0.15,2,1,true,567,Q,training
92296,R_3aXmCHJhicGsy8Z,7,360,18,0.131700,0.15,2,1,true,793,P,training
92296,R_3aXmCHJhicGsy8Z,8,289,16,0.043700,0.15,2,1,false,536,Q,training
92296,R_3aXmCHJhicGsy8Z,9,433,20,0.221700,0.15,2,1,true,1068,P,training
92296,R_3aXmCHJhicGsy8Z,10,2,8,-0.315300,0.15,2,1,true,594,Q,training
92296,R_3aXmCHJhicGsy8Z,11,144,12,-0.131700,0.15,2,1,true,839,Q,training
92296,R_3aXmCHJhicGsy8Z,12,147,12,-0.131700,0.15,2,1,true,625,Q,training
92296,R_3aXmCHJhicGsy8Z,13,72,10,-0.221700,0.15,2,1,true,648,Q,training
92296,R_3aXmCHJhicGsy8Z,14,290,16,0.043700,0.15,2,1,true,602,P,training
92296,R_3aXmCHJhicGsy8Z,15,507,22,0.315300,0.15,2,1,true,607,P,training
92296,R_3aXmCHJhicGsy8Z,16,0,8,-0.315300,0.15,2,1,true,511,Q,training
92296,R_3aXmCHJhicGsy8Z,17,363,18,0.131700,0.15,2,1,true,529,P,training
92296,R_3aXmCHJhicGsy8Z,18,74,10,-0.221700,0.15,2,1,false,689,P,training
92296,R_3aXmCHJhicGsy8Z,19,216,14,-0.043700,0.15,2,1,false,598,P,training
92296,R_3aXmCHJhicGsy8Z,20,434,20,0.221700,0.15,2,1,true,450,P,training
92296,R_3aXmCHJhicGsy8Z,21,219,14,-0.043700,0.15,2,1,false,1190,P,training
92296,R_3aXmCHJhicGsy8Z,22,361,18,0.131700,0.15,2,1,true,576,P,training
92296,R_3aXmCHJhicGsy8Z,23,288,16,0.043700,0.15,2,1,true,520,P,training
92296,R_3aXmCHJhicGsy8Z,24,432,20,0.221700,0.15,2,1,false,1050,Q,training
92296,R_3aXmCHJhicGsy8Z,25,362,18,0.131700,0.15,2,1,true,935,P,training
92296,R_3aXmCHJhicGsy8Z,26,291,16,0.043700,0.15,2,1,true,1076,P,training
92296,R_3aXmCHJhicGsy8Z,27,217,14,-0.043700,0.15,2,1,false,754,P,training
92296,R_3aXmCHJhicGsy8Z,28,218,14,-0.043700,0.15,2,1,false,1341,P,training
92296,R_3aXmCHJhicGsy8Z,29,435,20,0.221700,0.15,2,1,true,440,P,training
92296,R_3aXmCHJhicGsy8Z,30,505,22,0.315300,0.15,2,1,true,685,P,training
92296,R_3aXmCHJhicGsy8Z,31,3,8,-0.315300,0.15,2,1,true,600,Q,training
92296,R_3aXmCHJhicGsy8Z,32,146,12,-0.131700,0.15,2,1,false,516,P,training
92296,R_3aXmCHJhicGsy8Z,33,99,16,-0.221700,0.15,2,1,true,579,P,main
92296,R_3aXmCHJhicGsy8Z,34,370,20,0.131700,0.15,2,1,true,659,P,main
92296,R_3aXmCHJhicGsy8Z,35,312,22,0.043700,0.15,2,1,true,459,P,main
92296,R_3aXmCHJhicGsy8Z,36,107,18,-0.221700,0.15,2,1,true,519,P,main
92296,R_3aXmCHJhicGsy8Z,37,96,16,-0.221700,0.15,2,1,true,983,P,main
92296,R_3aXmCHJhicGsy8Z,38,488,18,0.315300,0.15,2,1,true,492,P,main
92296,R_3aXmCHJhicGsy8Z,39,160,16,-0.131700,0.15,2,1,true,837,P,main
92296,R_3aXmCHJhicGsy8Z,40,394,10,0.221700,0.15,2,1,true,637,Q,main
92296,R_3aXmCHJhicGsy8Z,41,296,18,0.043700,0.15,2,1,true,852,P,main
92296,R_3aXmCHJhicGsy8Z,42,130,8,-0.131700,0.15,2,1,true,578,Q,main
