sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,stimulusPairing,accuracy,reactionTime,responseKey,trialType
88912,R_3luEvd5YyuvZ4QP,1,280,14,0.043700,0.15,2,2,false,36691,P,training
88912,R_3luEvd5YyuvZ4QP,2,227,16,-0.043700,0.15,2,2,false,6833,Q,training
88912,R_3luEvd5YyuvZ4QP,3,339,12,0.131700,0.15,2,2,false,9350,P,training
88912,R_3luEvd5YyuvZ4QP,4,56,22,-0.315300,0.15,2,2,false,7032,Q,training
88912,R_3luEvd5YyuvZ4QP,5,336,12,0.131700,0.15,2,2,false,1929,P,training
88912,R_3luEvd5YyuvZ4QP,6,283,14,0.043700,0.15,2,2,true,363,Q,training
88912,R_3luEvd5YyuvZ4QP,7,114,20,-0.221700,0.15,2,2,true,9268,P,training
88912,R_3luEvd5YyuvZ4QP,8,394,10,0.221700,0.15,2,2,false,1121,P,training
88912,R_3luEvd5YyuvZ4QP,9,226,16,-0.043700,0.15,2,2,false,858,Q,training
88912,R_3luEvd5YyuvZ4QP,10,224,16,-0.043700,0.15,2,2,true,1034,P,training
88912,R_3luEvd5YyuvZ4QP,11,281,14,0.043700,0.15,2,2,true,1289,Q,training
88912,R_3luEvd5YyuvZ4QP,12,169,18,-0.131700,0.15,2,2,true,1558,P,training
88912,R_3luEvd5YyuvZ4QP,13,57,22,-0.315300,0.15,2,2,false,1104,Q,training
88912,R_3luEvd5YyuvZ4QP,14,337,12,0.131700,0.15,2,2,false,1004,P,training
88912,R_3luEvd5YyuvZ4QP,15,395,10,0.221700,0.15,2,2,true,516,Q,training
88912,R_3luEvd5YyuvZ4QP,16,59,22,-0.315300,0.15,2,2,false,1077,Q,training
88912,R_3luEvd5YyuvZ4QP,17,113,20,-0.221700,0.15,2,2,true,718,P,training
88912,R_3luEvd5YyuvZ4QP,18,112,20,-0.221700,0.15,2,2,false,839,Q,training
88912,R_3luEvd5YyuvZ4QP,19,449,8,0.315300,0.15,2,2,true,1006,Q,training
88912,R_3luEvd5YyuvZ4QP,20,171,18,-0.131700,0.15,2,2,true,1557,P,training
88912,R_3luEvd5YyuvZ4QP,21,225,16,-0.043700,0.15,2,2,false,995,Q,training
88912,R_3luEvd5YyuvZ4QP,22,170,18,-0.131700,0.15,2,2,true,1011,P,training
88912,R_3luEvd5YyuvZ4QP,23,338,12,0.131700,0.15,2,2,false,701,P,training
88912,R_3luEvd5YyuvZ4QP,24,451,8,0.315300,0.15,2,2,true,998,Q,training
88912,R_3luEvd5YyuvZ4QP,25,393,10,0.221700,0.15,2,2,true,674,Q,training
88912,R_3luEvd5YyuvZ4QP,26,450,8,0.315300,0.15,2,2,true,724,Q,training
88912,R_3luEvd5YyuvZ4QP,27,282,14,0.043700,0.15,2,2,false,802,P,training
88912,R_3luEvd5YyuvZ4QP,28,58,22,-0.315300,0.15,2,2,true,1129,P,training
88912,R_3luEvd5YyuvZ4QP,29,448,8,0.315300,0.15,2,2,true,817,Q,training
88912,R_3luEvd5YyuvZ4QP,30,392,10,0.221700,0.15,2,2,true,766,Q,training
88912,R_3luEvd5YyuvZ4QP,31,115,20,-0.221700,0.15,2,2,true,1470,P,training
88912,R_3luEvd5YyuvZ4QP,32,168,18,-0.131700,0.15,2,2,false,1298,Q,training
88912,R_3luEvd5YyuvZ4QP,33,465,12,0.315300,0.15,2,2,true,636,Q,main
88912,R_3luEvd5YyuvZ4QP,34,379,22,0.131700,0.15,2,2,true,1635,P,main
88912,R_3luEvd5YyuvZ4QP,35,256,8,0.043700,0.15,2,2,true,519,Q,main
88912,R_3luEvd5YyuvZ4QP,36,507,22,0.315300,0.15,2,2,true,610,P,main
88912,R_3luEvd5YyuvZ4QP,37,482,16,0.315300,0.15,2,2,false,689,Q,main
88912,R_3luEvd5YyuvZ4QP,38,433,20,0.221700,0.15,2,2,false,565,Q,main
88912,R_3luEvd5YyuvZ4QP,39,257,8,0.043700,0.15,2,2,false,1628,P,main
88912,R_3luEvd5YyuvZ4QP,40,251,22,-0.043700,0.15,2,2,false,1331,Q,main
88912,R_3luEvd5YyuvZ4QP,41,432,20,0.221700,0.15,2,2,false,1015,Q,main
88912,R_3luEvd5YyuvZ4QP,42,474,14,0.315300,0.15,2,2,true,724,Q,main
88912,R_3luEvd5YyuvZ4QP,43,185,22,-0.131700,0.15,2,2,true,1137,P,main
88912,R_3luEvd5YyuvZ4QP,44,208,12,-0.043700,0.15,2,2,false,907,P,main
88912,R_3luEvd5YyuvZ4QP,45,354,16,0.131700,0.15,2,2,true,910,P,main
88912,R_3luEvd5YyuvZ4QP,46,11,10,-0.315300,0.15,2,2,true,1142,Q,main
88912,R_3luEvd5YyuvZ4QP,47,35,16,-0.315300,0.15,2,2,false,1608,Q,main
88912,R_3luEvd5YyuvZ4QP,48,145,12,-0.131700,0.15,2,2,false,1174,P,main
88912,R_3luEvd5YyuvZ4QP,49,491,18,0.315300,0.15,2,2,false,1207,Q,main
88912,R_3luEvd5YyuvZ4QP,50,259,8,0.043700,0.15,2,2,true,1044,Q,main
88912,R_3luEvd5YyuvZ4QP,51,347,14,0.131700,0.15,2,2,true,650,Q,main
88912,R_3luEvd5YyuvZ4QP,52,49,20,-0.315300,0.15,2,2,true,762,P,main
88912,R_3luEvd5YyuvZ4QP,53,152,14,-0.131700,0.15,2,2,true,970,Q,main
88912,R_3luEvd5YyuvZ4QP,54,497,20,0.315300,0.15,2,2,false,741,Q,main
88912,R_3luEvd5YyuvZ4QP,55,26,14,-0.315300,0.15,2,2,false,1272,P,main
88912,R_3luEvd5YyuvZ4QP,56,434,20,0.221700,0.15,2,2,false,686,Q,main
88912,R_3luEvd5YyuvZ4QP,57,456,10,0.315300,0.15,2,2,true,561,Q,main
88912,R_3luEvd5YyuvZ4QP,58,467,12,0.315300,0.15,2,2,true,621,Q,main
88912,R_3luEvd5YyuvZ4QP,59,187,22,-0.131700,0.15,2,2,true,1004,P,main
88912,R_3luEvd5YyuvZ4QP,60,297,18,0.043700,0.15,2,2,false,1293,Q,main
88912,R_3luEvd5YyuvZ4QP,61,266,10,0.043700,0.15,2,2,true,902,Q,main
88912,R_3luEvd5YyuvZ4QP,62,371,20,0.131700,0.15,2,2,false,619,Q,main
88912,R_3luEvd5YyuvZ4QP,63,258,8,0.043700,0.15,2,2,true,639,Q,main
88912,R_3luEvd5YyuvZ4QP,64,377,22,0.131700,0.15,2,2,false,689,Q,main
88912,R_3luEvd5YyuvZ4QP,65,67,8,-0.221700,0.15,2,2,false,1332,P,main
88912,R_3luEvd5YyuvZ4QP,66,475,14,0.315300,0.15,2,2,true,704,Q,main
88912,R_3luEvd5YyuvZ4QP,67,121,22,-0.221700,0.15,2,2,false,699,Q,main
88912,R_3luEvd5YyuvZ4QP,68,321,8,0.131700,0.15,2,2,true,672,Q,main
88912,R_3luEvd5YyuvZ4QP,69,320,8,0.131700,0.15,2,2,true,752,Q,main
88912,R_3luEvd5YyuvZ4QP,70,322,8,0.131700,0.15,2,2,true,479,Q,main
88912,R_3luEvd5YyuvZ4QP,71,480,16,0.315300,0.15,2,2,false,713,Q,main
88912,R_3luEvd5YyuvZ4QP,72,88,14,-0.221700,0.15,2,2,false,721,P,main
88912,R_3luEvd5YyuvZ4QP,73,400,12,0.221700,0.15,2,2,true,955,Q,main
88912,R_3luEvd5YyuvZ4QP,74,459,10,0.315300,0.15,2,2,true,634,Q,main
88912,R_3luEvd5YyuvZ4QP,75,17,12,-0.315300,0.15,2,2,true,892,Q,main
88912,R_3luEvd5YyuvZ4QP,76,186,22,-0.131700,0.15,2,2,false,954,Q,main
88912,R_3luEvd5YyuvZ4QP,77,233,18,-0.043700,0.15,2,2,true,567,P,main
88912,R_3luEvd5YyuvZ4QP,78,201,10,-0.043700,0.15,2,2,true,522,Q,main
88912,R_3luEvd5YyuvZ4QP,79,265,10,0.043700,0.15,2,2,true,593,Q,main
88912,R_3luEvd5YyuvZ4QP,80,307,20,0.043700,0.15,2,2,true,690,P,main
88912,R_3luEvd5YyuvZ4QP,81,161,16,-0.131700,0.15,2,2,false,727,Q,main
88912,R_3luEvd5YyuvZ4QP,82,408,14,0.221700,0.15,2,2,false,703,P,main
88912,R_3luEvd5YyuvZ4QP,83,128,8,-0.131700,0.15,2,2,true,505,Q,main
88912,R_3luEvd5YyuvZ4QP,84,25,14,-0.315300,0.15,2,2,false,681,P,main
88912,R_3luEvd5YyuvZ4QP,85,312,22,0.043700,0.15,2,2,false,642,Q,main
88912,R_3luEvd5YyuvZ4QP,86,313,22,0.043700,0.15,2,2,false,1105,Q,main
88912,R_3luEvd5YyuvZ4QP,87,416,16,0.221700,0.15,2,2,true,518,P,main
88912,R_3luEvd5YyuvZ4QP,88,202,10,-0.043700,0.15,2,2,false,838,P,main
88912,R_3luEvd5YyuvZ4QP,89,50,20,-0.315300,0.15,2,2,true,691,P,main
88912,R_3luEvd5YyuvZ4QP,90,440,22,0.221700,0.15,2,2,true,879,P,main
88912,R_3luEvd5YyuvZ4QP,91,376,22,0.131700,0.15,2,2,false,364,Q,main
