sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,stimulusPairing,accuracy,reactionTime,responseKey,trialType
90416,R_3rxe3SE072miV8A,1,144,12,-0.131700,0.15,2,1,false,4625,P,training
90416,R_3rxe3SE072miV8A,2,434,20,0.221700,0.15,2,1,false,2135,Q,training
90416,R_3rxe3SE072miV8A,3,507,22,0.315300,0.15,2,1,true,915,P,training
90416,R_3rxe3SE072miV8A,4,145,12,-0.131700,0.15,2,1,false,1706,P,training
90416,R_3rxe3SE072miV8A,5,73,10,-0.221700,0.15,2,1,true,641,Q,training
90416,R_3rxe3SE072miV8A,6,505,22,0.315300,0.15,2,1,false,848,Q,training
90416,R_3rxe3SE072miV8A,7,362,18,0.131700,0.15,2,1,true,709,P,training
90416,R_3rxe3SE072miV8A,8,1,8,-0.315300,0.15,2,1,true,1445,Q,training
90416,R_3rxe3SE072miV8A,9,74,10,-0.221700,0.15,2,1,true,2164,Q,training
90416,R_3rxe3SE072miV8A,10,289,16,0.043700,0.15,2,1,true,1904,P,training
90416,R_3rxe3SE072miV8A,11,217,14,-0.043700,0.15,2,1,true,2264,Q,training
90416,R_3rxe3SE072miV8A,12,146,12,-0.131700,0.15,2,1,true,1029,Q,training
90416,R_3rxe3SE072miV8A,13,360,18,0.131700,0.15,2,1,false,1381,Q,training
90416,R_3rxe3SE072miV8A,14,290,16,0.043700,0.15,2,1,true,819,P,training
90416,R_3rxe3SE072miV8A,15,363,18,0.131700,0.15,2,1,true,1678,P,training
90416,R_3rxe3SE072miV8A,16,216,14,-0.043700,0.15,2,1,false,1650,P,training
90416,R_3rxe3SE072miV8A,17,291,16,0.043700,0.15,2,1,false,569,Q,training
90416,R_3rxe3SE072miV8A,18,218,14,-0.043700,0.15,2,1,false,722,P,training
90416,R_3rxe3SE072miV8A,19,147,12,-0.131700,0.15,2,1,true,443,Q,training
90416,R_3rxe3SE072miV8A,20,288,16,0.043700,0.15,2,1,false,1380,Q,training
90416,R_3rxe3SE072miV8A,21,361,18,0.131700,0.15,2,1,true,506,P,training
90416,R_3rxe3SE072miV8A,22,3,8,-0.315300,0.15,2,1,false,3550,P,training
90416,R_3rxe3SE072miV8A,23,72,10,-0.221700,0.15,2,1,false,5639,P,training
90416,R_3rxe3SE072miV8A,24,433,20,0.221700,0.15,2,1,false,3075,Q,training
90416,R_3rxe3SE072miV8A,25,2,8,-0.315300,0.15,2,1,false,402,P,training
90416,R_3rxe3SE072miV8A,26,432,20,0.221700,0.15,2,1,false,345,Q,training
90416,R_3rxe3SE072miV8A,27,435,20,0.221700,0.15,2,1,true,426,P,training
90416,R_3rxe3SE072miV8A,28,75,10,-0.221700,0.15,2,1,false,581,P,training
90416,R_3rxe3SE072miV8A,29,504,22,0.315300,0.15,2,1,true,333,P,training
90416,R_3rxe3SE072miV8A,30,219,14,-0.043700,0.15,2,1,false,2005,P,training
90416,R_3rxe3SE072miV8A,31,506,22,0.315300,0.15,2,1,true,2412,P,training
90416,R_3rxe3SE072miV8A,32,0,8,-0.315300,0.15,2,1,true,1069,Q,training
90416,R_3rxe3SE072miV8A,33,250,22,-0.043700,0.15,2,1,true,1101,P,main
90416,R_3rxe3SE072miV8A,34,243,20,-0.043700,0.15,2,1,false,2141,Q,main
90416,R_3rxe3SE072miV8A,35,184,22,-0.131700,0.15,2,1,true,1121,P,main
90416,R_3rxe3SE072miV8A,36,43,18,-0.315300,0.15,2,1,true,1755,P,main
90416,R_3rxe3SE072miV8A,37,411,14,0.221700,0.15,2,1,false,1362,P,main
90416,R_3rxe3SE072miV8A,38,353,16,0.131700,0.15,2,1,false,1076,Q,main
90416,R_3rxe3SE072miV8A,39,371,20,0.131700,0.15,2,1,true,1048,P,main
90416,R_3rxe3SE072miV8A,40,304,20,0.043700,0.15,2,1,true,1448,P,main
90416,R_3rxe3SE072miV8A,41,203,10,-0.043700,0.15,2,1,true,939,Q,main
90416,R_3rxe3SE072miV8A,42,491,18,0.315300,0.15,2,1,true,1364,P,main
90416,R_3rxe3SE072miV8A,43,424,18,0.221700,0.15,2,1,true,1665,P,main
90416,R_3rxe3SE072miV8A,44,202,10,-0.043700,0.15,2,1,true,1148,Q,main
90416,R_3rxe3SE072miV8A,45,65,8,-0.221700,0.15,2,1,false,1062,P,main
90416,R_3rxe3SE072miV8A,46,122,22,-0.221700,0.15,2,1,true,1432,P,main
90416,R_3rxe3SE072miV8A,47,408,14,0.221700,0.15,2,1,true,1782,Q,main
90416,R_3rxe3SE072miV8A,48,50,20,-0.315300,0.15,2,1,true,3423,P,main
90416,R_3rxe3SE072miV8A,49,97,16,-0.221700,0.15,2,1,false,834,Q,main
90416,R_3rxe3SE072miV8A,50,464,12,0.315300,0.15,2,1,false,879,P,main
90416,R_3rxe3SE072miV8A,51,56,22,-0.315300,0.15,2,1,true,979,P,main
90416,R_3rxe3SE072miV8A,52,186,22,-0.131700,0.15,2,1,false,817,Q,main
90416,R_3rxe3SE072miV8A,53,472,14,0.315300,0.15,2,1,false,1079,P,main
90416,R_3rxe3SE072miV8A,54,442,22,0.221700,0.15,2,1,true,795,P,main
90416,R_3rxe3SE072miV8A,55,456,10,0.315300,0.15,2,1,false,720,P,main
90416,R_3rxe3SE072miV8A,56,344,14,0.131700,0.15,2,1,false,853,P,main
90416,R_3rxe3SE072miV8A,57,355,16,0.131700,0.15,2,1,true,900,P,main
90416,R_3rxe3SE072miV8A,58,298,18,0.043700,0.15,2,1,true,718,P,main
90416,R_3rxe3SE072miV8A,59,283,14,0.043700,0.15,2,1,false,750,P,main
90416,R_3rxe3SE072miV8A,60,441,22,0.221700,0.15,2,1,false,932,Q,main
90416,R_3rxe3SE072miV8A,61,256,8,0.043700,0.15,2,1,true,800,Q,main
90416,R_3rxe3SE072miV8A,62,115,20,-0.221700,0.15,2,1,false,1229,Q,main
90416,R_3rxe3SE072miV8A,63,385,8,0.221700,0.15,2,1,false,762,P,main
90416,R_3rxe3SE072miV8A,64,58,22,-0.315300,0.15,2,1,false,763,Q,main
90416,R_3rxe3SE072miV8A,65,489,18,0.315300,0.15,2,1,true,613,P,main
90416,R_3rxe3SE072miV8A,66,233,18,-0.043700,0.15,2,1,true,956,P,main
90416,R_3rxe3SE072miV8A,67,161,16,-0.131700,0.15,2,1,true,691,P,main
90416,R_3rxe3SE072miV8A,68,410,14,0.221700,0.15,2,1,false,767,P,main
90416,R_3rxe3SE072miV8A,69,352,16,0.131700,0.15,2,1,false,1384,Q,main
90416,R_3rxe3SE072miV8A,70,192,8,-0.043700,0.15,2,1,false,545,P,main
90416,R_3rxe3SE072miV8A,71,409,14,0.221700,0.15,2,1,true,1825,Q,main
90416,R_3rxe3SE072miV8A,72,395,10,0.221700,0.15,2,1,false,783,P,main
90416,R_3rxe3SE072miV8A,73,354,16,0.131700,0.15,2,1,false,11,Q,main
90416,R_3rxe3SE072miV8A,74,130,8,-0.131700,0.15,2,1,true,830,Q,main
90416,R_3rxe3SE072miV8A,75,89,14,-0.221700,0.15,2,1,false,595,P,main
90416,R_3rxe3SE072miV8A,76,307,20,0.043700,0.15,2,1,true,943,P,main
90416,R_3rxe3SE072miV8A,77,81,12,-0.221700,0.15,2,1,false,742,P,main
90416,R_3rxe3SE072miV8A,78,240,20,-0.043700,0.15,2,1,true,620,P,main
90416,R_3rxe3SE072miV8A,79,273,12,0.043700,0.15,2,1,true,1079,Q,main
90416,R_3rxe3SE072miV8A,80,459,10,0.315300,0.15,2,1,true,884,Q,main
90416,R_3rxe3SE072miV8A,81,490,18,0.315300,0.15,2,1,true,326,P,main
90416,R_3rxe3SE072miV8A,82,57,22,-0.315300,0.15,2,1,true,639,P,main
90416,R_3rxe3SE072miV8A,83,160,16,-0.131700,0.15,2,1,false,748,Q,main
90416,R_3rxe3SE072miV8A,84,272,12,0.043700,0.15,2,1,true,612,Q,main
90416,R_3rxe3SE072miV8A,85,155,14,-0.131700,0.15,2,1,true,709,Q,main
90416,R_3rxe3SE072miV8A,86,384,8,0.221700,0.15,2,1,false,854,P,main
90416,R_3rxe3SE072miV8A,87,107,18,-0.221700,0.15,2,1,false,784,Q,main
90416,R_3rxe3SE072miV8A,88,280,14,0.043700,0.15,2,1,false,345,P,main
90416,R_3rxe3SE072miV8A,89,163,16,-0.131700,0.15,2,1,false,488,Q,main
90416,R_3rxe3SE072miV8A,90,474,14,0.315300,0.15,2,1,false,612,P,main
90416,R_3rxe3SE072miV8A,91,306,20,0.043700,0.15,2,1,false,478,Q,main
90416,R_3rxe3SE072miV8A,92,266,10,0.043700,0.15,2,1,false,430,P,main
90416,R_3rxe3SE072miV8A,93,467,12,0.315300,0.15,2,1,false,516,P,main
90416,R_3rxe3SE072miV8A,94,297,18,0.043700,0.15,2,1,true,556,P,main
90416,R_3rxe3SE072miV8A,95,179,20,-0.131700,0.15,2,1,true,347,P,main
90416,R_3rxe3SE072miV8A,96,154,14,-0.131700,0.15,2,1,false,558,P,main
90416,R_3rxe3SE072miV8A,97,26,14,-0.315300,0.15,2,1,false,514,P,main
90416,R_3rxe3SE072miV8A,98,275,12,0.043700,0.15,2,1,true,573,Q,main
90416,R_3rxe3SE072miV8A,99,59,22,-0.315300,0.15,2,1,true,296,P,main
90416,R_3rxe3SE072miV8A,100,49,20,-0.315300,0.15,2,1,true,940,P,main
90416,R_3rxe3SE072miV8A,101,376,22,0.131700,0.15,2,1,true,657,P,main
90416,R_3rxe3SE072miV8A,102,162,16,-0.131700,0.15,2,1,true,724,P,main
90416,R_3rxe3SE072miV8A,103,123,22,-0.221700,0.15,2,1,true,1120,P,main
90416,R_3rxe3SE072miV8A,104,473,14,0.315300,0.15,2,1,true,952,Q,main
90416,R_3rxe3SE072miV8A,105,169,18,-0.131700,0.15,2,1,true,389,P,main
90416,R_3rxe3SE072miV8A,106,457,10,0.315300,0.15,2,1,false,1326,P,main
90416,R_3rxe3SE072miV8A,107,387,8,0.221700,0.15,2,1,false,958,P,main
90416,R_3rxe3SE072miV8A,108,393,10,0.221700,0.15,2,1,false,595,P,main
90416,R_3rxe3SE072miV8A,109,90,14,-0.221700,0.15,2,1,true,1203,Q,main
90416,R_3rxe3SE072miV8A,110,91,14,-0.221700,0.15,2,1,true,592,Q,main
90416,R_3rxe3SE072miV8A,111,386,8,0.221700,0.15,2,1,true,662,Q,main
90416,R_3rxe3SE072miV8A,112,40,18,-0.315300,0.15,2,1,true,796,P,main
90416,R_3rxe3SE072miV8A,113,345,14,0.131700,0.15,2,1,false,759,P,main
90416,R_3rxe3SE072miV8A,114,185,22,-0.131700,0.15,2,1,true,1305,P,main
90416,R_3rxe3SE072miV8A,115,394,10,0.221700,0.15,2,1,false,681,P,main
90416,R_3rxe3SE072miV8A,116,106,18,-0.221700,0.15,2,1,false,859,Q,main
90416,R_3rxe3SE072miV8A,117,131,8,-0.131700,0.15,2,1,false,671,P,main
90416,R_3rxe3SE072miV8A,118,274,12,0.043700,0.15,2,1,false,846,P,main
90416,R_3rxe3SE072miV8A,119,235,18,-0.043700,0.15,2,1,false,756,Q,main
90416,R_3rxe3SE072miV8A,120,440,22,0.221700,0.15,2,1,true,1246,P,main
90416,R_3rxe3SE072miV8A,121,488,18,0.315300,0.15,2,1,true,799,P,main
90416,R_3rxe3SE072miV8A,122,41,18,-0.315300,0.15,2,1,false,978,Q,main
90416,R_3rxe3SE072miV8A,123,35,16,-0.315300,0.15,2,1,true,693,P,main
90416,R_3rxe3SE072miV8A,124,281,14,0.043700,0.15,2,1,false,1375,P,main
90416,R_3rxe3SE072miV8A,125,259,8,0.043700,0.15,2,1,true,1240,Q,main
90416,R_3rxe3SE072miV8A,126,32,16,-0.315300,0.15,2,1,true,1128,P,main
90416,R_3rxe3SE072miV8A,127,8,10,-0.315300,0.15,2,1,false,1325,P,main
90416,R_3rxe3SE072miV8A,128,9,10,-0.315300,0.15,2,1,true,1105,Q,main
90416,R_3rxe3SE072miV8A,129,480,16,0.315300,0.15,2,1,true,880,P,main
90416,R_3rxe3SE072miV8A,130,466,12,0.315300,0.15,2,1,true,1308,Q,main
