sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,stimulusPairing,accuracy,reactionTime,responseKey,trialType
96182,R_52buvWiZ8Lxk8DG,1,288,16,0.043700,0.15,2,1,false,13199,Q,training
96182,R_52buvWiZ8Lxk8DG,2,216,14,-0.043700,0.15,2,1,false,2238,P,training
96182,R_52buvWiZ8Lxk8DG,3,3,8,-0.315300,0.15,2,1,false,1933,P,training
96182,R_52buvWiZ8Lxk8DG,4,146,12,-0.131700,0.15,2,1,true,1663,Q,training
96182,R_52buvWiZ8Lxk8DG,5,435,20,0.221700,0.15,2,1,false,1435,Q,training
96182,R_52buvWiZ8Lxk8DG,6,218,14,-0.043700,0.15,2,1,false,2176,P,training
96182,R_52buvWiZ8Lxk8DG,7,504,22,0.315300,0.15,2,1,true,2005,P,training
96182,R_52buvWiZ8Lxk8DG,8,363,18,0.131700,0.15,2,1,false,1711,Q,training
96182,R_52buvWiZ8Lxk8DG,9,291,16,0.043700,0.15,2,1,true,1753,P,training
96182,R_52buvWiZ8Lxk8DG,10,2,8,-0.315300,0.15,2,1,false,1037,P,training
96182,R_52buvWiZ8Lxk8DG,11,506,22,0.315300,0.15,2,1,true,947,P,training
96182,R_52buvWiZ8Lxk8DG,12,360,18,0.131700,0.15,2,1,false,754,Q,training
96182,R_52buvWiZ8Lxk8DG,13,362,18,0.131700,0.15,2,1,true,571,P,training
96182,R_52buvWiZ8Lxk8DG,14,144,12,-0.131700,0.15,2,1,true,1448,Q,training
96182,R_52buvWiZ8Lxk8DG,15,434,20,0.221700,0.15,2,1,true,1106,P,training
96182,R_52buvWiZ8Lxk8DG,16,75,10,-0.221700,0.15,2,1,false,1163,P,training
96182,R_52buvWiZ8Lxk8DG,17,72,10,-0.221700,0.15,2,1,true,799,Q,training
96182,R_52buvWiZ8Lxk8DG,18,145,12,-0.131700,0.15,2,1,false,757,P,training
96182,R_52buvWiZ8Lxk8DG,19,361,18,0.131700,0.15,2,1,false,756,Q,training
96182,R_52buvWiZ8Lxk8DG,20,1,8,-0.315300,0.15,2,1,false,853,P,training
96182,R_52buvWiZ8Lxk8DG,21,432,20,0.221700,0.15,2,1,false,825,Q,training
96182,R_52buvWiZ8Lxk8DG,22,147,12,-0.131700,0.15,2,1,false,1301,P,training
96182,R_52buvWiZ8Lxk8DG,23,433,20,0.221700,0.15,2,1,true,649,P,training
96182,R_52buvWiZ8Lxk8DG,24,290,16,0.043700,0.15,2,1,true,812,P,training
96182,R_52buvWiZ8Lxk8DG,25,217,14,-0.043700,0.15,2,1,false,565,P,training
96182,R_52buvWiZ8Lxk8DG,26,0,8,-0.315300,0.15,2,1,true,1171,Q,training
96182,R_52buvWiZ8Lxk8DG,27,505,22,0.315300,0.15,2,1,true,1463,P,training
96182,R_52buvWiZ8Lxk8DG,28,73,10,-0.221700,0.15,2,1,true,1301,Q,training
96182,R_52buvWiZ8Lxk8DG,29,289,16,0.043700,0.15,2,1,false,1365,Q,training
96182,R_52buvWiZ8Lxk8DG,30,507,22,0.315300,0.15,2,1,true,602,P,training
96182,R_52buvWiZ8Lxk8DG,31,219,14,-0.043700,0.15,2,1,true,1654,Q,training
96182,R_52buvWiZ8Lxk8DG,32,74,10,-0.221700,0.15,2,1,false,761,P,training
96182,R_52buvWiZ8Lxk8DG,33,235,18,-0.043700,0.15,2,1,false,961,Q,main
96182,R_52buvWiZ8Lxk8DG,34,115,20,-0.221700,0.15,2,1,true,1317,P,main
96182,R_52buvWiZ8Lxk8DG,35,227,16,-0.043700,0.15,2,1,true,2129,P,main
96182,R_52buvWiZ8Lxk8DG,36,409,14,0.221700,0.15,2,1,false,697,P,main
96182,R_52buvWiZ8Lxk8DG,37,18,12,-0.315300,0.15,2,1,false,1334,P,main
96182,R_52buvWiZ8Lxk8DG,38,482,16,0.315300,0.15,2,1,true,1044,P,main
96182,R_52buvWiZ8Lxk8DG,39,385,8,0.221700,0.15,2,1,true,800,Q,main
96182,R_52buvWiZ8Lxk8DG,40,104,18,-0.221700,0.15,2,1,false,3045,Q,main
96182,R_52buvWiZ8Lxk8DG,41,178,20,-0.131700,0.15,2,1,true,1264,P,main
96182,R_52buvWiZ8Lxk8DG,42,448,8,0.315300,0.15,2,1,false,981,P,main
96182,R_52buvWiZ8Lxk8DG,43,418,16,0.221700,0.15,2,1,false,1994,Q,main
96182,R_52buvWiZ8Lxk8DG,44,386,8,0.221700,0.15,2,1,true,1598,Q,main
96182,R_52buvWiZ8Lxk8DG,45,298,18,0.043700,0.15,2,1,true,1378,P,main
96182,R_52buvWiZ8Lxk8DG,46,425,18,0.221700,0.15,2,1,true,1451,P,main
96182,R_52buvWiZ8Lxk8DG,47,480,16,0.315300,0.15,2,1,true,791,P,main
96182,R_52buvWiZ8Lxk8DG,48,34,16,-0.315300,0.15,2,1,true,1035,P,main
96182,R_52buvWiZ8Lxk8DG,49,59,22,-0.315300,0.15,2,1,true,1399,P,main
96182,R_52buvWiZ8Lxk8DG,50,49,20,-0.315300,0.15,2,1,true,790,P,main
96182,R_52buvWiZ8Lxk8DG,51,283,14,0.043700,0.15,2,1,true,733,Q,main
96182,R_52buvWiZ8Lxk8DG,52,459,10,0.315300,0.15,2,1,true,1536,Q,main
96182,R_52buvWiZ8Lxk8DG,53,99,16,-0.221700,0.15,2,1,true,1107,P,main
96182,R_52buvWiZ8Lxk8DG,54,370,20,0.131700,0.15,2,1,true,1030,P,main
96182,R_52buvWiZ8Lxk8DG,55,170,18,-0.131700,0.15,2,1,true,837,P,main
96182,R_52buvWiZ8Lxk8DG,56,401,12,0.221700,0.15,2,1,true,611,Q,main
96182,R_52buvWiZ8Lxk8DG,57,377,22,0.131700,0.15,2,1,false,980,Q,main
96182,R_52buvWiZ8Lxk8DG,58,307,20,0.043700,0.15,2,1,false,698,Q,main
96182,R_52buvWiZ8Lxk8DG,59,50,20,-0.315300,0.15,2,1,true,1164,P,main
96182,R_52buvWiZ8Lxk8DG,60,9,10,-0.315300,0.15,2,1,false,1569,P,main
96182,R_52buvWiZ8Lxk8DG,61,88,14,-0.221700,0.15,2,1,true,1060,Q,main
96182,R_52buvWiZ8Lxk8DG,62,371,20,0.131700,0.15,2,1,true,901,P,main
96182,R_52buvWiZ8Lxk8DG,63,234,18,-0.043700,0.15,2,1,true,877,P,main
96182,R_52buvWiZ8Lxk8DG,64,224,16,-0.043700,0.15,2,1,true,1216,P,main
96182,R_52buvWiZ8Lxk8DG,65,64,8,-0.221700,0.15,2,1,true,937,Q,main
96182,R_52buvWiZ8Lxk8DG,66,331,10,0.131700,0.15,2,1,false,856,P,main
96182,R_52buvWiZ8Lxk8DG,67,114,20,-0.221700,0.15,2,1,false,654,Q,main
96182,R_52buvWiZ8Lxk8DG,68,344,14,0.131700,0.15,2,1,false,636,P,main
96182,R_52buvWiZ8Lxk8DG,69,11,10,-0.315300,0.15,2,1,true,580,Q,main
96182,R_52buvWiZ8Lxk8DG,70,314,22,0.043700,0.15,2,1,false,1221,Q,main
96182,R_52buvWiZ8Lxk8DG,71,320,8,0.131700,0.15,2,1,false,949,P,main
96182,R_52buvWiZ8Lxk8DG,72,152,14,-0.131700,0.15,2,1,true,1241,Q,main
96182,R_52buvWiZ8Lxk8DG,73,443,22,0.221700,0.15,2,1,true,1861,P,main
96182,R_52buvWiZ8Lxk8DG,74,353,16,0.131700,0.15,2,1,false,1417,Q,main
96182,R_52buvWiZ8Lxk8DG,75,202,10,-0.043700,0.15,2,1,true,885,Q,main
96182,R_52buvWiZ8Lxk8DG,76,402,12,0.221700,0.15,2,1,false,898,P,main
96182,R_52buvWiZ8Lxk8DG,77,128,8,-0.131700,0.15,2,1,true,1087,Q,main
96182,R_52buvWiZ8Lxk8DG,78,416,16,0.221700,0.15,2,1,true,996,P,main
96182,R_52buvWiZ8Lxk8DG,79,195,8,-0.043700,0.15,2,1,true,1487,Q,main
96182,R_52buvWiZ8Lxk8DG,80,496,20,0.315300,0.15,2,1,true,1182,P,main
96182,R_52buvWiZ8Lxk8DG,81,336,12,0.131700,0.15,2,1,false,1638,P,main
96182,R_52buvWiZ8Lxk8DG,82,80,12,-0.221700,0.15,2,1,true,930,Q,main
96182,R_52buvWiZ8Lxk8DG,83,472,14,0.315300,0.15,2,1,false,766,P,main
96182,R_52buvWiZ8Lxk8DG,84,35,16,-0.315300,0.15,2,1,false,1301,Q,main
96182,R_52buvWiZ8Lxk8DG,85,354,16,0.131700,0.15,2,1,true,1990,P,main
96182,R_52buvWiZ8Lxk8DG,86,48,20,-0.315300,0.15,2,1,false,1151,Q,main
96182,R_52buvWiZ8Lxk8DG,87,352,16,0.131700,0.15,2,1,true,1071,P,main
96182,R_52buvWiZ8Lxk8DG,88,379,22,0.131700,0.15,2,1,true,607,P,main
96182,R_52buvWiZ8Lxk8DG,89,267,10,0.043700,0.15,2,1,true,1259,Q,main
96182,R_52buvWiZ8Lxk8DG,90,378,22,0.131700,0.15,2,1,true,619,P,main
96182,R_52buvWiZ8Lxk8DG,91,105,18,-0.221700,0.15,2,1,false,848,Q,main
96182,R_52buvWiZ8Lxk8DG,92,339,12,0.131700,0.15,2,1,true,879,Q,main
96182,R_52buvWiZ8Lxk8DG,93,91,14,-0.221700,0.15,2,1,false,807,P,main
96182,R_52buvWiZ8Lxk8DG,94,122,22,-0.221700,0.15,2,1,true,760,P,main
96182,R_52buvWiZ8Lxk8DG,95,43,18,-0.315300,0.15,2,1,true,789,P,main
96182,R_52buvWiZ8Lxk8DG,96,240,20,-0.043700,0.15,2,1,true,548,P,main
96182,R_52buvWiZ8Lxk8DG,97,243,20,-0.043700,0.15,2,1,true,654,P,main
96182,R_52buvWiZ8Lxk8DG,98,321,8,0.131700,0.15,2,1,true,703,Q,main
96182,R_52buvWiZ8Lxk8DG,99,426,18,0.221700,0.15,2,1,true,700,P,main
96182,R_52buvWiZ8Lxk8DG,100,440,22,0.221700,0.15,2,1,true,621,P,main
96182,R_52buvWiZ8Lxk8DG,101,232,18,-0.043700,0.15,2,1,true,895,P,main
