sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,stimulusPairing,accuracy,reactionTime,responseKey,trialType
96697,R_5NTG0BRPnl9zjtD,1,282,14,0.043700,0.15,2,2,true,1326,Q,training
96697,R_5NTG0BRPnl9zjtD,2,337,12,0.131700,0.15,2,2,false,4476,P,training
96697,R_5NTG0BRPnl9zjtD,3,393,10,0.221700,0.15,2,2,true,998,Q,training
96697,R_5NTG0BRPnl9zjtD,4,336,12,0.131700,0.15,2,2,true,2488,Q,training
96697,R_5NTG0BRPnl9zjtD,5,280,14,0.043700,0.15,2,2,false,623,P,training
96697,R_5NTG0BRPnl9zjtD,6,450,8,0.315300,0.15,2,2,true,327,Q,training
96697,R_5NTG0BRPnl9zjtD,7,392,10,0.221700,0.15,2,2,true,433,Q,training
96697,R_5NTG0BRPnl9zjtD,8,171,18,-0.131700,0.15,2,2,true,816,P,training
96697,R_5NTG0BRPnl9zjtD,9,57,22,-0.315300,0.15,2,2,false,1492,Q,training
96697,R_5NTG0BRPnl9zjtD,10,113,20,-0.221700,0.15,2,2,false,2055,Q,training
96697,R_5NTG0BRPnl9zjtD,11,449,8,0.315300,0.15,2,2,false,1189,P,training
96697,R_5NTG0BRPnl9zjtD,12,169,18,-0.131700,0.15,2,2,false,1252,Q,training
96697,R_5NTG0BRPnl9zjtD,13,59,22,-0.315300,0.15,2,2,false,605,Q,training
96697,R_5NTG0BRPnl9zjtD,14,395,10,0.221700,0.15,2,2,false,1678,P,training
96697,R_5NTG0BRPnl9zjtD,15,224,16,-0.043700,0.15,2,2,false,701,Q,training
96697,R_5NTG0BRPnl9zjtD,16,56,22,-0.315300,0.15,2,2,false,967,Q,training
96697,R_5NTG0BRPnl9zjtD,17,225,16,-0.043700,0.15,2,2,true,929,P,training
96697,R_5NTG0BRPnl9zjtD,18,58,22,-0.315300,0.15,2,2,false,1248,Q,training
96697,R_5NTG0BRPnl9zjtD,19,112,20,-0.221700,0.15,2,2,false,2175,Q,training
96697,R_5NTG0BRPnl9zjtD,20,338,12,0.131700,0.15,2,2,false,535,P,training
96697,R_5NTG0BRPnl9zjtD,21,114,20,-0.221700,0.15,2,2,true,286,P,training
96697,R_5NTG0BRPnl9zjtD,22,168,18,-0.131700,0.15,2,2,true,943,P,training
96697,R_5NTG0BRPnl9zjtD,23,227,16,-0.043700,0.15,2,2,true,739,P,training
96697,R_5NTG0BRPnl9zjtD,24,115,20,-0.221700,0.15,2,2,true,967,P,training
96697,R_5NTG0BRPnl9zjtD,25,226,16,-0.043700,0.15,2,2,true,830,P,training
96697,R_5NTG0BRPnl9zjtD,26,283,14,0.043700,0.15,2,2,true,833,Q,training
96697,R_5NTG0BRPnl9zjtD,27,451,8,0.315300,0.15,2,2,true,842,Q,training
96697,R_5NTG0BRPnl9zjtD,28,281,14,0.043700,0.15,2,2,false,634,P,training
96697,R_5NTG0BRPnl9zjtD,29,170,18,-0.131700,0.15,2,2,false,704,Q,training
96697,R_5NTG0BRPnl9zjtD,30,394,10,0.221700,0.15,2,2,true,983,Q,training
