sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,stimulusPairing,accuracy,reactionTime,responseKey,trialType
96857,R_5OjINvnRvGotQtc,1,362,18,0.131700,0.15,1,1,false,3591,P,training
96857,R_5OjINvnRvGotQtc,2,506,22,0.315300,0.15,1,1,false,1093,P,training
96857,R_5OjINvnRvGotQtc,3,435,20,0.221700,0.15,1,1,false,601,P,training
96857,R_5OjINvnRvGotQtc,4,361,18,0.131700,0.15,1,1,false,11015,P,training
96857,R_5OjINvnRvGotQtc,5,0,8,-0.315300,0.15,1,1,true,1453,P,training
96857,R_5OjINvnRvGotQtc,6,505,22,0.315300,0.15,1,1,false,1279,P,training
96857,R_5OjINvnRvGotQtc,7,75,10,-0.221700,0.15,1,1,true,732,P,training
96857,R_5OjINvnRvGotQtc,8,433,20,0.221700,0.15,1,1,false,798,P,training
96857,R_5OjINvnRvGotQtc,9,434,20,0.221700,0.15,1,1,false,682,P,training
96857,R_5OjINvnRvGotQtc,10,219,14,-0.043700,0.15,1,1,true,1545,P,training
96857,R_5OjINvnRvGotQtc,11,360,18,0.131700,0.15,1,1,false,7064,P,training
96857,R_5OjINvnRvGotQtc,12,291,16,0.043700,0.15,1,1,false,980,P,training
96857,R_5OjINvnRvGotQtc,13,290,16,0.043700,0.15,1,1,false,1682,P,training
96857,R_5OjINvnRvGotQtc,14,216,14,-0.043700,0.15,1,1,true,631,P,training
96857,R_5OjINvnRvGotQtc,15,1,8,-0.315300,0.15,1,1,true,2578,P,training
96857,R_5OjINvnRvGotQtc,16,218,14,-0.043700,0.15,1,1,true,861,P,training
96857,R_5OjINvnRvGotQtc,17,288,16,0.043700,0.15,1,1,false,1450,P,training
96857,R_5OjINvnRvGotQtc,18,504,22,0.315300,0.15,1,1,false,1928,P,training
96857,R_5OjINvnRvGotQtc,19,363,18,0.131700,0.15,1,1,false,2200,P,training
96857,R_5OjINvnRvGotQtc,20,2,8,-0.315300,0.15,1,1,true,483,P,training
96857,R_5OjINvnRvGotQtc,21,432,20,0.221700,0.15,1,1,false,1960,P,training
96857,R_5OjINvnRvGotQtc,22,3,8,-0.315300,0.15,1,1,true,501,P,training
96857,R_5OjINvnRvGotQtc,23,74,10,-0.221700,0.15,1,1,true,498,P,training
96857,R_5OjINvnRvGotQtc,24,144,12,-0.131700,0.15,1,1,true,549,P,training
96857,R_5OjINvnRvGotQtc,25,73,10,-0.221700,0.15,1,1,true,535,P,training
96857,R_5OjINvnRvGotQtc,26,217,14,-0.043700,0.15,1,1,true,615,P,training
96857,R_5OjINvnRvGotQtc,27,146,12,-0.131700,0.15,1,1,true,570,P,training
96857,R_5OjINvnRvGotQtc,28,289,16,0.043700,0.15,1,1,false,1871,P,training
96857,R_5OjINvnRvGotQtc,29,507,22,0.315300,0.15,1,1,false,328,P,training
96857,R_5OjINvnRvGotQtc,30,147,12,-0.131700,0.15,1,1,true,686,P,training
96857,R_5OjINvnRvGotQtc,31,145,12,-0.131700,0.15,1,1,true,364,P,training
96857,R_5OjINvnRvGotQtc,32,72,10,-0.221700,0.15,1,1,true,639,P,training
96857,R_5OjINvnRvGotQtc,33,480,16,0.315300,0.15,1,1,false,564,P,main
96857,R_5OjINvnRvGotQtc,34,481,16,0.315300,0.15,1,1,false,558,P,main
96857,R_5OjINvnRvGotQtc,35,179,20,-0.131700,0.15,1,1,false,764,P,main
96857,R_5OjINvnRvGotQtc,36,368,20,0.131700,0.15,1,1,false,1294,P,main
96857,R_5OjINvnRvGotQtc,37,265,10,0.043700,0.15,1,1,true,1143,P,main
96857,R_5OjINvnRvGotQtc,38,312,22,0.043700,0.15,1,1,false,1946,P,main
96857,R_5OjINvnRvGotQtc,39,283,14,0.043700,0.15,1,1,true,761,P,main
96857,R_5OjINvnRvGotQtc,40,408,14,0.221700,0.15,1,1,true,1001,P,main
96857,R_5OjINvnRvGotQtc,41,184,22,-0.131700,0.15,1,1,false,2101,P,main
96857,R_5OjINvnRvGotQtc,42,243,20,-0.043700,0.15,1,1,false,2417,P,main
96857,R_5OjINvnRvGotQtc,43,139,10,-0.131700,0.15,1,1,true,600,P,main
96857,R_5OjINvnRvGotQtc,44,224,16,-0.043700,0.15,1,1,false,876,P,main
96857,R_5OjINvnRvGotQtc,45,259,8,0.043700,0.15,1,1,true,587,P,main
96857,R_5OjINvnRvGotQtc,46,498,20,0.315300,0.15,1,1,false,4046,P,main
96857,R_5OjINvnRvGotQtc,47,466,12,0.315300,0.15,1,1,true,642,P,main
96857,R_5OjINvnRvGotQtc,48,176,20,-0.131700,0.15,1,1,false,16976,P,main
96857,R_5OjINvnRvGotQtc,49,90,14,-0.221700,0.15,1,1,true,1843,P,main
96857,R_5OjINvnRvGotQtc,50,178,20,-0.131700,0.15,1,1,false,8627,P,main
96857,R_5OjINvnRvGotQtc,51,48,20,-0.315300,0.15,1,1,false,9243,P,main
96857,R_5OjINvnRvGotQtc,52,187,22,-0.131700,0.15,1,1,false,2220,P,main
96857,R_5OjINvnRvGotQtc,53,202,10,-0.043700,0.15,1,1,true,768,P,main
96857,R_5OjINvnRvGotQtc,54,10,10,-0.315300,0.15,1,1,true,839,P,main
96857,R_5OjINvnRvGotQtc,55,64,8,-0.221700,0.15,1,1,true,2810,P,main
96857,R_5OjINvnRvGotQtc,56,242,20,-0.043700,0.15,1,1,false,6410,P,main
96857,R_5OjINvnRvGotQtc,57,370,20,0.131700,0.15,1,1,false,750,P,main
96857,R_5OjINvnRvGotQtc,58,192,8,-0.043700,0.15,1,1,true,710,P,main
96857,R_5OjINvnRvGotQtc,59,195,8,-0.043700,0.15,1,1,true,768,P,main
96857,R_5OjINvnRvGotQtc,60,57,22,-0.315300,0.15,1,1,false,9535,P,main
96857,R_5OjINvnRvGotQtc,61,240,20,-0.043700,0.15,1,1,false,24312,P,main
96857,R_5OjINvnRvGotQtc,62,337,12,0.131700,0.15,1,1,true,1218,P,main
96857,R_5OjINvnRvGotQtc,63,250,22,-0.043700,0.15,1,1,false,12131,P,main
96857,R_5OjINvnRvGotQtc,64,320,8,0.131700,0.15,1,1,true,971,P,main
96857,R_5OjINvnRvGotQtc,65,168,18,-0.131700,0.15,1,1,false,5691,P,main
96857,R_5OjINvnRvGotQtc,66,459,10,0.315300,0.15,1,1,true,6471,P,main
96857,R_5OjINvnRvGotQtc,67,465,12,0.315300,0.15,1,1,true,15096,P,main
96857,R_5OjINvnRvGotQtc,68,355,16,0.131700,0.15,1,1,false,7267,P,main
96857,R_5OjINvnRvGotQtc,69,353,16,0.131700,0.15,1,1,false,6620,P,main
96857,R_5OjINvnRvGotQtc,70,352,16,0.131700,0.15,1,1,false,18766,P,main
96857,R_5OjINvnRvGotQtc,71,49,20,-0.315300,0.15,1,1,false,13771,P,main
96857,R_5OjINvnRvGotQtc,72,449,8,0.315300,0.15,1,1,true,747,P,main
96857,R_5OjINvnRvGotQtc,73,171,18,-0.131700,0.15,1,1,false,4050,P,main
96857,R_5OjINvnRvGotQtc,74,273,12,0.043700,0.15,1,1,true,939,P,main
96857,R_5OjINvnRvGotQtc,75,66,8,-0.221700,0.15,1,1,true,13004,P,main
96857,R_5OjINvnRvGotQtc,76,499,20,0.315300,0.15,1,1,false,2534,P,main
96857,R_5OjINvnRvGotQtc,77,418,16,0.221700,0.15,1,1,false,4599,P,main
96857,R_5OjINvnRvGotQtc,78,275,12,0.043700,0.15,1,1,true,6953,P,main
96857,R_5OjINvnRvGotQtc,79,98,16,-0.221700,0.15,1,1,false,3071,P,main
96857,R_5OjINvnRvGotQtc,80,33,16,-0.315300,0.15,1,1,false,2694,P,main
96857,R_5OjINvnRvGotQtc,81,328,10,0.131700,0.15,1,1,true,1731,P,main
96857,R_5OjINvnRvGotQtc,82,424,18,0.221700,0.15,1,1,false,1299,P,main
96857,R_5OjINvnRvGotQtc,83,17,12,-0.315300,0.15,1,1,true,2688,P,main
96857,R_5OjINvnRvGotQtc,84,99,16,-0.221700,0.15,1,1,false,1617,P,main
96857,R_5OjINvnRvGotQtc,85,225,16,-0.043700,0.15,1,1,false,4505,P,main
96857,R_5OjINvnRvGotQtc,86,321,8,0.131700,0.15,1,1,true,891,P,main
96857,R_5OjINvnRvGotQtc,87,307,20,0.043700,0.15,1,1,false,993,P,main
96857,R_5OjINvnRvGotQtc,88,210,12,-0.043700,0.15,1,1,true,2064,P,main
96857,R_5OjINvnRvGotQtc,89,482,16,0.315300,0.15,1,1,false,4595,P,main
96857,R_5OjINvnRvGotQtc,90,474,14,0.315300,0.15,1,1,true,1023,P,main
96857,R_5OjINvnRvGotQtc,91,401,12,0.221700,0.15,1,1,true,9485,P,main
96857,R_5OjINvnRvGotQtc,92,43,18,-0.315300,0.15,1,1,false,13259,P,main
96857,R_5OjINvnRvGotQtc,93,491,18,0.315300,0.15,1,1,false,1937,P,main
96857,R_5OjINvnRvGotQtc,94,233,18,-0.043700,0.15,1,1,false,743,P,main
96857,R_5OjINvnRvGotQtc,95,106,18,-0.221700,0.15,1,1,false,694,P,main
96857,R_5OjINvnRvGotQtc,96,409,14,0.221700,0.15,1,1,true,536,P,main
96857,R_5OjINvnRvGotQtc,97,490,18,0.315300,0.15,1,1,false,534,P,main
96857,R_5OjINvnRvGotQtc,98,457,10,0.315300,0.15,1,1,true,774,P,main
96857,R_5OjINvnRvGotQtc,99,258,8,0.043700,0.15,1,1,true,26537,P,main
96857,R_5OjINvnRvGotQtc,100,8,10,-0.315300,0.15,1,1,true,10302,P,main
96857,R_5OjINvnRvGotQtc,101,451,8,0.315300,0.15,1,1,true,658,P,main
96857,R_5OjINvnRvGotQtc,102,386,8,0.221700,0.15,1,1,true,755,P,main
96857,R_5OjINvnRvGotQtc,103,51,20,-0.315300,0.15,1,1,false,2101,P,main
96857,R_5OjINvnRvGotQtc,104,338,12,0.131700,0.15,1,1,true,1069,P,main
96857,R_5OjINvnRvGotQtc,105,16,12,-0.315300,0.15,1,1,true,914,P,main
96857,R_5OjINvnRvGotQtc,106,377,22,0.131700,0.15,1,1,false,6931,P,main
96857,R_5OjINvnRvGotQtc,107,58,22,-0.315300,0.15,1,1,false,2003,P,main
96857,R_5OjINvnRvGotQtc,108,96,16,-0.221700,0.15,1,1,false,586,P,main
96857,R_5OjINvnRvGotQtc,109,107,18,-0.221700,0.15,1,1,false,966,P,main
96857,R_5OjINvnRvGotQtc,110,112,20,-0.221700,0.15,1,1,false,924,P,main
96857,R_5OjINvnRvGotQtc,111,123,22,-0.221700,0.15,1,1,false,1999,P,main
96857,R_5OjINvnRvGotQtc,112,104,18,-0.221700,0.15,1,1,false,3806,P,main
96857,R_5OjINvnRvGotQtc,113,426,18,0.221700,0.15,1,1,false,1039,P,main
96857,R_5OjINvnRvGotQtc,114,496,20,0.315300,0.15,1,1,false,6931,P,main
96857,R_5OjINvnRvGotQtc,115,441,22,0.221700,0.15,1,1,false,866,P,main
96857,R_5OjINvnRvGotQtc,116,32,16,-0.315300,0.15,1,1,false,2866,P,main
96857,R_5OjINvnRvGotQtc,117,160,16,-0.131700,0.15,1,1,false,638,P,main
96857,R_5OjINvnRvGotQtc,118,121,22,-0.221700,0.15,1,1,false,1682,P,main
96857,R_5OjINvnRvGotQtc,119,155,14,-0.131700,0.15,1,1,true,1250,P,main
96857,R_5OjINvnRvGotQtc,120,211,12,-0.043700,0.15,1,1,true,472,P,main
96857,R_5OjINvnRvGotQtc,121,251,22,-0.043700,0.15,1,1,false,1942,P,main
96857,R_5OjINvnRvGotQtc,122,138,10,-0.131700,0.15,1,1,true,505,P,main
96857,R_5OjINvnRvGotQtc,123,280,14,0.043700,0.15,1,1,true,3191,P,main
96857,R_5OjINvnRvGotQtc,124,488,18,0.315300,0.15,1,1,false,550,P,main
96857,R_5OjINvnRvGotQtc,125,40,18,-0.315300,0.15,1,1,false,401,P,main
96857,R_5OjINvnRvGotQtc,126,403,12,0.221700,0.15,1,1,true,380,P,main
96857,R_5OjINvnRvGotQtc,127,458,10,0.315300,0.15,1,1,true,295,P,main
96857,R_5OjINvnRvGotQtc,128,378,22,0.131700,0.15,1,1,false,272,P,main
96857,R_5OjINvnRvGotQtc,129,371,20,0.131700,0.15,1,1,false,592,P,main
96857,R_5OjINvnRvGotQtc,130,329,10,0.131700,0.15,1,1,true,486,P,main
96857,R_5OjINvnRvGotQtc,131,314,22,0.043700,0.15,1,1,false,643,P,main
96857,R_5OjINvnRvGotQtc,132,331,10,0.131700,0.15,1,1,true,544,P,main
96857,R_5OjINvnRvGotQtc,133,376,22,0.131700,0.15,1,1,false,1506,P,main
96857,R_5OjINvnRvGotQtc,134,153,14,-0.131700,0.15,1,1,true,2584,P,main
96857,R_5OjINvnRvGotQtc,135,129,8,-0.131700,0.15,1,1,true,585,P,main
96857,R_5OjINvnRvGotQtc,136,11,10,-0.315300,0.15,1,1,true,4545,P,main
96857,R_5OjINvnRvGotQtc,137,41,18,-0.315300,0.15,1,1,false,3032,P,main
96857,R_5OjINvnRvGotQtc,138,186,22,-0.131700,0.15,1,1,false,14013,P,main
96857,R_5OjINvnRvGotQtc,139,203,10,-0.043700,0.15,1,1,true,700,P,main
96857,R_5OjINvnRvGotQtc,140,25,14,-0.315300,0.15,1,1,true,720,P,main
96857,R_5OjINvnRvGotQtc,141,120,22,-0.221700,0.15,1,1,false,844,P,main
96857,R_5OjINvnRvGotQtc,142,83,12,-0.221700,0.15,1,1,true,5577,P,main
96857,R_5OjINvnRvGotQtc,143,128,8,-0.131700,0.15,1,1,true,802,P,main
96857,R_5OjINvnRvGotQtc,144,475,14,0.315300,0.15,1,1,true,829,P,main
96857,R_5OjINvnRvGotQtc,145,425,18,0.221700,0.15,1,1,false,20399,P,main
96857,R_5OjINvnRvGotQtc,146,177,20,-0.131700,0.15,1,1,false,19396,P,main
96857,R_5OjINvnRvGotQtc,147,209,12,-0.043700,0.15,1,1,true,1396,P,main
96857,R_5OjINvnRvGotQtc,148,105,18,-0.221700,0.15,1,1,false,1828,P,main
96857,R_5OjINvnRvGotQtc,149,345,14,0.131700,0.15,1,1,true,903,P,main
96857,R_5OjINvnRvGotQtc,150,473,14,0.315300,0.15,1,1,true,812,P,main
96857,R_5OjINvnRvGotQtc,151,394,10,0.221700,0.15,1,1,true,976,P,main
96857,R_5OjINvnRvGotQtc,152,347,14,0.131700,0.15,1,1,true,829,P,main
96857,R_5OjINvnRvGotQtc,153,315,22,0.043700,0.15,1,1,false,2250,P,main
96857,R_5OjINvnRvGotQtc,154,208,12,-0.043700,0.15,1,1,true,1152,P,main
96857,R_5OjINvnRvGotQtc,155,113,20,-0.221700,0.15,1,1,false,12100,P,main
96857,R_5OjINvnRvGotQtc,156,200,10,-0.043700,0.15,1,1,true,9165,P,main
96857,R_5OjINvnRvGotQtc,157,330,10,0.131700,0.15,1,1,true,683,P,main
96857,R_5OjINvnRvGotQtc,158,472,14,0.315300,0.15,1,1,true,1510,P,main
96857,R_5OjINvnRvGotQtc,159,427,18,0.221700,0.15,1,1,false,884,P,main
96857,R_5OjINvnRvGotQtc,160,400,12,0.221700,0.15,1,1,true,36208,P,main
96857,R_5OjINvnRvGotQtc,161,483,16,0.315300,0.15,1,1,false,1604,P,main
96857,R_5OjINvnRvGotQtc,162,88,14,-0.221700,0.15,1,1,true,2537,P,main
96857,R_5OjINvnRvGotQtc,163,115,20,-0.221700,0.15,1,1,false,2902,P,main
96857,R_5OjINvnRvGotQtc,164,299,18,0.043700,0.15,1,1,false,14511,P,main
96857,R_5OjINvnRvGotQtc,165,257,8,0.043700,0.15,1,1,true,917,P,main
96857,R_5OjINvnRvGotQtc,166,82,12,-0.221700,0.15,1,1,true,3351,P,main
96857,R_5OjINvnRvGotQtc,167,281,14,0.043700,0.15,1,1,true,2344,P,main
96857,R_5OjINvnRvGotQtc,168,154,14,-0.131700,0.15,1,1,true,37686,P,main
96857,R_5OjINvnRvGotQtc,169,464,12,0.315300,0.15,1,1,true,1501,P,main
96857,R_5OjINvnRvGotQtc,170,235,18,-0.043700,0.15,1,1,false,3246,P,main
96857,R_5OjINvnRvGotQtc,171,131,8,-0.131700,0.15,1,1,true,455,P,main
96857,R_5OjINvnRvGotQtc,172,130,8,-0.131700,0.15,1,1,true,738,P,main
96857,R_5OjINvnRvGotQtc,173,81,12,-0.221700,0.15,1,1,true,1670,P,main
96857,R_5OjINvnRvGotQtc,174,369,20,0.131700,0.15,1,1,false,48619,P,main
96857,R_5OjINvnRvGotQtc,175,18,12,-0.315300,0.15,1,1,true,6262,P,main
96857,R_5OjINvnRvGotQtc,176,162,16,-0.131700,0.15,1,1,false,681,P,main
96857,R_5OjINvnRvGotQtc,177,67,8,-0.221700,0.15,1,1,true,607,P,main
96857,R_5OjINvnRvGotQtc,178,42,18,-0.315300,0.15,1,1,true,13904,Q,main
96857,R_5OjINvnRvGotQtc,179,440,22,0.221700,0.15,1,1,true,2055,Q,main
96857,R_5OjINvnRvGotQtc,180,59,22,-0.315300,0.15,1,1,true,1348,Q,main
96857,R_5OjINvnRvGotQtc,181,161,16,-0.131700,0.15,1,1,true,576,Q,main
96857,R_5OjINvnRvGotQtc,182,402,12,0.221700,0.15,1,1,false,656,Q,main
96857,R_5OjINvnRvGotQtc,183,387,8,0.221700,0.15,1,1,false,520,Q,main
96857,R_5OjINvnRvGotQtc,184,298,18,0.043700,0.15,1,1,true,3025,Q,main
96857,R_5OjINvnRvGotQtc,185,346,14,0.131700,0.15,1,1,false,682,Q,main
96857,R_5OjINvnRvGotQtc,186,241,20,-0.043700,0.15,1,1,true,3913,Q,main
96857,R_5OjINvnRvGotQtc,187,19,12,-0.315300,0.15,1,1,false,834,Q,main
96857,R_5OjINvnRvGotQtc,188,395,10,0.221700,0.15,1,1,false,499,Q,main
96857,R_5OjINvnRvGotQtc,189,80,12,-0.221700,0.15,1,1,false,217,Q,main
96857,R_5OjINvnRvGotQtc,190,264,10,0.043700,0.15,1,1,false,368,Q,main
96857,R_5OjINvnRvGotQtc,191,152,14,-0.131700,0.15,1,1,false,249,Q,main
96857,R_5OjINvnRvGotQtc,192,411,14,0.221700,0.15,1,1,false,362,Q,main
96857,R_5OjINvnRvGotQtc,193,296,18,0.043700,0.15,1,1,true,293,Q,main
96857,R_5OjINvnRvGotQtc,194,249,22,-0.043700,0.15,1,1,true,288,Q,main
96857,R_5OjINvnRvGotQtc,195,419,16,0.221700,0.15,1,1,true,136,Q,main
96857,R_5OjINvnRvGotQtc,196,163,16,-0.131700,0.15,1,1,true,238,Q,main
96857,R_5OjINvnRvGotQtc,197,305,20,0.043700,0.15,1,1,true,444,Q,main
96857,R_5OjINvnRvGotQtc,198,272,12,0.043700,0.15,1,1,false,349,Q,main
96857,R_5OjINvnRvGotQtc,199,410,14,0.221700,0.15,1,1,false,319,Q,main
96857,R_5OjINvnRvGotQtc,200,65,8,-0.221700,0.15,1,1,false,790,Q,main
96857,R_5OjINvnRvGotQtc,201,489,18,0.315300,0.15,1,1,true,382,Q,main
96857,R_5OjINvnRvGotQtc,202,282,14,0.043700,0.15,1,1,false,2182,Q,main
96857,R_5OjINvnRvGotQtc,203,91,14,-0.221700,0.15,1,1,false,1510,Q,main
96857,R_5OjINvnRvGotQtc,204,26,14,-0.315300,0.15,1,1,false,1106,Q,main
96857,R_5OjINvnRvGotQtc,205,354,16,0.131700,0.15,1,1,true,13670,Q,main
96857,R_5OjINvnRvGotQtc,206,497,20,0.315300,0.15,1,1,false,551987,P,main
96857,R_5OjINvnRvGotQtc,207,393,10,0.221700,0.15,1,1,true,1128,P,main
96857,R_5OjINvnRvGotQtc,208,306,20,0.043700,0.15,1,1,false,2173,P,main
96857,R_5OjINvnRvGotQtc,209,136,10,-0.131700,0.15,1,1,true,607,P,main
96857,R_5OjINvnRvGotQtc,210,442,22,0.221700,0.15,1,1,false,1080,P,main
96857,R_5OjINvnRvGotQtc,211,194,8,-0.043700,0.15,1,1,true,729,P,main
96857,R_5OjINvnRvGotQtc,212,336,12,0.131700,0.15,1,1,true,843,P,main
96857,R_5OjINvnRvGotQtc,213,323,8,0.131700,0.15,1,1,true,569,P,main
96857,R_5OjINvnRvGotQtc,214,392,10,0.221700,0.15,1,1,true,661,P,main
96857,R_5OjINvnRvGotQtc,215,274,12,0.043700,0.15,1,1,true,602,P,main
96857,R_5OjINvnRvGotQtc,216,443,22,0.221700,0.15,1,1,false,1918,P,main
96857,R_5OjINvnRvGotQtc,217,234,18,-0.043700,0.15,1,1,false,2251,P,main
96857,R_5OjINvnRvGotQtc,218,417,16,0.221700,0.15,1,1,false,3100,P,main
96857,R_5OjINvnRvGotQtc,219,322,8,0.131700,0.15,1,1,true,530,P,main
96857,R_5OjINvnRvGotQtc,220,456,10,0.315300,0.15,1,1,true,519,P,main
96857,R_5OjINvnRvGotQtc,221,170,18,-0.131700,0.15,1,1,false,489,P,main
96857,R_5OjINvnRvGotQtc,222,226,16,-0.043700,0.15,1,1,false,536,P,main
96857,R_5OjINvnRvGotQtc,223,227,16,-0.043700,0.15,1,1,false,906,P,main
96857,R_5OjINvnRvGotQtc,224,35,16,-0.315300,0.15,1,1,false,1442,P,main
96857,R_5OjINvnRvGotQtc,225,114,20,-0.221700,0.15,1,1,false,477,P,main
96857,R_5OjINvnRvGotQtc,226,122,22,-0.221700,0.15,1,1,false,558,P,main
96857,R_5OjINvnRvGotQtc,227,344,14,0.131700,0.15,1,1,true,616,P,main
96857,R_5OjINvnRvGotQtc,228,9,10,-0.315300,0.15,1,1,true,877,P,main
96857,R_5OjINvnRvGotQtc,229,448,8,0.315300,0.15,1,1,true,619,P,main
96857,R_5OjINvnRvGotQtc,230,256,8,0.043700,0.15,1,1,true,747,P,main
96857,R_5OjINvnRvGotQtc,231,467,12,0.315300,0.15,1,1,true,715,P,main
96857,R_5OjINvnRvGotQtc,232,379,22,0.131700,0.15,1,1,false,592,P,main
96857,R_5OjINvnRvGotQtc,233,313,22,0.043700,0.15,1,1,false,528,P,main
96857,R_5OjINvnRvGotQtc,234,416,16,0.221700,0.15,1,1,false,912,P,main
96857,R_5OjINvnRvGotQtc,235,297,18,0.043700,0.15,1,1,false,1377,P,main
96857,R_5OjINvnRvGotQtc,236,450,8,0.315300,0.15,1,1,true,3334,P,main
96857,R_5OjINvnRvGotQtc,237,232,18,-0.043700,0.15,1,1,false,2675,P,main
96857,R_5OjINvnRvGotQtc,238,24,14,-0.315300,0.15,1,1,true,51783647,P,main
96857,R_5OjINvnRvGotQtc,239,384,8,0.221700,0.15,1,1,true,659,P,main
96857,R_5OjINvnRvGotQtc,240,267,10,0.043700,0.15,1,1,true,437,P,main
96857,R_5OjINvnRvGotQtc,241,339,12,0.131700,0.15,1,1,true,871,P,main
96857,R_5OjINvnRvGotQtc,242,266,10,0.043700,0.15,1,1,true,619,P,main
96857,R_5OjINvnRvGotQtc,243,97,16,-0.221700,0.15,1,1,false,1811,P,main
96857,R_5OjINvnRvGotQtc,244,169,18,-0.131700,0.15,1,1,false,838,P,main
96857,R_5OjINvnRvGotQtc,245,248,22,-0.043700,0.15,1,1,false,633,P,main
96857,R_5OjINvnRvGotQtc,246,304,20,0.043700,0.15,1,1,false,594,P,main
96857,R_5OjINvnRvGotQtc,247,34,16,-0.315300,0.15,1,1,false,478,P,main
96857,R_5OjINvnRvGotQtc,248,137,10,-0.131700,0.15,1,1,true,459,P,main
96857,R_5OjINvnRvGotQtc,249,27,14,-0.315300,0.15,1,1,true,682,P,main
96857,R_5OjINvnRvGotQtc,250,193,8,-0.043700,0.15,1,1,true,14669,P,main
96857,R_5OjINvnRvGotQtc,251,385,8,0.221700,0.15,1,1,true,1207,P,main
96857,R_5OjINvnRvGotQtc,252,89,14,-0.221700,0.15,1,1,true,11638,P,main
96857,R_5OjINvnRvGotQtc,253,50,20,-0.315300,0.15,1,1,false,15936,P,main
96857,R_5OjINvnRvGotQtc,254,56,22,-0.315300,0.15,1,1,false,2580,P,main
96857,R_5OjINvnRvGotQtc,255,185,22,-0.131700,0.15,1,1,false,890,P,main
96857,R_5OjINvnRvGotQtc,256,201,10,-0.043700,0.15,1,1,true,518,P,main
