sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,stimulusPairing,accuracy,reactionTime,responseKey,trialType
97611,R_5PpRP96osfmnWg1,1,362,18,0.131700,0.15,1,1,false,7163,P,training
97611,R_5PpRP96osfmnWg1,2,435,20,0.221700,0.15,1,1,false,1432,P,training
97611,R_5PpRP96osfmnWg1,3,289,16,0.043700,0.15,1,1,true,660,Q,training
97611,R_5PpRP96osfmnWg1,4,217,14,-0.043700,0.15,1,1,false,536,Q,training
97611,R_5PpRP96osfmnWg1,5,506,22,0.315300,0.15,1,1,false,975,P,training
97611,R_5PpRP96osfmnWg1,6,432,20,0.221700,0.15,1,1,false,807,P,training
97611,R_5PpRP96osfmnWg1,7,361,18,0.131700,0.15,1,1,true,504,Q,training
97611,R_5PpRP96osfmnWg1,8,291,16,0.043700,0.15,1,1,true,625,Q,training
97611,R_5PpRP96osfmnWg1,9,74,10,-0.221700,0.15,1,1,false,444,Q,training
97611,R_5PpRP96osfmnWg1,10,288,16,0.043700,0.15,1,1,true,570,Q,training
97611,R_5PpRP96osfmnWg1,11,72,10,-0.221700,0.15,1,1,true,523,P,training
97611,R_5PpRP96osfmnWg1,12,218,14,-0.043700,0.15,1,1,false,573,Q,training
97611,R_5PpRP96osfmnWg1,13,360,18,0.131700,0.15,1,1,false,981,P,training
97611,R_5PpRP96osfmnWg1,14,147,12,-0.131700,0.15,1,1,false,580,Q,training
97611,R_5PpRP96osfmnWg1,15,0,8,-0.315300,0.15,1,1,true,612,P,training
97611,R_5PpRP96osfmnWg1,16,434,20,0.221700,0.15,1,1,true,611,Q,training
97611,R_5PpRP96osfmnWg1,17,73,10,-0.221700,0.15,1,1,true,797,P,training
97611,R_5PpRP96osfmnWg1,18,219,14,-0.043700,0.15,1,1,false,639,Q,training
97611,R_5PpRP96osfmnWg1,19,433,20,0.221700,0.15,1,1,true,709,Q,training
97611,R_5PpRP96osfmnWg1,20,216,14,-0.043700,0.15,1,1,true,685,P,training
97611,R_5PpRP96osfmnWg1,21,507,22,0.315300,0.15,1,1,true,590,Q,training
97611,R_5PpRP96osfmnWg1,22,146,12,-0.131700,0.15,1,1,true,662,P,training
97611,R_5PpRP96osfmnWg1,23,3,8,-0.315300,0.15,1,1,true,701,P,training
97611,R_5PpRP96osfmnWg1,24,363,18,0.131700,0.15,1,1,true,646,Q,training
97611,R_5PpRP96osfmnWg1,25,504,22,0.315300,0.15,1,1,true,551,Q,training
97611,R_5PpRP96osfmnWg1,26,1,8,-0.315300,0.15,1,1,true,547,P,training
97611,R_5PpRP96osfmnWg1,27,505,22,0.315300,0.15,1,1,true,751,Q,training
97611,R_5PpRP96osfmnWg1,28,145,12,-0.131700,0.15,1,1,false,709,Q,training
97611,R_5PpRP96osfmnWg1,29,290,16,0.043700,0.15,1,1,true,767,Q,training
97611,R_5PpRP96osfmnWg1,30,144,12,-0.131700,0.15,1,1,false,610,Q,training
97611,R_5PpRP96osfmnWg1,31,2,8,-0.315300,0.15,1,1,true,511,P,training
97611,R_5PpRP96osfmnWg1,32,75,10,-0.221700,0.15,1,1,true,462,P,training
97611,R_5PpRP96osfmnWg1,33,187,22,-0.131700,0.15,1,1,true,628,Q,main
97611,R_5PpRP96osfmnWg1,34,176,20,-0.131700,0.15,1,1,true,585,Q,main
97611,R_5PpRP96osfmnWg1,35,163,16,-0.131700,0.15,1,1,false,840,P,main
97611,R_5PpRP96osfmnWg1,36,49,20,-0.315300,0.15,1,1,false,4368,P,main
97611,R_5PpRP96osfmnWg1,37,321,8,0.131700,0.15,1,1,true,925,P,main
97611,R_5PpRP96osfmnWg1,38,401,12,0.221700,0.15,1,1,true,860,P,main
