sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,stimulusPairing,accuracy,reactionTime,responseKey,trialType
94749,R_5aZ48QVOqxAmhP3,1,217,14,-0.043700,0.15,2,1,false,5352,P,training
94749,R_5aZ48QVOqxAmhP3,2,216,14,-0.043700,0.15,2,1,false,1355,P,training
94749,R_5aZ48QVOqxAmhP3,3,363,18,0.131700,0.15,2,1,false,810,Q,training
94749,R_5aZ48QVOqxAmhP3,4,290,16,0.043700,0.15,2,1,true,2212,P,training
94749,R_5aZ48QVOqxAmhP3,5,144,12,-0.131700,0.15,2,1,true,819,Q,training
94749,R_5aZ48QVOqxAmhP3,6,505,22,0.315300,0.15,2,1,true,524,P,training
94749,R_5aZ48QVOqxAmhP3,7,435,20,0.221700,0.15,2,1,true,698,P,training
94749,R_5aZ48QVOqxAmhP3,8,0,8,-0.315300,0.15,2,1,true,498,Q,training
94749,R_5aZ48QVOqxAmhP3,9,362,18,0.131700,0.15,2,1,true,771,P,training
94749,R_5aZ48QVOqxAmhP3,10,75,10,-0.221700,0.15,2,1,true,556,Q,training
94749,R_5aZ48QVOqxAmhP3,11,1,8,-0.315300,0.15,2,1,false,606,P,training
94749,R_5aZ48QVOqxAmhP3,12,360,18,0.131700,0.15,2,1,true,578,P,training
94749,R_5aZ48QVOqxAmhP3,13,288,16,0.043700,0.15,2,1,true,725,P,training
94749,R_5aZ48QVOqxAmhP3,14,146,12,-0.131700,0.15,2,1,true,500,Q,training
94749,R_5aZ48QVOqxAmhP3,15,74,10,-0.221700,0.15,2,1,true,989,Q,training
94749,R_5aZ48QVOqxAmhP3,16,219,14,-0.043700,0.15,2,1,false,579,P,training
94749,R_5aZ48QVOqxAmhP3,17,289,16,0.043700,0.15,2,1,true,943,P,training
94749,R_5aZ48QVOqxAmhP3,18,218,14,-0.043700,0.15,2,1,true,2293,Q,training
94749,R_5aZ48QVOqxAmhP3,19,3,8,-0.315300,0.15,2,1,true,751,Q,training
94749,R_5aZ48QVOqxAmhP3,20,506,22,0.315300,0.15,2,1,true,587,P,training
94749,R_5aZ48QVOqxAmhP3,21,361,18,0.131700,0.15,2,1,true,579,P,training
94749,R_5aZ48QVOqxAmhP3,22,434,20,0.221700,0.15,2,1,true,531,P,training
94749,R_5aZ48QVOqxAmhP3,23,72,10,-0.221700,0.15,2,1,true,734,Q,training
94749,R_5aZ48QVOqxAmhP3,24,147,12,-0.131700,0.15,2,1,true,782,Q,training
