sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,stimulusPairing,accuracy,reactionTime,responseKey,trialType
97600,R_5krkUEn2DBBVE9r,1,291,16,0.043700,0.15,2,1,true,1357,P,training
97600,R_5krkUEn2DBBVE9r,2,288,16,0.043700,0.15,2,1,true,6081,P,training
97600,R_5krkUEn2DBBVE9r,3,432,20,0.221700,0.15,2,1,false,1311,Q,training
97600,R_5krkUEn2DBBVE9r,4,505,22,0.315300,0.15,2,1,true,1470,P,training
97600,R_5krkUEn2DBBVE9r,5,507,22,0.315300,0.15,2,1,false,2447,Q,training
97600,R_5krkUEn2DBBVE9r,6,144,12,-0.131700,0.15,2,1,false,6,P,training
97600,R_5krkUEn2DBBVE9r,7,73,10,-0.221700,0.15,2,1,false,668,P,training
97600,R_5krkUEn2DBBVE9r,8,219,14,-0.043700,0.15,2,1,true,1155,Q,training
97600,R_5krkUEn2DBBVE9r,9,504,22,0.315300,0.15,2,1,true,1117,P,training
97600,R_5krkUEn2DBBVE9r,10,146,12,-0.131700,0.15,2,1,true,911,Q,training
97600,R_5krkUEn2DBBVE9r,11,218,14,-0.043700,0.15,2,1,false,794,P,training
97600,R_5krkUEn2DBBVE9r,12,433,20,0.221700,0.15,2,1,false,679,Q,training
97600,R_5krkUEn2DBBVE9r,13,75,10,-0.221700,0.15,2,1,false,448,P,training
97600,R_5krkUEn2DBBVE9r,14,506,22,0.315300,0.15,2,1,true,617,P,training
97600,R_5krkUEn2DBBVE9r,15,217,14,-0.043700,0.15,2,1,true,429,Q,training
97600,R_5krkUEn2DBBVE9r,16,72,10,-0.221700,0.15,2,1,true,594,Q,training
97600,R_5krkUEn2DBBVE9r,17,216,14,-0.043700,0.15,2,1,true,449,Q,training
97600,R_5krkUEn2DBBVE9r,18,435,20,0.221700,0.15,2,1,false,536,Q,training
97600,R_5krkUEn2DBBVE9r,19,361,18,0.131700,0.15,2,1,true,452,P,training
97600,R_5krkUEn2DBBVE9r,20,362,18,0.131700,0.15,2,1,true,510,P,training
97600,R_5krkUEn2DBBVE9r,21,74,10,-0.221700,0.15,2,1,true,573,Q,training
97600,R_5krkUEn2DBBVE9r,22,3,8,-0.315300,0.15,2,1,false,639,P,training
97600,R_5krkUEn2DBBVE9r,23,289,16,0.043700,0.15,2,1,false,310,Q,training
97600,R_5krkUEn2DBBVE9r,24,434,20,0.221700,0.15,2,1,true,395,P,training
97600,R_5krkUEn2DBBVE9r,25,2,8,-0.315300,0.15,2,1,false,660,P,training
97600,R_5krkUEn2DBBVE9r,26,0,8,-0.315300,0.15,2,1,true,720,Q,training
97600,R_5krkUEn2DBBVE9r,27,145,12,-0.131700,0.15,2,1,false,709,P,training
97600,R_5krkUEn2DBBVE9r,28,147,12,-0.131700,0.15,2,1,true,903,Q,training
97600,R_5krkUEn2DBBVE9r,29,360,18,0.131700,0.15,2,1,false,525,Q,training
97600,R_5krkUEn2DBBVE9r,30,1,8,-0.315300,0.15,2,1,false,487,P,training
97600,R_5krkUEn2DBBVE9r,31,363,18,0.131700,0.15,2,1,true,545,P,training
97600,R_5krkUEn2DBBVE9r,32,290,16,0.043700,0.15,2,1,true,561,P,training
97600,R_5krkUEn2DBBVE9r,33,472,14,0.315300,0.15,2,1,false,691,P,main
97600,R_5krkUEn2DBBVE9r,34,419,16,0.221700,0.15,2,1,true,803,P,main
97600,R_5krkUEn2DBBVE9r,35,240,20,-0.043700,0.15,2,1,false,1022,Q,main
97600,R_5krkUEn2DBBVE9r,36,297,18,0.043700,0.15,2,1,false,1600,Q,main
97600,R_5krkUEn2DBBVE9r,37,265,10,0.043700,0.15,2,1,false,335,P,main
