sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,stimulusPairing,accuracy,reactionTime,responseKey,trialType
96325,R_6dfD1l9hjY2Sle5,1,218,14,-0.043700,0.15,2,1,false,2432,P,training
96325,R_6dfD1l9hjY2Sle5,2,432,20,0.221700,0.15,2,1,false,337,Q,training
96325,R_6dfD1l9hjY2Sle5,3,72,10,-0.221700,0.15,2,1,false,972,P,training
96325,R_6dfD1l9hjY2Sle5,4,435,20,0.221700,0.15,2,1,false,1130,Q,training
96325,R_6dfD1l9hjY2Sle5,5,290,16,0.043700,0.15,2,1,true,657,P,training
96325,R_6dfD1l9hjY2Sle5,6,147,12,-0.131700,0.15,2,1,true,683,Q,training
96325,R_6dfD1l9hjY2Sle5,7,144,12,-0.131700,0.15,2,1,true,389,Q,training
96325,R_6dfD1l9hjY2Sle5,8,507,22,0.315300,0.15,2,1,false,762,Q,training
96325,R_6dfD1l9hjY2Sle5,9,434,20,0.221700,0.15,2,1,true,658,P,training
96325,R_6dfD1l9hjY2Sle5,10,73,10,-0.221700,0.15,2,1,false,626,P,training
96325,R_6dfD1l9hjY2Sle5,11,2,8,-0.315300,0.15,2,1,true,678,Q,training
96325,R_6dfD1l9hjY2Sle5,12,289,16,0.043700,0.15,2,1,true,765,P,training
96325,R_6dfD1l9hjY2Sle5,13,3,8,-0.315300,0.15,2,1,true,613,Q,training
96325,R_6dfD1l9hjY2Sle5,14,0,8,-0.315300,0.15,2,1,false,282,P,training
96325,R_6dfD1l9hjY2Sle5,15,360,18,0.131700,0.15,2,1,false,424,Q,training
96325,R_6dfD1l9hjY2Sle5,16,291,16,0.043700,0.15,2,1,true,714,P,training
96325,R_6dfD1l9hjY2Sle5,17,1,8,-0.315300,0.15,2,1,false,478,P,training
96325,R_6dfD1l9hjY2Sle5,18,217,14,-0.043700,0.15,2,1,true,549,Q,training
96325,R_6dfD1l9hjY2Sle5,19,146,12,-0.131700,0.15,2,1,true,605,Q,training
96325,R_6dfD1l9hjY2Sle5,20,75,10,-0.221700,0.15,2,1,true,391,Q,training
96325,R_6dfD1l9hjY2Sle5,21,363,18,0.131700,0.15,2,1,false,433,Q,training
96325,R_6dfD1l9hjY2Sle5,22,216,14,-0.043700,0.15,2,1,false,482,P,training
96325,R_6dfD1l9hjY2Sle5,23,288,16,0.043700,0.15,2,1,false,294,Q,training
96325,R_6dfD1l9hjY2Sle5,24,362,18,0.131700,0.15,2,1,true,188,P,training
96325,R_6dfD1l9hjY2Sle5,25,505,22,0.315300,0.15,2,1,true,593,P,training
96325,R_6dfD1l9hjY2Sle5,26,504,22,0.315300,0.15,2,1,true,346,P,training
96325,R_6dfD1l9hjY2Sle5,27,361,18,0.131700,0.15,2,1,true,370,P,training
96325,R_6dfD1l9hjY2Sle5,28,433,20,0.221700,0.15,2,1,true,478,P,training
96325,R_6dfD1l9hjY2Sle5,29,506,22,0.315300,0.15,2,1,true,512,P,training
96325,R_6dfD1l9hjY2Sle5,30,74,10,-0.221700,0.15,2,1,false,566,P,training
96325,R_6dfD1l9hjY2Sle5,31,219,14,-0.043700,0.15,2,1,true,862,Q,training
96325,R_6dfD1l9hjY2Sle5,32,145,12,-0.131700,0.15,2,1,true,588,Q,training
96325,R_6dfD1l9hjY2Sle5,33,19,12,-0.315300,0.15,2,1,true,591,Q,main
96325,R_6dfD1l9hjY2Sle5,34,473,14,0.315300,0.15,2,1,false,936,P,main
96325,R_6dfD1l9hjY2Sle5,35,34,16,-0.315300,0.15,2,1,false,487,Q,main
96325,R_6dfD1l9hjY2Sle5,36,203,10,-0.043700,0.15,2,1,true,528,Q,main
96325,R_6dfD1l9hjY2Sle5,37,281,14,0.043700,0.15,2,1,false,361,P,main
96325,R_6dfD1l9hjY2Sle5,38,201,10,-0.043700,0.15,2,1,true,441,Q,main
96325,R_6dfD1l9hjY2Sle5,39,130,8,-0.131700,0.15,2,1,false,289,P,main
96325,R_6dfD1l9hjY2Sle5,40,385,8,0.221700,0.15,2,1,false,370,P,main
96325,R_6dfD1l9hjY2Sle5,41,176,20,-0.131700,0.15,2,1,false,242,Q,main
96325,R_6dfD1l9hjY2Sle5,42,336,12,0.131700,0.15,2,1,true,381,Q,main
96325,R_6dfD1l9hjY2Sle5,43,497,20,0.315300,0.15,2,1,true,453,P,main
96325,R_6dfD1l9hjY2Sle5,44,379,22,0.131700,0.15,2,1,false,578,Q,main
96325,R_6dfD1l9hjY2Sle5,45,226,16,-0.043700,0.15,2,1,false,415,Q,main
96325,R_6dfD1l9hjY2Sle5,46,491,18,0.315300,0.15,2,1,false,656,Q,main
96325,R_6dfD1l9hjY2Sle5,47,274,12,0.043700,0.15,2,1,true,646,Q,main
96325,R_6dfD1l9hjY2Sle5,48,384,8,0.221700,0.15,2,1,true,653,Q,main
96325,R_6dfD1l9hjY2Sle5,49,227,16,-0.043700,0.15,2,1,false,988,Q,main
96325,R_6dfD1l9hjY2Sle5,50,267,10,0.043700,0.15,2,1,true,373,Q,main
96325,R_6dfD1l9hjY2Sle5,51,496,20,0.315300,0.15,2,1,false,415,Q,main
96325,R_6dfD1l9hjY2Sle5,52,48,20,-0.315300,0.15,2,1,true,601,P,main
96325,R_6dfD1l9hjY2Sle5,53,368,20,0.131700,0.15,2,1,true,918,P,main
96325,R_6dfD1l9hjY2Sle5,54,51,20,-0.315300,0.15,2,1,true,294,P,main
96325,R_6dfD1l9hjY2Sle5,55,250,22,-0.043700,0.15,2,1,true,343,P,main
96325,R_6dfD1l9hjY2Sle5,56,456,10,0.315300,0.15,2,1,true,257,Q,main
96325,R_6dfD1l9hjY2Sle5,57,104,18,-0.221700,0.15,2,1,true,240,P,main
96325,R_6dfD1l9hjY2Sle5,58,371,20,0.131700,0.15,2,1,false,223,Q,main
96325,R_6dfD1l9hjY2Sle5,59,56,22,-0.315300,0.15,2,1,true,164,P,main
96325,R_6dfD1l9hjY2Sle5,60,210,12,-0.043700,0.15,2,1,true,288,Q,main
96325,R_6dfD1l9hjY2Sle5,61,186,22,-0.131700,0.15,2,1,false,395,Q,main
96325,R_6dfD1l9hjY2Sle5,62,498,20,0.315300,0.15,2,1,true,316,P,main
96325,R_6dfD1l9hjY2Sle5,63,81,12,-0.221700,0.15,2,1,false,431,P,main
96325,R_6dfD1l9hjY2Sle5,64,305,20,0.043700,0.15,2,1,false,337,Q,main
96325,R_6dfD1l9hjY2Sle5,65,280,14,0.043700,0.15,2,1,false,190,P,main
96325,R_6dfD1l9hjY2Sle5,66,489,18,0.315300,0.15,2,1,true,292,P,main
96325,R_6dfD1l9hjY2Sle5,67,466,12,0.315300,0.15,2,1,false,530,P,main
96325,R_6dfD1l9hjY2Sle5,68,33,16,-0.315300,0.15,2,1,true,338,P,main
96325,R_6dfD1l9hjY2Sle5,69,472,14,0.315300,0.15,2,1,false,274,P,main
96325,R_6dfD1l9hjY2Sle5,70,67,8,-0.221700,0.15,2,1,true,390,Q,main
96325,R_6dfD1l9hjY2Sle5,71,418,16,0.221700,0.15,2,1,true,286,P,main
96325,R_6dfD1l9hjY2Sle5,72,313,22,0.043700,0.15,2,1,false,473,Q,main
96325,R_6dfD1l9hjY2Sle5,73,448,8,0.315300,0.15,2,1,false,293,P,main
96325,R_6dfD1l9hjY2Sle5,74,187,22,-0.131700,0.15,2,1,true,227,P,main
96325,R_6dfD1l9hjY2Sle5,75,441,22,0.221700,0.15,2,1,true,276,P,main
96325,R_6dfD1l9hjY2Sle5,76,83,12,-0.221700,0.15,2,1,true,431,Q,main
96325,R_6dfD1l9hjY2Sle5,77,328,10,0.131700,0.15,2,1,true,498,Q,main
96325,R_6dfD1l9hjY2Sle5,78,232,18,-0.043700,0.15,2,1,false,1467,Q,main
96325,R_6dfD1l9hjY2Sle5,79,464,12,0.315300,0.15,2,1,false,378,P,main
96325,R_6dfD1l9hjY2Sle5,80,233,18,-0.043700,0.15,2,1,true,686,P,main
96325,R_6dfD1l9hjY2Sle5,81,346,14,0.131700,0.15,2,1,false,702,P,main
96325,R_6dfD1l9hjY2Sle5,82,208,12,-0.043700,0.15,2,1,true,532,Q,main
96325,R_6dfD1l9hjY2Sle5,83,35,16,-0.315300,0.15,2,1,false,607,Q,main
96325,R_6dfD1l9hjY2Sle5,84,96,16,-0.221700,0.15,2,1,false,547,Q,main
96325,R_6dfD1l9hjY2Sle5,85,427,18,0.221700,0.15,2,1,true,400,P,main
