sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,stimulusPairing,accuracy,reactionTime,responseKey,trialType
96527,R_6qaf1A20YaVMYyi,1,338,12,0.131700,0.15,2,2,true,2077,Q,training
96527,R_6qaf1A20YaVMYyi,2,115,20,-0.221700,0.15,2,2,true,1929,P,training
96527,R_6qaf1A20YaVMYyi,3,451,8,0.315300,0.15,2,2,true,2068,Q,training
96527,R_6qaf1A20YaVMYyi,4,171,18,-0.131700,0.15,2,2,true,2383,P,training
96527,R_6qaf1A20YaVMYyi,5,282,14,0.043700,0.15,2,2,true,2263,Q,training
96527,R_6qaf1A20YaVMYyi,6,113,20,-0.221700,0.15,2,2,false,2148,Q,training
96527,R_6qaf1A20YaVMYyi,7,114,20,-0.221700,0.15,2,2,true,2076,P,training
96527,R_6qaf1A20YaVMYyi,8,450,8,0.315300,0.15,2,2,true,2092,Q,training
96527,R_6qaf1A20YaVMYyi,9,56,22,-0.315300,0.15,2,2,true,2492,P,training
96527,R_6qaf1A20YaVMYyi,10,337,12,0.131700,0.15,2,2,true,2564,Q,training
96527,R_6qaf1A20YaVMYyi,11,169,18,-0.131700,0.15,2,2,true,2192,P,training
96527,R_6qaf1A20YaVMYyi,12,336,12,0.131700,0.15,2,2,true,2300,Q,training
96527,R_6qaf1A20YaVMYyi,13,339,12,0.131700,0.15,2,2,false,3257,P,training
96527,R_6qaf1A20YaVMYyi,14,226,16,-0.043700,0.15,2,2,false,1965,Q,training
96527,R_6qaf1A20YaVMYyi,15,58,22,-0.315300,0.15,2,2,false,2168,Q,training
96527,R_6qaf1A20YaVMYyi,16,392,10,0.221700,0.15,2,2,false,2003,P,training
96527,R_6qaf1A20YaVMYyi,17,448,8,0.315300,0.15,2,2,false,1761,P,training
96527,R_6qaf1A20YaVMYyi,18,283,14,0.043700,0.15,2,2,false,1986,P,training
96527,R_6qaf1A20YaVMYyi,19,394,10,0.221700,0.15,2,2,true,1659,Q,training
96527,R_6qaf1A20YaVMYyi,20,393,10,0.221700,0.15,2,2,false,1801,P,training
96527,R_6qaf1A20YaVMYyi,21,449,8,0.315300,0.15,2,2,true,1814,Q,training
96527,R_6qaf1A20YaVMYyi,22,170,18,-0.131700,0.15,2,2,true,1829,P,training
96527,R_6qaf1A20YaVMYyi,23,281,14,0.043700,0.15,2,2,false,2030,P,training
96527,R_6qaf1A20YaVMYyi,24,112,20,-0.221700,0.15,2,2,true,1948,P,training
96527,R_6qaf1A20YaVMYyi,25,225,16,-0.043700,0.15,2,2,false,1808,Q,training
96527,R_6qaf1A20YaVMYyi,26,168,18,-0.131700,0.15,2,2,true,1764,P,training
96527,R_6qaf1A20YaVMYyi,27,224,16,-0.043700,0.15,2,2,false,1852,Q,training
96527,R_6qaf1A20YaVMYyi,28,227,16,-0.043700,0.15,2,2,false,1737,Q,training
96527,R_6qaf1A20YaVMYyi,29,59,22,-0.315300,0.15,2,2,true,1785,P,training
96527,R_6qaf1A20YaVMYyi,30,280,14,0.043700,0.15,2,2,false,1802,P,training
96527,R_6qaf1A20YaVMYyi,31,57,22,-0.315300,0.15,2,2,true,1680,P,training
96527,R_6qaf1A20YaVMYyi,32,395,10,0.221700,0.15,2,2,true,1759,Q,training
96527,R_6qaf1A20YaVMYyi,33,298,18,0.043700,0.15,2,2,true,1816,P,main
96527,R_6qaf1A20YaVMYyi,34,345,14,0.131700,0.15,2,2,false,4040,P,main
96527,R_6qaf1A20YaVMYyi,35,440,22,0.221700,0.15,2,2,false,2176,Q,main
96527,R_6qaf1A20YaVMYyi,36,131,8,-0.131700,0.15,2,2,true,2324,Q,main
96527,R_6qaf1A20YaVMYyi,37,152,14,-0.131700,0.15,2,2,false,2452,P,main
96527,R_6qaf1A20YaVMYyi,38,211,12,-0.043700,0.15,2,2,true,2450,Q,main
96527,R_6qaf1A20YaVMYyi,39,241,20,-0.043700,0.15,2,2,true,1923,P,main
96527,R_6qaf1A20YaVMYyi,40,250,22,-0.043700,0.15,2,2,false,1819,Q,main
96527,R_6qaf1A20YaVMYyi,41,273,12,0.043700,0.15,2,2,true,1747,Q,main
96527,R_6qaf1A20YaVMYyi,42,257,8,0.043700,0.15,2,2,true,1880,Q,main
96527,R_6qaf1A20YaVMYyi,43,441,22,0.221700,0.15,2,2,true,1990,P,main
96527,R_6qaf1A20YaVMYyi,44,371,20,0.131700,0.15,2,2,true,1940,P,main
96527,R_6qaf1A20YaVMYyi,45,306,20,0.043700,0.15,2,2,true,2203,P,main
96527,R_6qaf1A20YaVMYyi,46,72,10,-0.221700,0.15,2,2,true,2360,Q,main
96527,R_6qaf1A20YaVMYyi,47,377,22,0.131700,0.15,2,2,true,1876,P,main
96527,R_6qaf1A20YaVMYyi,48,73,10,-0.221700,0.15,2,2,true,2376,Q,main
96527,R_6qaf1A20YaVMYyi,49,153,14,-0.131700,0.15,2,2,false,1968,P,main
96527,R_6qaf1A20YaVMYyi,50,219,14,-0.043700,0.15,2,2,true,2029,Q,main
96527,R_6qaf1A20YaVMYyi,51,290,16,0.043700,0.15,2,2,true,1997,P,main
96527,R_6qaf1A20YaVMYyi,52,474,14,0.315300,0.15,2,2,true,1790,Q,main
96527,R_6qaf1A20YaVMYyi,53,249,22,-0.043700,0.15,2,2,true,1794,P,main
96527,R_6qaf1A20YaVMYyi,54,251,22,-0.043700,0.15,2,2,true,2189,P,main
96527,R_6qaf1A20YaVMYyi,55,322,8,0.131700,0.15,2,2,true,1967,Q,main
96527,R_6qaf1A20YaVMYyi,56,313,22,0.043700,0.15,2,2,true,1576,P,main
96527,R_6qaf1A20YaVMYyi,57,121,22,-0.221700,0.15,2,2,false,2584,Q,main
96527,R_6qaf1A20YaVMYyi,58,418,16,0.221700,0.15,2,2,false,1907,Q,main
96527,R_6qaf1A20YaVMYyi,59,433,20,0.221700,0.15,2,2,true,2298,P,main
96527,R_6qaf1A20YaVMYyi,60,242,20,-0.043700,0.15,2,2,true,2610,P,main
96527,R_6qaf1A20YaVMYyi,61,376,22,0.131700,0.15,2,2,true,2446,P,main
96527,R_6qaf1A20YaVMYyi,62,346,14,0.131700,0.15,2,2,true,2334,Q,main
96527,R_6qaf1A20YaVMYyi,63,498,20,0.315300,0.15,2,2,true,2487,P,main
96527,R_6qaf1A20YaVMYyi,64,379,22,0.131700,0.15,2,2,true,3095,P,main
96527,R_6qaf1A20YaVMYyi,65,361,18,0.131700,0.15,2,2,true,2623,P,main
96527,R_6qaf1A20YaVMYyi,66,184,22,-0.131700,0.15,2,2,true,3089,P,main
96527,R_6qaf1A20YaVMYyi,67,48,20,-0.315300,0.15,2,2,true,2330,P,main
96527,R_6qaf1A20YaVMYyi,68,368,20,0.131700,0.15,2,2,true,3081,P,main
96527,R_6qaf1A20YaVMYyi,69,232,18,-0.043700,0.15,2,2,false,2270,Q,main
96527,R_6qaf1A20YaVMYyi,70,248,22,-0.043700,0.15,2,2,false,2917,Q,main
96527,R_6qaf1A20YaVMYyi,71,328,10,0.131700,0.15,2,2,true,2384,Q,main
96527,R_6qaf1A20YaVMYyi,72,299,18,0.043700,0.15,2,2,true,2578,P,main
96527,R_6qaf1A20YaVMYyi,73,434,20,0.221700,0.15,2,2,false,2050,Q,main
96527,R_6qaf1A20YaVMYyi,74,49,20,-0.315300,0.15,2,2,true,3508,P,main
96527,R_6qaf1A20YaVMYyi,75,146,12,-0.131700,0.15,2,2,true,1750,Q,main
96527,R_6qaf1A20YaVMYyi,76,90,14,-0.221700,0.15,2,2,false,2100,P,main
96527,R_6qaf1A20YaVMYyi,77,99,16,-0.221700,0.15,2,2,false,2845,Q,main
96527,R_6qaf1A20YaVMYyi,78,481,16,0.315300,0.15,2,2,true,2651,P,main
96527,R_6qaf1A20YaVMYyi,79,9,10,-0.315300,0.15,2,2,false,8808,P,main
96527,R_6qaf1A20YaVMYyi,80,145,12,-0.131700,0.15,2,2,true,3186,Q,main
