sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,stimulusPairing,accuracy,reactionTime,responseKey,trialType
95886,R_6t59nT7FpIF5gp8,1,449,8,0.315300,0.15,1,2,true,1766,P,training
95886,R_6t59nT7FpIF5gp8,2,283,14,0.043700,0.15,1,2,false,1717,Q,training
95886,R_6t59nT7FpIF5gp8,3,280,14,0.043700,0.15,1,2,false,1404,Q,training
95886,R_6t59nT7FpIF5gp8,4,168,18,-0.131700,0.15,1,2,false,6875,P,training
95886,R_6t59nT7FpIF5gp8,5,226,16,-0.043700,0.15,1,2,false,970,P,training
95886,R_6t59nT7FpIF5gp8,6,58,22,-0.315300,0.15,1,2,true,851,Q,training
95886,R_6t59nT7FpIF5gp8,7,337,12,0.131700,0.15,1,2,true,705,P,training
95886,R_6t59nT7FpIF5gp8,8,339,12,0.131700,0.15,1,2,true,970,P,training
95886,R_6t59nT7FpIF5gp8,9,57,22,-0.315300,0.15,1,2,true,606,Q,training
95886,R_6t59nT7FpIF5gp8,10,115,20,-0.221700,0.15,1,2,true,1070,Q,training
95886,R_6t59nT7FpIF5gp8,11,171,18,-0.131700,0.15,1,2,false,766,P,training
95886,R_6t59nT7FpIF5gp8,12,448,8,0.315300,0.15,1,2,false,1543,Q,training
95886,R_6t59nT7FpIF5gp8,13,392,10,0.221700,0.15,1,2,true,941,P,training
95886,R_6t59nT7FpIF5gp8,14,113,20,-0.221700,0.15,1,2,true,932,Q,training
95886,R_6t59nT7FpIF5gp8,15,393,10,0.221700,0.15,1,2,true,817,P,training
95886,R_6t59nT7FpIF5gp8,16,56,22,-0.315300,0.15,1,2,true,908,Q,training
95886,R_6t59nT7FpIF5gp8,17,227,16,-0.043700,0.15,1,2,false,1638,P,training
95886,R_6t59nT7FpIF5gp8,18,450,8,0.315300,0.15,1,2,true,1238,P,training
95886,R_6t59nT7FpIF5gp8,19,225,16,-0.043700,0.15,1,2,true,752,Q,training
95886,R_6t59nT7FpIF5gp8,20,395,10,0.221700,0.15,1,2,true,591,P,training
95886,R_6t59nT7FpIF5gp8,21,394,10,0.221700,0.15,1,2,true,762,P,training
95886,R_6t59nT7FpIF5gp8,22,338,12,0.131700,0.15,1,2,true,1314,P,training
95886,R_6t59nT7FpIF5gp8,23,336,12,0.131700,0.15,1,2,false,719,Q,training
95886,R_6t59nT7FpIF5gp8,24,451,8,0.315300,0.15,1,2,true,632,P,training
95886,R_6t59nT7FpIF5gp8,25,282,14,0.043700,0.15,1,2,false,849,Q,training
95886,R_6t59nT7FpIF5gp8,26,281,14,0.043700,0.15,1,2,true,620,P,training
95886,R_6t59nT7FpIF5gp8,27,170,18,-0.131700,0.15,1,2,true,971,Q,training
95886,R_6t59nT7FpIF5gp8,28,224,16,-0.043700,0.15,1,2,true,1068,Q,training
95886,R_6t59nT7FpIF5gp8,29,59,22,-0.315300,0.15,1,2,true,563,Q,training
95886,R_6t59nT7FpIF5gp8,30,169,18,-0.131700,0.15,1,2,false,700,P,training
95886,R_6t59nT7FpIF5gp8,31,114,20,-0.221700,0.15,1,2,true,738,Q,training
95886,R_6t59nT7FpIF5gp8,32,112,20,-0.221700,0.15,1,2,true,574,Q,training
95886,R_6t59nT7FpIF5gp8,33,194,8,-0.043700,0.15,1,2,false,1200,Q,main
95886,R_6t59nT7FpIF5gp8,34,473,14,0.315300,0.15,1,2,true,786,P,main
95886,R_6t59nT7FpIF5gp8,35,378,22,0.131700,0.15,1,2,true,968,Q,main
95886,R_6t59nT7FpIF5gp8,36,315,22,0.043700,0.15,1,2,true,1255,Q,main
95886,R_6t59nT7FpIF5gp8,37,491,18,0.315300,0.15,1,2,false,615,P,main
95886,R_6t59nT7FpIF5gp8,38,2,8,-0.315300,0.15,1,2,false,487,Q,main
95886,R_6t59nT7FpIF5gp8,39,417,16,0.221700,0.15,1,2,false,481,P,main
95886,R_6t59nT7FpIF5gp8,40,120,22,-0.221700,0.15,1,2,true,577,Q,main
95886,R_6t59nT7FpIF5gp8,41,307,20,0.043700,0.15,1,2,false,662,P,main
95886,R_6t59nT7FpIF5gp8,42,233,18,-0.043700,0.15,1,2,true,570,Q,main
95886,R_6t59nT7FpIF5gp8,43,155,14,-0.131700,0.15,1,2,false,716,Q,main
95886,R_6t59nT7FpIF5gp8,44,360,18,0.131700,0.15,1,2,false,537,P,main
95886,R_6t59nT7FpIF5gp8,45,186,22,-0.131700,0.15,1,2,false,911,P,main
95886,R_6t59nT7FpIF5gp8,46,187,22,-0.131700,0.15,1,2,true,509,Q,main
95886,R_6t59nT7FpIF5gp8,47,178,20,-0.131700,0.15,1,2,false,440,P,main
95886,R_6t59nT7FpIF5gp8,48,424,18,0.221700,0.15,1,2,false,678,P,main
95886,R_6t59nT7FpIF5gp8,49,80,12,-0.221700,0.15,1,2,false,633,Q,main
95886,R_6t59nT7FpIF5gp8,50,363,18,0.131700,0.15,1,2,false,592,P,main
95886,R_6t59nT7FpIF5gp8,51,416,16,0.221700,0.15,1,2,true,545,Q,main
95886,R_6t59nT7FpIF5gp8,52,385,8,0.221700,0.15,1,2,true,604,P,main
95886,R_6t59nT7FpIF5gp8,53,176,20,-0.131700,0.15,1,2,true,594,Q,main
95886,R_6t59nT7FpIF5gp8,54,480,16,0.315300,0.15,1,2,false,464,P,main
95886,R_6t59nT7FpIF5gp8,55,32,16,-0.315300,0.15,1,2,true,522,Q,main
95886,R_6t59nT7FpIF5gp8,56,368,20,0.131700,0.15,1,2,false,654,P,main
95886,R_6t59nT7FpIF5gp8,57,50,20,-0.315300,0.15,1,2,true,448,Q,main
95886,R_6t59nT7FpIF5gp8,58,267,10,0.043700,0.15,1,2,true,773,P,main
95886,R_6t59nT7FpIF5gp8,59,202,10,-0.043700,0.15,1,2,true,918,P,main
95886,R_6t59nT7FpIF5gp8,60,192,8,-0.043700,0.15,1,2,true,981,P,main
95886,R_6t59nT7FpIF5gp8,61,331,10,0.131700,0.15,1,2,true,628,P,main
95886,R_6t59nT7FpIF5gp8,62,11,10,-0.315300,0.15,1,2,false,462,Q,main
95886,R_6t59nT7FpIF5gp8,63,352,16,0.131700,0.15,1,2,false,737,P,main
95886,R_6t59nT7FpIF5gp8,64,298,18,0.043700,0.15,1,2,true,595,Q,main
95886,R_6t59nT7FpIF5gp8,65,347,14,0.131700,0.15,1,2,true,429,P,main
95886,R_6t59nT7FpIF5gp8,66,146,12,-0.131700,0.15,1,2,false,343,Q,main
95886,R_6t59nT7FpIF5gp8,67,458,10,0.315300,0.15,1,2,true,419,P,main
95886,R_6t59nT7FpIF5gp8,68,377,22,0.131700,0.15,1,2,true,349,Q,main
95886,R_6t59nT7FpIF5gp8,69,3,8,-0.315300,0.15,1,2,true,3074,P,main
95886,R_6t59nT7FpIF5gp8,70,73,10,-0.221700,0.15,1,2,false,961,Q,main
95886,R_6t59nT7FpIF5gp8,71,257,8,0.043700,0.15,1,2,true,631,P,main
95886,R_6t59nT7FpIF5gp8,72,499,20,0.315300,0.15,1,2,false,749,P,main
95886,R_6t59nT7FpIF5gp8,73,128,8,-0.131700,0.15,1,2,false,779,Q,main
95886,R_6t59nT7FpIF5gp8,74,442,22,0.221700,0.15,1,2,false,543,P,main
95886,R_6t59nT7FpIF5gp8,75,34,16,-0.315300,0.15,1,2,true,560,Q,main
95886,R_6t59nT7FpIF5gp8,76,387,8,0.221700,0.15,1,2,true,559,P,main
95886,R_6t59nT7FpIF5gp8,77,289,16,0.043700,0.15,1,2,true,577,Q,main
95886,R_6t59nT7FpIF5gp8,78,208,12,-0.043700,0.15,1,2,true,539,P,main
95886,R_6t59nT7FpIF5gp8,79,362,18,0.131700,0.15,1,2,false,671,P,main
95886,R_6t59nT7FpIF5gp8,80,27,14,-0.315300,0.15,1,2,false,456,Q,main
95886,R_6t59nT7FpIF5gp8,81,290,16,0.043700,0.15,1,2,false,445,P,main
95886,R_6t59nT7FpIF5gp8,82,251,22,-0.043700,0.15,1,2,false,436,P,main
95886,R_6t59nT7FpIF5gp8,83,184,22,-0.131700,0.15,1,2,true,778,Q,main
95886,R_6t59nT7FpIF5gp8,84,256,8,0.043700,0.15,1,2,true,442,P,main
95886,R_6t59nT7FpIF5gp8,85,211,12,-0.043700,0.15,1,2,false,833,Q,main
95886,R_6t59nT7FpIF5gp8,86,35,16,-0.315300,0.15,1,2,false,403,P,main
95886,R_6t59nT7FpIF5gp8,87,418,16,0.221700,0.15,1,2,false,465,P,main
95886,R_6t59nT7FpIF5gp8,88,441,22,0.221700,0.15,1,2,false,439,P,main
95886,R_6t59nT7FpIF5gp8,89,264,10,0.043700,0.15,1,2,true,504,P,main
95886,R_6t59nT7FpIF5gp8,90,376,22,0.131700,0.15,1,2,false,479,P,main
95886,R_6t59nT7FpIF5gp8,91,297,18,0.043700,0.15,1,2,true,754,Q,main
95886,R_6t59nT7FpIF5gp8,92,483,16,0.315300,0.15,1,2,false,425,P,main
95886,R_6t59nT7FpIF5gp8,93,105,18,-0.221700,0.15,1,2,false,514,P,main
95886,R_6t59nT7FpIF5gp8,94,410,14,0.221700,0.15,1,2,false,486,Q,main
95886,R_6t59nT7FpIF5gp8,95,49,20,-0.315300,0.15,1,2,true,463,Q,main
95886,R_6t59nT7FpIF5gp8,96,465,12,0.315300,0.15,1,2,true,526,P,main
95886,R_6t59nT7FpIF5gp8,97,75,10,-0.221700,0.15,1,2,true,816,P,main
95886,R_6t59nT7FpIF5gp8,98,497,20,0.315300,0.15,1,2,false,531,P,main
95886,R_6t59nT7FpIF5gp8,99,361,18,0.131700,0.15,1,2,false,2003,P,main
95886,R_6t59nT7FpIF5gp8,100,40,18,-0.315300,0.15,1,2,true,915,Q,main
95886,R_6t59nT7FpIF5gp8,101,312,22,0.043700,0.15,1,2,true,1068,Q,main
95886,R_6t59nT7FpIF5gp8,102,82,12,-0.221700,0.15,1,2,false,590,Q,main
95886,R_6t59nT7FpIF5gp8,103,240,20,-0.043700,0.15,1,2,false,440,P,main
95886,R_6t59nT7FpIF5gp8,104,258,8,0.043700,0.15,1,2,true,497,P,main
95886,R_6t59nT7FpIF5gp8,105,305,20,0.043700,0.15,1,2,true,425,Q,main
95886,R_6t59nT7FpIF5gp8,106,272,12,0.043700,0.15,1,2,true,435,P,main
95886,R_6t59nT7FpIF5gp8,107,355,16,0.131700,0.15,1,2,false,934,P,main
95886,R_6t59nT7FpIF5gp8,108,496,20,0.315300,0.15,1,2,true,2955,Q,main
95886,R_6t59nT7FpIF5gp8,109,217,14,-0.043700,0.15,1,2,false,720,Q,main
95886,R_6t59nT7FpIF5gp8,110,147,12,-0.131700,0.15,1,2,true,1039,P,main
95886,R_6t59nT7FpIF5gp8,111,440,22,0.221700,0.15,1,2,false,1388,P,main
95886,R_6t59nT7FpIF5gp8,112,42,18,-0.315300,0.15,1,2,true,786,Q,main
95886,R_6t59nT7FpIF5gp8,113,313,22,0.043700,0.15,1,2,false,1232,P,main
95886,R_6t59nT7FpIF5gp8,114,219,14,-0.043700,0.15,1,2,true,888,P,main
95886,R_6t59nT7FpIF5gp8,115,210,12,-0.043700,0.15,1,2,false,959,Q,main
95886,R_6t59nT7FpIF5gp8,116,443,22,0.221700,0.15,1,2,false,655,P,main
95886,R_6t59nT7FpIF5gp8,117,104,18,-0.221700,0.15,1,2,true,578,Q,main
95886,R_6t59nT7FpIF5gp8,118,209,12,-0.043700,0.15,1,2,false,657,Q,main
95886,R_6t59nT7FpIF5gp8,119,241,20,-0.043700,0.15,1,2,false,606,P,main
95886,R_6t59nT7FpIF5gp8,120,136,10,-0.131700,0.15,1,2,false,843,Q,main
95886,R_6t59nT7FpIF5gp8,121,273,12,0.043700,0.15,1,2,true,793,P,main
95886,R_6t59nT7FpIF5gp8,122,66,8,-0.221700,0.15,1,2,true,663,P,main
95886,R_6t59nT7FpIF5gp8,123,402,12,0.221700,0.15,1,2,false,611,Q,main
95886,R_6t59nT7FpIF5gp8,124,401,12,0.221700,0.15,1,2,true,759,P,main
95886,R_6t59nT7FpIF5gp8,125,145,12,-0.131700,0.15,1,2,false,444,Q,main
95886,R_6t59nT7FpIF5gp8,126,216,14,-0.043700,0.15,1,2,false,809,Q,main
95886,R_6t59nT7FpIF5gp8,127,400,12,0.221700,0.15,1,2,true,1202,P,main
95886,R_6t59nT7FpIF5gp8,128,203,10,-0.043700,0.15,1,2,false,664,Q,main
95886,R_6t59nT7FpIF5gp8,129,371,20,0.131700,0.15,1,2,false,524,P,main
95886,R_6t59nT7FpIF5gp8,130,472,14,0.315300,0.15,1,2,true,748,P,main
95886,R_6t59nT7FpIF5gp8,131,51,20,-0.315300,0.15,1,2,true,726,Q,main
95886,R_6t59nT7FpIF5gp8,132,162,16,-0.131700,0.15,1,2,true,848,Q,main
95886,R_6t59nT7FpIF5gp8,133,129,8,-0.131700,0.15,1,2,false,1233,Q,main
95886,R_6t59nT7FpIF5gp8,134,265,10,0.043700,0.15,1,2,true,638,P,main
95886,R_6t59nT7FpIF5gp8,135,353,16,0.131700,0.15,1,2,true,363,Q,main
95886,R_6t59nT7FpIF5gp8,136,506,22,0.315300,0.15,1,2,false,368,P,main
95886,R_6t59nT7FpIF5gp8,137,83,12,-0.221700,0.15,1,2,false,337,Q,main
95886,R_6t59nT7FpIF5gp8,138,153,14,-0.131700,0.15,1,2,true,369,P,main
95886,R_6t59nT7FpIF5gp8,139,435,20,0.221700,0.15,1,2,true,305,Q,main
95886,R_6t59nT7FpIF5gp8,140,234,18,-0.043700,0.15,1,2,true,477,Q,main
95886,R_6t59nT7FpIF5gp8,141,346,14,0.131700,0.15,1,2,true,472,P,main
95886,R_6t59nT7FpIF5gp8,142,481,16,0.315300,0.15,1,2,false,771,P,main
95886,R_6t59nT7FpIF5gp8,143,329,10,0.131700,0.15,1,2,true,486,P,main
95886,R_6t59nT7FpIF5gp8,144,242,20,-0.043700,0.15,1,2,true,424,Q,main
95886,R_6t59nT7FpIF5gp8,145,218,14,-0.043700,0.15,1,2,false,486,Q,main
95886,R_6t59nT7FpIF5gp8,146,131,8,-0.131700,0.15,1,2,false,469,Q,main
95886,R_6t59nT7FpIF5gp8,147,43,18,-0.315300,0.15,1,2,true,395,Q,main
95886,R_6t59nT7FpIF5gp8,148,411,14,0.221700,0.15,1,2,true,358,P,main
95886,R_6t59nT7FpIF5gp8,149,185,22,-0.131700,0.15,1,2,false,513,P,main
95886,R_6t59nT7FpIF5gp8,150,90,14,-0.221700,0.15,1,2,true,482,P,main
95886,R_6t59nT7FpIF5gp8,151,296,18,0.043700,0.15,1,2,true,364,Q,main
95886,R_6t59nT7FpIF5gp8,152,464,12,0.315300,0.15,1,2,true,455,P,main
95886,R_6t59nT7FpIF5gp8,153,177,20,-0.131700,0.15,1,2,true,424,Q,main
95886,R_6t59nT7FpIF5gp8,154,130,8,-0.131700,0.15,1,2,false,656,Q,main
95886,R_6t59nT7FpIF5gp8,155,106,18,-0.221700,0.15,1,2,true,429,Q,main
95886,R_6t59nT7FpIF5gp8,156,98,16,-0.221700,0.15,1,2,true,432,Q,main
95886,R_6t59nT7FpIF5gp8,157,467,12,0.315300,0.15,1,2,true,549,P,main
95886,R_6t59nT7FpIF5gp8,158,0,8,-0.315300,0.15,1,2,false,532,Q,main
95886,R_6t59nT7FpIF5gp8,159,154,14,-0.131700,0.15,1,2,false,693,Q,main
95886,R_6t59nT7FpIF5gp8,160,306,20,0.043700,0.15,1,2,false,665,P,main
95886,R_6t59nT7FpIF5gp8,161,161,16,-0.131700,0.15,1,2,true,454,Q,main
95886,R_6t59nT7FpIF5gp8,162,33,16,-0.315300,0.15,1,2,true,486,Q,main
95886,R_6t59nT7FpIF5gp8,163,201,10,-0.043700,0.15,1,2,false,552,Q,main
95886,R_6t59nT7FpIF5gp8,164,138,10,-0.131700,0.15,1,2,false,449,Q,main
