sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,stimulusPairing,accuracy,reactionTime,responseKey,trialType
96219,R_70BH1nhLyJkDALU,1,112,20,-0.221700,0.15,2,2,true,3120,P,training
96219,R_70BH1nhLyJkDALU,2,337,12,0.131700,0.15,2,2,false,873,P,training
96219,R_70BH1nhLyJkDALU,3,283,14,0.043700,0.15,2,2,false,688,P,training
96219,R_70BH1nhLyJkDALU,4,226,16,-0.043700,0.15,2,2,false,2504,Q,training
96219,R_70BH1nhLyJkDALU,5,113,20,-0.221700,0.15,2,2,false,658,Q,training
96219,R_70BH1nhLyJkDALU,6,168,18,-0.131700,0.15,2,2,true,1619,P,training
96219,R_70BH1nhLyJkDALU,7,338,12,0.131700,0.15,2,2,true,669,Q,training
96219,R_70BH1nhLyJkDALU,8,59,22,-0.315300,0.15,2,2,false,842,Q,training
96219,R_70BH1nhLyJkDALU,9,451,8,0.315300,0.15,2,2,false,607,P,training
96219,R_70BH1nhLyJkDALU,10,57,22,-0.315300,0.15,2,2,true,505,P,training
96219,R_70BH1nhLyJkDALU,11,58,22,-0.315300,0.15,2,2,true,293,P,training
96219,R_70BH1nhLyJkDALU,12,282,14,0.043700,0.15,2,2,true,28,Q,training
96219,R_70BH1nhLyJkDALU,13,170,18,-0.131700,0.15,2,2,true,71,P,training
96219,R_70BH1nhLyJkDALU,14,56,22,-0.315300,0.15,2,2,false,92,Q,training
96219,R_70BH1nhLyJkDALU,15,225,16,-0.043700,0.15,2,2,false,74,Q,training
96219,R_70BH1nhLyJkDALU,16,281,14,0.043700,0.15,2,2,false,65,P,training
96219,R_70BH1nhLyJkDALU,17,448,8,0.315300,0.15,2,2,false,53,P,training
96219,R_70BH1nhLyJkDALU,18,395,10,0.221700,0.15,2,2,false,36,P,training
96219,R_70BH1nhLyJkDALU,19,280,14,0.043700,0.15,2,2,true,97,Q,training
96219,R_70BH1nhLyJkDALU,20,339,12,0.131700,0.15,2,2,true,82,Q,training
96219,R_70BH1nhLyJkDALU,21,449,8,0.315300,0.15,2,2,false,1,P,training
96219,R_70BH1nhLyJkDALU,22,115,20,-0.221700,0.15,2,2,false,28,Q,training
96219,R_70BH1nhLyJkDALU,23,394,10,0.221700,0.15,2,2,false,201,P,training
96219,R_70BH1nhLyJkDALU,24,169,18,-0.131700,0.15,2,2,true,2356,P,training
96219,R_70BH1nhLyJkDALU,25,227,16,-0.043700,0.15,2,2,true,254,P,training
96219,R_70BH1nhLyJkDALU,26,393,10,0.221700,0.15,2,2,true,37,Q,training
96219,R_70BH1nhLyJkDALU,27,114,20,-0.221700,0.15,2,2,true,33166,P,training
96219,R_70BH1nhLyJkDALU,28,224,16,-0.043700,0.15,2,2,true,1247,P,training
96219,R_70BH1nhLyJkDALU,29,450,8,0.315300,0.15,2,2,false,704,P,training
96219,R_70BH1nhLyJkDALU,30,392,10,0.221700,0.15,2,2,false,659,P,training
96219,R_70BH1nhLyJkDALU,31,171,18,-0.131700,0.15,2,2,true,1016,P,training
96219,R_70BH1nhLyJkDALU,32,336,12,0.131700,0.15,2,2,false,442,P,training
96219,R_70BH1nhLyJkDALU,33,346,14,0.131700,0.15,2,2,false,770,P,main
96219,R_70BH1nhLyJkDALU,34,233,18,-0.043700,0.15,2,2,false,1462,Q,main
96219,R_70BH1nhLyJkDALU,35,25,14,-0.315300,0.15,2,2,false,241,P,main
96219,R_70BH1nhLyJkDALU,36,320,8,0.131700,0.15,2,2,false,209,P,main
96219,R_70BH1nhLyJkDALU,37,432,20,0.221700,0.15,2,2,false,168,Q,main
96219,R_70BH1nhLyJkDALU,38,312,22,0.043700,0.15,2,2,true,30,P,main
96219,R_70BH1nhLyJkDALU,39,161,16,-0.131700,0.15,2,2,false,75,Q,main
