sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,stimulusPairing,accuracy,reactionTime,responseKey,trialType
96340,R_7Hzjpbb7KmcNLKV,1,290,16,0.043700,0.15,1,1,false,17474,P,training
96340,R_7Hzjpbb7KmcNLKV,2,362,18,0.131700,0.15,1,1,true,8543,Q,training
96340,R_7Hzjpbb7KmcNLKV,3,1,8,-0.315300,0.15,1,1,true,950,P,training
96340,R_7Hzjpbb7KmcNLKV,4,363,18,0.131700,0.15,1,1,true,683,Q,training
96340,R_7Hzjpbb7KmcNLKV,5,433,20,0.221700,0.15,1,1,true,778,Q,training
96340,R_7Hzjpbb7KmcNLKV,6,74,10,-0.221700,0.15,1,1,true,609,P,training
96340,R_7Hzjpbb7KmcNLKV,7,507,22,0.315300,0.15,1,1,true,529,Q,training
96340,R_7Hzjpbb7KmcNLKV,8,73,10,-0.221700,0.15,1,1,true,598,P,training
96340,R_7Hzjpbb7KmcNLKV,9,361,18,0.131700,0.15,1,1,true,744,Q,training
96340,R_7Hzjpbb7KmcNLKV,10,0,8,-0.315300,0.15,1,1,true,661,P,training
96340,R_7Hzjpbb7KmcNLKV,11,2,8,-0.315300,0.15,1,1,false,453,Q,training
96340,R_7Hzjpbb7KmcNLKV,12,147,12,-0.131700,0.15,1,1,true,812,P,training
96340,R_7Hzjpbb7KmcNLKV,13,3,8,-0.315300,0.15,1,1,true,580,P,training
96340,R_7Hzjpbb7KmcNLKV,14,505,22,0.315300,0.15,1,1,true,406,Q,training
96340,R_7Hzjpbb7KmcNLKV,15,291,16,0.043700,0.15,1,1,false,1054,P,training
96340,R_7Hzjpbb7KmcNLKV,16,506,22,0.315300,0.15,1,1,true,1414,Q,training
96340,R_7Hzjpbb7KmcNLKV,17,219,14,-0.043700,0.15,1,1,false,891,Q,training
96340,R_7Hzjpbb7KmcNLKV,18,146,12,-0.131700,0.15,1,1,true,673,P,training
96340,R_7Hzjpbb7KmcNLKV,19,218,14,-0.043700,0.15,1,1,true,887,P,training
96340,R_7Hzjpbb7KmcNLKV,20,144,12,-0.131700,0.15,1,1,true,960,P,training
96340,R_7Hzjpbb7KmcNLKV,21,288,16,0.043700,0.15,1,1,false,950,P,training
96340,R_7Hzjpbb7KmcNLKV,22,432,20,0.221700,0.15,1,1,true,855,Q,training
96340,R_7Hzjpbb7KmcNLKV,23,434,20,0.221700,0.15,1,1,true,799,Q,training
96340,R_7Hzjpbb7KmcNLKV,24,289,16,0.043700,0.15,1,1,false,856,P,training
96340,R_7Hzjpbb7KmcNLKV,25,72,10,-0.221700,0.15,1,1,true,862,P,training
96340,R_7Hzjpbb7KmcNLKV,26,360,18,0.131700,0.15,1,1,true,626,Q,training
96340,R_7Hzjpbb7KmcNLKV,27,435,20,0.221700,0.15,1,1,true,1621,Q,training
96340,R_7Hzjpbb7KmcNLKV,28,75,10,-0.221700,0.15,1,1,true,1188,P,training
96340,R_7Hzjpbb7KmcNLKV,29,216,14,-0.043700,0.15,1,1,true,1684,P,training
96340,R_7Hzjpbb7KmcNLKV,30,217,14,-0.043700,0.15,1,1,true,1228,P,training
96340,R_7Hzjpbb7KmcNLKV,31,145,12,-0.131700,0.15,1,1,true,855,P,training
96340,R_7Hzjpbb7KmcNLKV,32,504,22,0.315300,0.15,1,1,true,766,Q,training
96340,R_7Hzjpbb7KmcNLKV,33,338,12,0.131700,0.15,1,1,true,676,P,main
96340,R_7Hzjpbb7KmcNLKV,34,115,20,-0.221700,0.15,1,1,true,1623,Q,main
96340,R_7Hzjpbb7KmcNLKV,35,9,10,-0.315300,0.15,1,1,true,729,P,main
96340,R_7Hzjpbb7KmcNLKV,36,128,8,-0.131700,0.15,1,1,false,577,Q,main
96340,R_7Hzjpbb7KmcNLKV,37,170,18,-0.131700,0.15,1,1,false,514,P,main
96340,R_7Hzjpbb7KmcNLKV,38,250,22,-0.043700,0.15,1,1,true,423,Q,main
96340,R_7Hzjpbb7KmcNLKV,39,89,14,-0.221700,0.15,1,1,true,467,P,main
96340,R_7Hzjpbb7KmcNLKV,40,123,22,-0.221700,0.15,1,1,true,501,Q,main
96340,R_7Hzjpbb7KmcNLKV,41,184,22,-0.131700,0.15,1,1,false,343,P,main
96340,R_7Hzjpbb7KmcNLKV,42,91,14,-0.221700,0.15,1,1,false,704,Q,main
96340,R_7Hzjpbb7KmcNLKV,43,137,10,-0.131700,0.15,1,1,true,776,P,main
96340,R_7Hzjpbb7KmcNLKV,44,49,20,-0.315300,0.15,1,1,false,1038,P,main
96340,R_7Hzjpbb7KmcNLKV,45,458,10,0.315300,0.15,1,1,true,784,P,main
96340,R_7Hzjpbb7KmcNLKV,46,122,22,-0.221700,0.15,1,1,true,737,Q,main
96340,R_7Hzjpbb7KmcNLKV,47,472,14,0.315300,0.15,1,1,true,575,P,main
96340,R_7Hzjpbb7KmcNLKV,48,195,8,-0.043700,0.15,1,1,true,789,P,main
96340,R_7Hzjpbb7KmcNLKV,49,233,18,-0.043700,0.15,1,1,true,452,Q,main
