sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,stimulusPairing,accuracy,reactionTime,responseKey,trialType
96226,R_7Qoyf4cL5clxQSB,1,449,8,0.315300,0.15,2,2,true,3968,Q,training
96226,R_7Qoyf4cL5clxQSB,2,112,20,-0.221700,0.15,2,2,true,1236,P,training
96226,R_7Qoyf4cL5clxQSB,3,225,16,-0.043700,0.15,2,2,true,374,P,training
96226,R_7Qoyf4cL5clxQSB,4,170,18,-0.131700,0.15,2,2,true,653,P,training
96226,R_7Qoyf4cL5clxQSB,5,451,8,0.315300,0.15,2,2,true,1351,Q,training
96226,R_7Qoyf4cL5clxQSB,6,393,10,0.221700,0.15,2,2,true,566,Q,training
96226,R_7Qoyf4cL5clxQSB,7,394,10,0.221700,0.15,2,2,false,641,P,training
96226,R_7Qoyf4cL5clxQSB,8,336,12,0.131700,0.15,2,2,true,1141,Q,training
96226,R_7Qoyf4cL5clxQSB,9,283,14,0.043700,0.15,2,2,true,896,Q,training
96226,R_7Qoyf4cL5clxQSB,10,56,22,-0.315300,0.15,2,2,false,855,Q,training
96226,R_7Qoyf4cL5clxQSB,11,450,8,0.315300,0.15,2,2,false,679,P,training
96226,R_7Qoyf4cL5clxQSB,12,114,20,-0.221700,0.15,2,2,false,1202,Q,training
96226,R_7Qoyf4cL5clxQSB,13,281,14,0.043700,0.15,2,2,true,862,Q,training
96226,R_7Qoyf4cL5clxQSB,14,58,22,-0.315300,0.15,2,2,true,831,P,training
96226,R_7Qoyf4cL5clxQSB,15,339,12,0.131700,0.15,2,2,false,708,P,training
96226,R_7Qoyf4cL5clxQSB,16,337,12,0.131700,0.15,2,2,true,1288,Q,training
96226,R_7Qoyf4cL5clxQSB,17,168,18,-0.131700,0.15,2,2,false,975,Q,training
96226,R_7Qoyf4cL5clxQSB,18,113,20,-0.221700,0.15,2,2,false,793,Q,training
96226,R_7Qoyf4cL5clxQSB,19,395,10,0.221700,0.15,2,2,false,632,P,training
96226,R_7Qoyf4cL5clxQSB,20,224,16,-0.043700,0.15,2,2,false,389,Q,training
96226,R_7Qoyf4cL5clxQSB,21,392,10,0.221700,0.15,2,2,true,653,Q,training
96226,R_7Qoyf4cL5clxQSB,22,59,22,-0.315300,0.15,2,2,true,543,P,training
96226,R_7Qoyf4cL5clxQSB,23,280,14,0.043700,0.15,2,2,true,1348,Q,training
96226,R_7Qoyf4cL5clxQSB,24,169,18,-0.131700,0.15,2,2,false,1349,Q,training
96226,R_7Qoyf4cL5clxQSB,25,226,16,-0.043700,0.15,2,2,true,701,P,training
96226,R_7Qoyf4cL5clxQSB,26,171,18,-0.131700,0.15,2,2,true,1319,P,training
96226,R_7Qoyf4cL5clxQSB,27,57,22,-0.315300,0.15,2,2,true,952,P,training
96226,R_7Qoyf4cL5clxQSB,28,338,12,0.131700,0.15,2,2,false,1693,P,training
96226,R_7Qoyf4cL5clxQSB,29,282,14,0.043700,0.15,2,2,true,9106,Q,training
96226,R_7Qoyf4cL5clxQSB,30,227,16,-0.043700,0.15,2,2,false,1163,Q,training
96226,R_7Qoyf4cL5clxQSB,31,115,20,-0.221700,0.15,2,2,false,1104,Q,training
96226,R_7Qoyf4cL5clxQSB,32,448,8,0.315300,0.15,2,2,false,817,P,training
96226,R_7Qoyf4cL5clxQSB,33,9,10,-0.315300,0.15,2,2,true,1670,Q,main
96226,R_7Qoyf4cL5clxQSB,34,363,18,0.131700,0.15,2,2,false,940,Q,main
96226,R_7Qoyf4cL5clxQSB,35,456,10,0.315300,0.15,2,2,false,644,P,main
96226,R_7Qoyf4cL5clxQSB,36,264,10,0.043700,0.15,2,2,false,1221,P,main
96226,R_7Qoyf4cL5clxQSB,37,384,8,0.221700,0.15,2,2,false,576,P,main
96226,R_7Qoyf4cL5clxQSB,38,403,12,0.221700,0.15,2,2,true,378,Q,main
96226,R_7Qoyf4cL5clxQSB,39,497,20,0.315300,0.15,2,2,false,881,Q,main
96226,R_7Qoyf4cL5clxQSB,40,16,12,-0.315300,0.15,2,2,true,786,Q,main
96226,R_7Qoyf4cL5clxQSB,41,266,10,0.043700,0.15,2,2,true,626,Q,main
96226,R_7Qoyf4cL5clxQSB,42,152,14,-0.131700,0.15,2,2,true,727,Q,main
96226,R_7Qoyf4cL5clxQSB,43,136,10,-0.131700,0.15,2,2,true,781,Q,main
96226,R_7Qoyf4cL5clxQSB,44,32,16,-0.315300,0.15,2,2,false,963,Q,main
96226,R_7Qoyf4cL5clxQSB,45,177,20,-0.131700,0.15,2,2,true,542,P,main
96226,R_7Qoyf4cL5clxQSB,46,419,16,0.221700,0.15,2,2,true,1154,P,main
96226,R_7Qoyf4cL5clxQSB,47,256,8,0.043700,0.15,2,2,true,3006,Q,main
96226,R_7Qoyf4cL5clxQSB,48,401,12,0.221700,0.15,2,2,true,707,Q,main
96226,R_7Qoyf4cL5clxQSB,49,387,8,0.221700,0.15,2,2,false,658,P,main
96226,R_7Qoyf4cL5clxQSB,50,249,22,-0.043700,0.15,2,2,true,349,P,main
96226,R_7Qoyf4cL5clxQSB,51,3,8,-0.315300,0.15,2,2,false,539,P,main
96226,R_7Qoyf4cL5clxQSB,52,97,16,-0.221700,0.15,2,2,false,1359,Q,main
96226,R_7Qoyf4cL5clxQSB,53,24,14,-0.315300,0.15,2,2,false,692,P,main
96226,R_7Qoyf4cL5clxQSB,54,368,20,0.131700,0.15,2,2,true,962,P,main
96226,R_7Qoyf4cL5clxQSB,55,329,10,0.131700,0.15,2,2,false,580,P,main
96226,R_7Qoyf4cL5clxQSB,56,129,8,-0.131700,0.15,2,2,false,638,P,main
96226,R_7Qoyf4cL5clxQSB,57,163,16,-0.131700,0.15,2,2,false,606,Q,main
96226,R_7Qoyf4cL5clxQSB,58,187,22,-0.131700,0.15,2,2,false,521,Q,main
96226,R_7Qoyf4cL5clxQSB,59,120,22,-0.221700,0.15,2,2,false,481,Q,main
96226,R_7Qoyf4cL5clxQSB,60,82,12,-0.221700,0.15,2,2,false,531,P,main
96226,R_7Qoyf4cL5clxQSB,61,377,22,0.131700,0.15,2,2,true,545,P,main
96226,R_7Qoyf4cL5clxQSB,62,203,10,-0.043700,0.15,2,2,true,945,Q,main
