sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,stimulusPairing,accuracy,reactionTime,responseKey,trialType
97284,R_7TTdhNilUu7L21F,1,169,18,-0.131700,0.15,1,2,false,6402,P,training
97284,R_7TTdhNilUu7L21F,2,394,10,0.221700,0.15,1,2,false,6257,Q,training
97284,R_7TTdhNilUu7L21F,3,170,18,-0.131700,0.15,1,2,false,1176,P,training
97284,R_7TTdhNilUu7L21F,4,450,8,0.315300,0.15,1,2,true,760,P,training
97284,R_7TTdhNilUu7L21F,5,225,16,-0.043700,0.15,1,2,true,610,Q,training
97284,R_7TTdhNilUu7L21F,6,227,16,-0.043700,0.15,1,2,true,914,Q,training
97284,R_7TTdhNilUu7L21F,7,339,12,0.131700,0.15,1,2,true,1270,P,training
97284,R_7TTdhNilUu7L21F,8,448,8,0.315300,0.15,1,2,false,1661,Q,training
97284,R_7TTdhNilUu7L21F,9,59,22,-0.315300,0.15,1,2,true,1021,Q,training
97284,R_7TTdhNilUu7L21F,10,58,22,-0.315300,0.15,1,2,true,798,Q,training
97284,R_7TTdhNilUu7L21F,11,451,8,0.315300,0.15,1,2,true,600,P,training
97284,R_7TTdhNilUu7L21F,12,115,20,-0.221700,0.15,1,2,true,734,Q,training
97284,R_7TTdhNilUu7L21F,13,112,20,-0.221700,0.15,1,2,true,773,Q,training
97284,R_7TTdhNilUu7L21F,14,280,14,0.043700,0.15,1,2,false,724,Q,training
97284,R_7TTdhNilUu7L21F,15,168,18,-0.131700,0.15,1,2,true,1303,Q,training
97284,R_7TTdhNilUu7L21F,16,226,16,-0.043700,0.15,1,2,true,955,Q,training
97284,R_7TTdhNilUu7L21F,17,224,16,-0.043700,0.15,1,2,false,762,P,training
97284,R_7TTdhNilUu7L21F,18,57,22,-0.315300,0.15,1,2,false,865,P,training
97284,R_7TTdhNilUu7L21F,19,281,14,0.043700,0.15,1,2,false,784,Q,training
97284,R_7TTdhNilUu7L21F,20,395,10,0.221700,0.15,1,2,false,682,Q,training
97284,R_7TTdhNilUu7L21F,21,337,12,0.131700,0.15,1,2,false,586,Q,training
97284,R_7TTdhNilUu7L21F,22,338,12,0.131700,0.15,1,2,false,497,Q,training
97284,R_7TTdhNilUu7L21F,23,282,14,0.043700,0.15,1,2,false,731,Q,training
97284,R_7TTdhNilUu7L21F,24,336,12,0.131700,0.15,1,2,true,790,P,training
97284,R_7TTdhNilUu7L21F,25,283,14,0.043700,0.15,1,2,true,856,P,training
97284,R_7TTdhNilUu7L21F,26,171,18,-0.131700,0.15,1,2,false,543,P,training
97284,R_7TTdhNilUu7L21F,27,114,20,-0.221700,0.15,1,2,true,85,Q,training
97284,R_7TTdhNilUu7L21F,28,449,8,0.315300,0.15,1,2,true,830,P,training
97284,R_7TTdhNilUu7L21F,29,392,10,0.221700,0.15,1,2,false,779,Q,training
97284,R_7TTdhNilUu7L21F,30,56,22,-0.315300,0.15,1,2,false,770,P,training
97284,R_7TTdhNilUu7L21F,31,393,10,0.221700,0.15,1,2,true,796,P,training
97284,R_7TTdhNilUu7L21F,32,113,20,-0.221700,0.15,1,2,true,732,Q,training
97284,R_7TTdhNilUu7L21F,33,491,18,0.315300,0.15,1,2,true,782,Q,main
97284,R_7TTdhNilUu7L21F,34,192,8,-0.043700,0.15,1,2,false,817,Q,main
97284,R_7TTdhNilUu7L21F,35,99,16,-0.221700,0.15,1,2,false,789,P,main
97284,R_7TTdhNilUu7L21F,36,155,14,-0.131700,0.15,1,2,false,640,Q,main
97284,R_7TTdhNilUu7L21F,37,456,10,0.315300,0.15,1,2,true,462,P,main
97284,R_7TTdhNilUu7L21F,38,459,10,0.315300,0.15,1,2,true,478,P,main
97284,R_7TTdhNilUu7L21F,39,379,22,0.131700,0.15,1,2,false,731,P,main
97284,R_7TTdhNilUu7L21F,40,273,12,0.043700,0.15,1,2,false,478,Q,main
97284,R_7TTdhNilUu7L21F,41,136,10,-0.131700,0.15,1,2,false,536,Q,main
97284,R_7TTdhNilUu7L21F,42,201,10,-0.043700,0.15,1,2,false,524,Q,main
97284,R_7TTdhNilUu7L21F,43,499,20,0.315300,0.15,1,2,false,433,P,main
97284,R_7TTdhNilUu7L21F,44,435,20,0.221700,0.15,1,2,false,710,P,main
97284,R_7TTdhNilUu7L21F,45,344,14,0.131700,0.15,1,2,false,565,Q,main
97284,R_7TTdhNilUu7L21F,46,208,12,-0.043700,0.15,1,2,true,848,P,main
97284,R_7TTdhNilUu7L21F,47,443,22,0.221700,0.15,1,2,false,1258,P,main
97284,R_7TTdhNilUu7L21F,48,331,10,0.131700,0.15,1,2,true,728,P,main
97284,R_7TTdhNilUu7L21F,49,274,12,0.043700,0.15,1,2,true,751,P,main
97284,R_7TTdhNilUu7L21F,50,33,16,-0.315300,0.15,1,2,false,1096,P,main
97284,R_7TTdhNilUu7L21F,51,152,14,-0.131700,0.15,1,2,false,595,Q,main
97284,R_7TTdhNilUu7L21F,52,120,22,-0.221700,0.15,1,2,true,829,Q,main
97284,R_7TTdhNilUu7L21F,53,498,20,0.315300,0.15,1,2,false,859,P,main
97284,R_7TTdhNilUu7L21F,54,266,10,0.043700,0.15,1,2,false,688,Q,main
97284,R_7TTdhNilUu7L21F,55,218,14,-0.043700,0.15,1,2,false,1013,Q,main
97284,R_7TTdhNilUu7L21F,56,401,12,0.221700,0.15,1,2,false,1077,Q,main
97284,R_7TTdhNilUu7L21F,57,306,20,0.043700,0.15,1,2,true,589,Q,main
97284,R_7TTdhNilUu7L21F,58,403,12,0.221700,0.15,1,2,true,452,P,main
97284,R_7TTdhNilUu7L21F,59,411,14,0.221700,0.15,1,2,true,554,P,main
97284,R_7TTdhNilUu7L21F,60,2,8,-0.315300,0.15,1,2,true,575,P,main
97284,R_7TTdhNilUu7L21F,61,275,12,0.043700,0.15,1,2,true,607,P,main
97284,R_7TTdhNilUu7L21F,62,18,12,-0.315300,0.15,1,2,true,507,P,main
97284,R_7TTdhNilUu7L21F,63,146,12,-0.131700,0.15,1,2,true,617,P,main
97284,R_7TTdhNilUu7L21F,64,11,10,-0.315300,0.15,1,2,true,873,P,main
97284,R_7TTdhNilUu7L21F,65,328,10,0.131700,0.15,1,2,true,658,P,main
97284,R_7TTdhNilUu7L21F,66,80,12,-0.221700,0.15,1,2,true,588,P,main
97284,R_7TTdhNilUu7L21F,67,187,22,-0.131700,0.15,1,2,true,1073,Q,main
97284,R_7TTdhNilUu7L21F,68,329,10,0.131700,0.15,1,2,false,473,Q,main
97284,R_7TTdhNilUu7L21F,69,307,20,0.043700,0.15,1,2,true,780,Q,main
97284,R_7TTdhNilUu7L21F,70,49,20,-0.315300,0.15,1,2,true,442,Q,main
97284,R_7TTdhNilUu7L21F,71,9,10,-0.315300,0.15,1,2,false,1076,Q,main
97284,R_7TTdhNilUu7L21F,72,128,8,-0.131700,0.15,1,2,true,675,P,main
97284,R_7TTdhNilUu7L21F,73,64,8,-0.221700,0.15,1,2,true,463,P,main
97284,R_7TTdhNilUu7L21F,74,105,18,-0.221700,0.15,1,2,false,1150,P,main
97284,R_7TTdhNilUu7L21F,75,43,18,-0.315300,0.15,1,2,false,1199,P,main
97284,R_7TTdhNilUu7L21F,76,195,8,-0.043700,0.15,1,2,true,644,P,main
97284,R_7TTdhNilUu7L21F,77,74,10,-0.221700,0.15,1,2,true,1034,P,main
97284,R_7TTdhNilUu7L21F,78,75,10,-0.221700,0.15,1,2,false,1580,Q,main
97284,R_7TTdhNilUu7L21F,79,442,22,0.221700,0.15,1,2,true,2884,Q,main
97284,R_7TTdhNilUu7L21F,80,40,18,-0.315300,0.15,1,2,true,1639,Q,main
97284,R_7TTdhNilUu7L21F,81,48,20,-0.315300,0.15,1,2,true,766,Q,main
97284,R_7TTdhNilUu7L21F,82,27,14,-0.315300,0.15,1,2,false,690,Q,main
97284,R_7TTdhNilUu7L21F,83,290,16,0.043700,0.15,1,2,true,505,Q,main
97284,R_7TTdhNilUu7L21F,84,0,8,-0.315300,0.15,1,2,true,751,P,main
97284,R_7TTdhNilUu7L21F,85,321,8,0.131700,0.15,1,2,true,987,P,main
97284,R_7TTdhNilUu7L21F,86,129,8,-0.131700,0.15,1,2,true,807,P,main
97284,R_7TTdhNilUu7L21F,87,193,8,-0.043700,0.15,1,2,false,1381,Q,main
97284,R_7TTdhNilUu7L21F,88,88,14,-0.221700,0.15,1,2,false,575,Q,main
97284,R_7TTdhNilUu7L21F,89,330,10,0.131700,0.15,1,2,false,689,Q,main
97284,R_7TTdhNilUu7L21F,90,384,8,0.221700,0.15,1,2,false,749,Q,main
97284,R_7TTdhNilUu7L21F,91,122,22,-0.221700,0.15,1,2,true,793,Q,main
97284,R_7TTdhNilUu7L21F,92,299,18,0.043700,0.15,1,2,true,646,Q,main
97284,R_7TTdhNilUu7L21F,93,41,18,-0.315300,0.15,1,2,false,673,P,main
97284,R_7TTdhNilUu7L21F,94,178,20,-0.131700,0.15,1,2,true,860,Q,main
97284,R_7TTdhNilUu7L21F,95,83,12,-0.221700,0.15,1,2,false,596,Q,main
97284,R_7TTdhNilUu7L21F,96,305,20,0.043700,0.15,1,2,true,657,Q,main
97284,R_7TTdhNilUu7L21F,97,185,22,-0.131700,0.15,1,2,true,714,Q,main
97284,R_7TTdhNilUu7L21F,98,297,18,0.043700,0.15,1,2,true,628,Q,main
97284,R_7TTdhNilUu7L21F,99,474,14,0.315300,0.15,1,2,true,867,P,main
97284,R_7TTdhNilUu7L21F,100,203,10,-0.043700,0.15,1,2,true,800,P,main
97284,R_7TTdhNilUu7L21F,101,440,22,0.221700,0.15,1,2,true,665,Q,main
97284,R_7TTdhNilUu7L21F,102,82,12,-0.221700,0.15,1,2,true,761,P,main
97284,R_7TTdhNilUu7L21F,103,419,16,0.221700,0.15,1,2,false,1069,P,main
97284,R_7TTdhNilUu7L21F,104,361,18,0.131700,0.15,1,2,false,675,P,main
97284,R_7TTdhNilUu7L21F,105,256,8,0.043700,0.15,1,2,true,753,P,main
97284,R_7TTdhNilUu7L21F,106,232,18,-0.043700,0.15,1,2,false,726,P,main
97284,R_7TTdhNilUu7L21F,107,154,14,-0.131700,0.15,1,2,false,540,Q,main
97284,R_7TTdhNilUu7L21F,108,25,14,-0.315300,0.15,1,2,true,619,P,main
97284,R_7TTdhNilUu7L21F,109,313,22,0.043700,0.15,1,2,false,681,P,main
97284,R_7TTdhNilUu7L21F,110,371,20,0.131700,0.15,1,2,true,560,Q,main
97284,R_7TTdhNilUu7L21F,111,194,8,-0.043700,0.15,1,2,false,554,Q,main
97284,R_7TTdhNilUu7L21F,112,90,14,-0.221700,0.15,1,2,false,1036,Q,main
97284,R_7TTdhNilUu7L21F,113,161,16,-0.131700,0.15,1,2,true,966,Q,main
97284,R_7TTdhNilUu7L21F,114,467,12,0.315300,0.15,1,2,true,550,P,main
97284,R_7TTdhNilUu7L21F,115,370,20,0.131700,0.15,1,2,true,1323,Q,main
97284,R_7TTdhNilUu7L21F,116,259,8,0.043700,0.15,1,2,true,785,P,main
97284,R_7TTdhNilUu7L21F,117,106,18,-0.221700,0.15,1,2,true,981,Q,main
97284,R_7TTdhNilUu7L21F,118,354,16,0.131700,0.15,1,2,false,1267,P,main
97284,R_7TTdhNilUu7L21F,119,235,18,-0.043700,0.15,1,2,true,1246,Q,main
97284,R_7TTdhNilUu7L21F,120,249,22,-0.043700,0.15,1,2,true,1035,Q,main
