sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,stimulusPairing,accuracy,reactionTime,responseKey,trialType
96351,R_7dzE5FORoYhl0pJ,1,505,22,0.315300,0.15,1,1,false,6089,P,training
96351,R_7dzE5FORoYhl0pJ,2,432,20,0.221700,0.15,1,1,true,3610,Q,training
96351,R_7dzE5FORoYhl0pJ,3,507,22,0.315300,0.15,1,1,false,3288,P,training
96351,R_7dzE5FORoYhl0pJ,4,216,14,-0.043700,0.15,1,1,false,960,Q,training
96351,R_7dzE5FORoYhl0pJ,5,288,16,0.043700,0.15,1,1,false,792,P,training
96351,R_7dzE5FORoYhl0pJ,6,1,8,-0.315300,0.15,1,1,false,759,Q,training
96351,R_7dzE5FORoYhl0pJ,7,435,20,0.221700,0.15,1,1,false,612,P,training
96351,R_7dzE5FORoYhl0pJ,8,363,18,0.131700,0.15,1,1,true,935,Q,training
96351,R_7dzE5FORoYhl0pJ,9,2,8,-0.315300,0.15,1,1,false,934,Q,training
96351,R_7dzE5FORoYhl0pJ,10,3,8,-0.315300,0.15,1,1,true,830,P,training
96351,R_7dzE5FORoYhl0pJ,11,217,14,-0.043700,0.15,1,1,false,894,Q,training
96351,R_7dzE5FORoYhl0pJ,12,146,12,-0.131700,0.15,1,1,true,1020,P,training
96351,R_7dzE5FORoYhl0pJ,13,361,18,0.131700,0.15,1,1,true,760,Q,training
96351,R_7dzE5FORoYhl0pJ,14,75,10,-0.221700,0.15,1,1,true,770,P,training
96351,R_7dzE5FORoYhl0pJ,15,434,20,0.221700,0.15,1,1,true,631,Q,training
96351,R_7dzE5FORoYhl0pJ,16,0,8,-0.315300,0.15,1,1,true,1049,P,training
96351,R_7dzE5FORoYhl0pJ,17,73,10,-0.221700,0.15,1,1,true,795,P,training
96351,R_7dzE5FORoYhl0pJ,18,145,12,-0.131700,0.15,1,1,true,591,P,training
96351,R_7dzE5FORoYhl0pJ,19,147,12,-0.131700,0.15,1,1,false,746,Q,training
96351,R_7dzE5FORoYhl0pJ,20,72,10,-0.221700,0.15,1,1,true,399,P,training
96351,R_7dzE5FORoYhl0pJ,21,290,16,0.043700,0.15,1,1,true,824,Q,training
96351,R_7dzE5FORoYhl0pJ,22,360,18,0.131700,0.15,1,1,false,418,P,training
96351,R_7dzE5FORoYhl0pJ,23,289,16,0.043700,0.15,1,1,true,580,Q,training
96351,R_7dzE5FORoYhl0pJ,24,291,16,0.043700,0.15,1,1,true,457,Q,training
96351,R_7dzE5FORoYhl0pJ,25,506,22,0.315300,0.15,1,1,true,517,Q,training
96351,R_7dzE5FORoYhl0pJ,26,362,18,0.131700,0.15,1,1,true,498,Q,training
96351,R_7dzE5FORoYhl0pJ,27,144,12,-0.131700,0.15,1,1,true,777,P,training
96351,R_7dzE5FORoYhl0pJ,28,219,14,-0.043700,0.15,1,1,true,566,P,training
96351,R_7dzE5FORoYhl0pJ,29,218,14,-0.043700,0.15,1,1,true,701,P,training
96351,R_7dzE5FORoYhl0pJ,30,74,10,-0.221700,0.15,1,1,true,596,P,training
96351,R_7dzE5FORoYhl0pJ,31,504,22,0.315300,0.15,1,1,true,892,Q,training
96351,R_7dzE5FORoYhl0pJ,32,433,20,0.221700,0.15,1,1,true,493,Q,training
96351,R_7dzE5FORoYhl0pJ,33,451,8,0.315300,0.15,1,1,false,533,Q,main
96351,R_7dzE5FORoYhl0pJ,34,243,20,-0.043700,0.15,1,1,true,919,Q,main
96351,R_7dzE5FORoYhl0pJ,35,163,16,-0.131700,0.15,1,1,false,585,P,main
96351,R_7dzE5FORoYhl0pJ,36,424,18,0.221700,0.15,1,1,false,755,P,main
96351,R_7dzE5FORoYhl0pJ,37,489,18,0.315300,0.15,1,1,true,960,Q,main
96351,R_7dzE5FORoYhl0pJ,38,441,22,0.221700,0.15,1,1,false,940,P,main
96351,R_7dzE5FORoYhl0pJ,39,466,12,0.315300,0.15,1,1,true,766,P,main
96351,R_7dzE5FORoYhl0pJ,40,323,8,0.131700,0.15,1,1,true,688,P,main
96351,R_7dzE5FORoYhl0pJ,41,427,18,0.221700,0.15,1,1,false,779,P,main
96351,R_7dzE5FORoYhl0pJ,42,272,12,0.043700,0.15,1,1,false,565,Q,main
96351,R_7dzE5FORoYhl0pJ,43,344,14,0.131700,0.15,1,1,false,601,Q,main
96351,R_7dzE5FORoYhl0pJ,44,115,20,-0.221700,0.15,1,1,true,701,Q,main
96351,R_7dzE5FORoYhl0pJ,45,27,14,-0.315300,0.15,1,1,true,781,P,main
96351,R_7dzE5FORoYhl0pJ,46,104,18,-0.221700,0.15,1,1,false,589,P,main
96351,R_7dzE5FORoYhl0pJ,47,338,12,0.131700,0.15,1,1,true,603,P,main
96351,R_7dzE5FORoYhl0pJ,48,120,22,-0.221700,0.15,1,1,true,805,Q,main
96351,R_7dzE5FORoYhl0pJ,49,137,10,-0.131700,0.15,1,1,true,371,P,main
96351,R_7dzE5FORoYhl0pJ,50,114,20,-0.221700,0.15,1,1,true,553,Q,main
96351,R_7dzE5FORoYhl0pJ,51,443,22,0.221700,0.15,1,1,false,463,P,main
96351,R_7dzE5FORoYhl0pJ,52,403,12,0.221700,0.15,1,1,true,491,P,main
96351,R_7dzE5FORoYhl0pJ,53,368,20,0.131700,0.15,1,1,true,485,Q,main
96351,R_7dzE5FORoYhl0pJ,54,232,18,-0.043700,0.15,1,1,true,577,Q,main
96351,R_7dzE5FORoYhl0pJ,55,321,8,0.131700,0.15,1,1,false,887,Q,main
96351,R_7dzE5FORoYhl0pJ,56,306,20,0.043700,0.15,1,1,false,624,P,main
96351,R_7dzE5FORoYhl0pJ,57,192,8,-0.043700,0.15,1,1,true,436,P,main
96351,R_7dzE5FORoYhl0pJ,58,82,12,-0.221700,0.15,1,1,true,523,P,main
96351,R_7dzE5FORoYhl0pJ,59,128,8,-0.131700,0.15,1,1,false,764,Q,main
96351,R_7dzE5FORoYhl0pJ,60,112,20,-0.221700,0.15,1,1,false,517,P,main
96351,R_7dzE5FORoYhl0pJ,61,160,16,-0.131700,0.15,1,1,false,571,P,main
96351,R_7dzE5FORoYhl0pJ,62,8,10,-0.315300,0.15,1,1,true,693,P,main
96351,R_7dzE5FORoYhl0pJ,63,498,20,0.315300,0.15,1,1,false,542,P,main
96351,R_7dzE5FORoYhl0pJ,64,354,16,0.131700,0.15,1,1,true,908,Q,main
96351,R_7dzE5FORoYhl0pJ,65,186,22,-0.131700,0.15,1,1,false,435,P,main
96351,R_7dzE5FORoYhl0pJ,66,184,22,-0.131700,0.15,1,1,false,505,P,main
96351,R_7dzE5FORoYhl0pJ,67,178,20,-0.131700,0.15,1,1,false,548,P,main
96351,R_7dzE5FORoYhl0pJ,68,40,18,-0.315300,0.15,1,1,false,457,P,main
96351,R_7dzE5FORoYhl0pJ,69,9,10,-0.315300,0.15,1,1,true,492,P,main
96351,R_7dzE5FORoYhl0pJ,70,105,18,-0.221700,0.15,1,1,false,632,P,main
96351,R_7dzE5FORoYhl0pJ,71,179,20,-0.131700,0.15,1,1,false,503,P,main
96351,R_7dzE5FORoYhl0pJ,72,113,20,-0.221700,0.15,1,1,false,411,P,main
96351,R_7dzE5FORoYhl0pJ,73,64,8,-0.221700,0.15,1,1,true,523,P,main
96351,R_7dzE5FORoYhl0pJ,74,465,12,0.315300,0.15,1,1,false,478,Q,main
96351,R_7dzE5FORoYhl0pJ,75,449,8,0.315300,0.15,1,1,false,462,Q,main
96351,R_7dzE5FORoYhl0pJ,76,416,16,0.221700,0.15,1,1,true,510,Q,main
96351,R_7dzE5FORoYhl0pJ,77,50,20,-0.315300,0.15,1,1,false,749,P,main
96351,R_7dzE5FORoYhl0pJ,78,96,16,-0.221700,0.15,1,1,false,461,P,main
96351,R_7dzE5FORoYhl0pJ,79,90,14,-0.221700,0.15,1,1,true,543,P,main
96351,R_7dzE5FORoYhl0pJ,80,256,8,0.043700,0.15,1,1,false,557,Q,main
96351,R_7dzE5FORoYhl0pJ,81,331,10,0.131700,0.15,1,1,true,358,P,main
96351,R_7dzE5FORoYhl0pJ,82,131,8,-0.131700,0.15,1,1,false,832,Q,main
96351,R_7dzE5FORoYhl0pJ,83,411,14,0.221700,0.15,1,1,false,361,Q,main
96351,R_7dzE5FORoYhl0pJ,84,322,8,0.131700,0.15,1,1,true,407,P,main
96351,R_7dzE5FORoYhl0pJ,85,154,14,-0.131700,0.15,1,1,false,413,Q,main
96351,R_7dzE5FORoYhl0pJ,86,161,16,-0.131700,0.15,1,1,true,528,Q,main
96351,R_7dzE5FORoYhl0pJ,87,419,16,0.221700,0.15,1,1,true,433,Q,main
96351,R_7dzE5FORoYhl0pJ,88,283,14,0.043700,0.15,1,1,false,757,Q,main
96351,R_7dzE5FORoYhl0pJ,89,266,10,0.043700,0.15,1,1,true,371,P,main
