sonaId,qualtricsResponseId,trialNumber,stimulusIndex,n,slope,noise,responseCode,stimulusPairing,accuracy,reactionTime,responseKey,trialType
96991,R_7wQ1bHqvTrhMwrn,1,291,16,0.043700,0.15,2,1,true,7524,P,training
96991,R_7wQ1bHqvTrhMwrn,2,0,8,-0.315300,0.15,2,1,false,5175,P,training
96991,R_7wQ1bHqvTrhMwrn,3,219,14,-0.043700,0.15,2,1,false,6635,P,training
96991,R_7wQ1bHqvTrhMwrn,4,505,22,0.315300,0.15,2,1,true,1325,P,training
96991,R_7wQ1bHqvTrhMwrn,5,434,20,0.221700,0.15,2,1,true,706,P,training
96991,R_7wQ1bHqvTrhMwrn,6,144,12,-0.131700,0.15,2,1,true,735,Q,training
96991,R_7wQ1bHqvTrhMwrn,7,507,22,0.315300,0.15,2,1,true,532,P,training
96991,R_7wQ1bHqvTrhMwrn,8,73,10,-0.221700,0.15,2,1,false,7757,P,training
96991,R_7wQ1bHqvTrhMwrn,9,363,18,0.131700,0.15,2,1,true,3748,P,training
96991,R_7wQ1bHqvTrhMwrn,10,289,16,0.043700,0.15,2,1,true,1013,P,training
96991,R_7wQ1bHqvTrhMwrn,11,72,10,-0.221700,0.15,2,1,true,972,Q,training
96991,R_7wQ1bHqvTrhMwrn,12,218,14,-0.043700,0.15,2,1,true,942,Q,training
96991,R_7wQ1bHqvTrhMwrn,13,435,20,0.221700,0.15,2,1,true,538,P,training
96991,R_7wQ1bHqvTrhMwrn,14,74,10,-0.221700,0.15,2,1,false,917,P,training
96991,R_7wQ1bHqvTrhMwrn,15,216,14,-0.043700,0.15,2,1,false,594,P,training
96991,R_7wQ1bHqvTrhMwrn,16,361,18,0.131700,0.15,2,1,true,690,P,training
96991,R_7wQ1bHqvTrhMwrn,17,3,8,-0.315300,0.15,2,1,true,1722,Q,training
96991,R_7wQ1bHqvTrhMwrn,18,504,22,0.315300,0.15,2,1,true,541,P,training
96991,R_7wQ1bHqvTrhMwrn,19,146,12,-0.131700,0.15,2,1,true,1011,Q,training
96991,R_7wQ1bHqvTrhMwrn,20,362,18,0.131700,0.15,2,1,true,704,P,training
96991,R_7wQ1bHqvTrhMwrn,21,145,12,-0.131700,0.15,2,1,true,860,Q,training
96991,R_7wQ1bHqvTrhMwrn,22,2,8,-0.315300,0.15,2,1,true,1257,Q,training
96991,R_7wQ1bHqvTrhMwrn,23,75,10,-0.221700,0.15,2,1,false,517,P,training
96991,R_7wQ1bHqvTrhMwrn,24,506,22,0.315300,0.15,2,1,true,499,P,training
