trialNumber,accuracy,reactionTime,responseKey,stimulusType,noise,bigBlock,trialType,isProbe,probeType,showAxes,stimSlope,stimN,stimRSquared,Cue,0.35,0.225
207,TRUE,667,A,A,0.35,2,probe,TRUE,switchSlope,FALSE,0.756912,10,0.54442,trend,0.603448276,0.74137931
210,TRUE,550,L,B,0.35,2,probe,TRUE,switchSlope,FALSE,-0.375494,24,0.089995,trend,,
214,TRUE,417,A,B,0.35,2,probe,TRUE,switchSlope,FALSE,-0.354426,24,0.113315,n,,
221,TRUE,400,L,A,0.35,2,probe,TRUE,switchSlope,FALSE,-0.104286,11,0.007155,n,,
222,TRUE,384,L,A,0.35,2,probe,TRUE,switchN,FALSE,-0.494213,24,0.177595,trend,,
225,TRUE,467,A,B,0.35,2,probe,TRUE,switchN,FALSE,0.590101,9,0.309168,trend,,
230,TRUE,534,A,A,0.35,2,probe,TRUE,switchN,FALSE,-0.124072,24,0.016993,n,,
232,TRUE,416,A,B,0.35,2,probe,TRUE,switchN,FALSE,0.541301,10,0.311183,trend,,
237,TRUE,450,A,A,0.35,2,probe,TRUE,switchSlope,FALSE,0.569737,9,0.279259,trend,,
239,TRUE,650,L,B,0.35,2,probe,TRUE,switchSlope,FALSE,-0.241651,25,0.043361,trend,,
240,TRUE,367,A,B,0.35,2,probe,TRUE,switchSlope,FALSE,-0.457065,24,0.184839,n,,
242,TRUE,584,L,A,0.35,2,probe,TRUE,switchSlope,FALSE,0.198422,8,0.049644,n,,
244,TRUE,650,A,B,0.35,2,probe,TRUE,switchN,FALSE,0.618745,10,0.304411,trend,,
246,TRUE,416,A,A,0.35,2,probe,TRUE,switchSlope,FALSE,0.631488,9,0.372448,trend,,
247,TRUE,434,L,A,0.35,2,probe,TRUE,switchN,FALSE,-0.655781,24,0.236645,trend,,
248,TRUE,767,A,B,0.35,2,probe,TRUE,switchN,FALSE,0.184043,9,0.055335,trend,,
253,TRUE,434,A,B,0.35,2,probe,TRUE,switchSlope,FALSE,-0.078724,22,0.004528,n,,
255,TRUE,633,L,B,0.35,2,probe,TRUE,switchN,FALSE,-0.606511,9,0.174088,n,,
256,TRUE,400,L,A,0.35,2,probe,TRUE,switchN,FALSE,-0.164816,22,0.030748,trend,,
257,TRUE,483,A,B,0.35,2,probe,TRUE,switchN,FALSE,0.106363,11,0.046136,trend,,
259,TRUE,733,A,A,0.35,2,probe,TRUE,switchN,FALSE,-0.208132,25,0.045232,n,,
265,TRUE,384,A,B,0.35,2,probe,TRUE,switchN,FALSE,0.028527,8,0.001636,trend,,
266,TRUE,417,A,B,0.35,2,probe,TRUE,switchSlope,FALSE,-0.21216,22,0.06154,n,,
273,TRUE,533,L,A,0.35,2,probe,TRUE,switchSlope,FALSE,0.224421,9,0.0434,n,,
274,TRUE,417,L,A,0.35,2,probe,TRUE,switchSlope,FALSE,-0.005284,8,0.000063,n,,
276,TRUE,717,L,B,0.35,2,probe,TRUE,switchSlope,FALSE,-0.632982,23,0.385607,trend,,
278,TRUE,517,A,B,0.35,2,probe,TRUE,switchN,FALSE,1.14387,8,0.884225,trend,,
285,TRUE,483,A,B,0.35,2,probe,TRUE,switchSlope,FALSE,-0.284763,22,0.058408,n,,
286,TRUE,616,A,A,0.35,2,probe,TRUE,switchSlope,FALSE,0.370255,11,0.147226,trend,,
289,TRUE,417,A,A,0.35,2,probe,TRUE,switchSlope,FALSE,0.034794,9,0.001061,trend,,
292,TRUE,316,A,B,0.35,2,probe,TRUE,switchN,FALSE,0.625973,9,0.368053,trend,,
296,TRUE,417,A,B,0.35,2,probe,TRUE,switchN,FALSE,0.516195,8,0.177926,trend,,
298,TRUE,467,A,A,0.35,2,probe,TRUE,switchN,FALSE,-0.158465,22,0.042067,n,,
299,TRUE,550,A,B,0.35,2,probe,TRUE,switchN,FALSE,0.54343,11,0.415116,trend,,
305,TRUE,433,L,B,0.35,2,probe,TRUE,switchSlope,FALSE,-0.551884,25,0.213707,trend,,
306,TRUE,517,A,A,0.35,2,probe,TRUE,switchSlope,FALSE,0.735406,9,0.462805,trend,,
308,TRUE,400,L,B,0.35,2,probe,TRUE,switchSlope,FALSE,-0.854342,25,0.404652,trend,,
311,TRUE,517,A,A,0.35,2,probe,TRUE,switchN,FALSE,-0.03004,23,0.000932,n,,
312,TRUE,500,A,B,0.35,2,probe,TRUE,switchN,FALSE,0.745,11,0.348123,trend,,
314,TRUE,383,A,A,0.35,2,probe,TRUE,switchN,FALSE,-0.069375,24,0.005545,n,,
