index,filename,path,slope,observed_slope,n,sigma,version,trend_category,size_category,dot_size_px,out_of_bounds_retries,sign_mismatch_retries,x_values,y_values
0,stim_0000.png,stim_0000.png,-0.364,-0.414515,8,0.15,0,Trend_Down,Small,11,0,0,"0.000000,0.142857,0.285714,0.428571,0.571429,0.714286,0.857143,1.000000","0.657867,0.695245,0.751253,0.533546,0.366158,0.133541,0.454548,0.407842"
1,stim_0001.png,stim_0001.png,-0.364,-0.293483,8,0.15,1,Trend_Down,Small,11,0,0,"0.000000,0.142857,0.285714,0.428571,0.571429,0.714286,0.857143,1.000000","0.517791,0.770378,0.554184,0.672000,0.343474,0.201372,0.622012,0.318790"
2,stim_0002.png,stim_0002.png,-0.364,-0.384638,8,0.15,2,Trend_Down,Small,11,0,0,"0.000000,0.142857,0.285714,0.428571,0.571429,0.714286,0.857143,1.000000","0.709582,0.618562,0.669569,0.449314,0.415709,0.518608,0.199934,0.418720"
3,stim_0003.png,stim_0003.png,-0.364,-0.361455,8,0.15,3,Trend_Down,Small,11,0,0,"0.000000,0.142857,0.285714,0.428571,0.571429,0.714286,0.857143,1.000000","0.772984,0.619360,0.374588,0.428604,0.716031,0.512900,0.280441,0.295094"
4,stim_0004.png,stim_0004.png,-0.364,-0.353554,10,0.15,0,Trend_Down,Small,11,0,0,"0.000000,0.111111,0.222222,0.333333,0.444444,0.555556,0.666667,0.777778,0.888889,1.000000","0.756788,0.507746,0.495589,0.647791,0.674421,0.484645,0.411258,0.300425,0.366665,0.354671"
5,stim_0005.png,stim_0005.png,-0.364,-0.429163,10,0.15,1,Trend_Down,Small,11,0,0,"0.000000,0.111111,0.222222,0.333333,0.444444,0.555556,0.666667,0.777778,0.888889,1.000000","0.642622,0.831557,0.533606,0.434139,0.602334,0.641992,0.471789,0.223424,0.216008,0.402528"
6,stim_0006.png,stim_0006.png,-0.364,-0.286592,10,0.15,2,Trend_Down,Small,11,0,0,"0.000000,0.111111,0.222222,0.333333,0.444444,0.555556,0.666667,0.777778,0.888889,1.000000","0.584847,0.812194,0.580474,0.527514,0.216209,0.511427,0.558259,0.525793,0.284404,0.398881"
7,stim_0007.png,stim_0007.png,-0.364,-0.182184,10,0.15,3,Trend_Down,Small,11,0,0,"0.000000,0.111111,0.222222,0.333333,0.444444,0.555556,0.666667,0.777778,0.888889,1.000000","0.699026,0.656500,0.620893,0.454155,0.232538,0.406260,0.512659,0.328470,0.572962,0.516538"
8,stim_0008.png,stim_0008.png,-0.364,-0.165713,12,0.15,0,Trend_Down,Small,11,0,0,"0.000000,0.090909,0.181818,0.272727,0.363636,0.454545,0.545455,0.636364,0.727273,0.818182,0.909091,1.000000","0.670926,0.584061,0.637625,0.375893,0.553223,0.252877,0.581522,0.557504,0.390134,0.484815,0.520233,0.391188"
9,stim_0009.png,stim_0009.png,-0.364,-0.074378,12,0.15,1,Trend_Down,Small,11,0,0,"0.000000,0.090909,0.181818,0.272727,0.363636,0.454545,0.545455,0.636364,0.727273,0.818182,0.909091,1.000000","0.352878,0.574433,0.586083,0.648732,0.581700,0.484832,0.565162,0.286089,0.422791,0.556102,0.544693,0.396506"
10,stim_0010.png,stim_0010.png,-0.364,-0.407988,12,0.15,2,Trend_Down,Small,11,0,0,"0.000000,0.090909,0.181818,0.272727,0.363636,0.454545,0.545455,0.636364,0.727273,0.818182,0.909091,1.000000","0.796195,0.657827,0.613696,0.642363,0.196547,0.726043,0.658975,0.292895,0.230265,0.537655,0.340612,0.306927"
11,stim_0011.png,stim_0011.png,-0.364,-0.518093,12,0.15,3,Trend_Down,Small,11,0,0,"0.000000,0.090909,0.181818,0.272727,0.363636,0.454545,0.545455,0.636364,0.727273,0.818182,0.909091,1.000000","0.879680,0.752282,0.628583,0.474106,0.297160,0.508925,0.645798,0.510140,0.481590,0.596253,0.045323,0.180160"
12,stim_0012.png,stim_0012.png,-0.364,-0.415496,14,0.15,0,Trend_Down,Small,11,0,0,"0.000000,0.076923,0.153846,0.230769,0.307692,0.384615,0.461538,0.538462,0.615385,0.692308,0.769231,0.846154,0.923077,1.000000","0.518503,0.568076,0.670201,0.830258,0.678561,0.706632,0.280587,0.671155,0.370166,0.500945,0.213490,0.447804,0.397115,0.146509"
13,stim_0013.png,stim_0013.png,-0.364,-0.510362,14,0.15,1,Trend_Down,Small,11,0,0,"0.000000,0.076923,0.153846,0.230769,0.307692,0.384615,0.461538,0.538462,0.615385,0.692308,0.769231,0.846154,0.923077,1.000000","0.790615,0.808959,0.703697,0.402056,0.754652,0.813487,0.284406,0.351185,0.184304,0.545114,0.422934,0.318719,0.278667,0.341203"
14,stim_0014.png,stim_0014.png,-0.364,-0.216696,14,0.15,2,Trend_Down,Small,11,0,0,"0.000000,0.076923,0.153846,0.230769,0.307692,0.384615,0.461538,0.538462,0.615385,0.692308,0.769231,0.846154,0.923077,1.000000","0.735511,0.771203,0.629514,0.566446,0.539244,0.241097,0.472066,0.213092,0.444033,0.416656,0.402505,0.513082,0.401523,0.654027"
15,stim_0015.png,stim_0015.png,-0.364,-0.445873,14,0.15,3,Trend_Down,Small,11,0,0,"0.000000,0.076923,0.153846,0.230769,0.307692,0.384615,0.461538,0.538462,0.615385,0.692308,0.769231,0.846154,0.923077,1.000000","0.974542,0.824467,0.452314,0.574776,0.295101,0.539467,0.634616,0.468595,0.187286,0.583649,0.286340,0.592305,0.476728,0.109814"
16,stim_0016.png,stim_0016.png,-0.364,-0.320202,16,0.15,0,Trend_Down,Big,11,0,0,"0.000000,0.066667,0.133333,0.200000,0.266667,0.333333,0.400000,0.466667,0.533333,0.600000,0.666667,0.733333,0.800000,0.866667,0.933333,1.000000","0.751537,0.614012,0.534109,0.598103,0.533148,0.290160,0.803297,0.507787,0.480999,0.588279,0.333588,0.534523,0.571548,0.253251,0.286003,0.319657"
17,stim_0017.png,stim_0017.png,-0.364,-0.188701,16,0.15,1,Trend_Down,Big,11,0,0,"0.000000,0.066667,0.133333,0.200000,0.266667,0.333333,0.400000,0.466667,0.533333,0.600000,0.666667,0.733333,0.800000,0.866667,0.933333,1.000000","0.729052,0.562710,0.403946,0.437337,0.579873,0.634423,0.561159,0.582008,0.335502,0.549735,0.472163,0.554976,0.393042,0.375950,0.376142,0.451980"
18,stim_0018.png,stim_0018.png,-0.364,-0.670228,16,0.15,2,Trend_Down,Big,11,0,0,"0.000000,0.066667,0.133333,0.200000,0.266667,0.333333,0.400000,0.466667,0.533333,0.600000,0.666667,0.733333,0.800000,0.866667,0.933333,1.000000","0.968994,0.880882,0.720886,0.495295,0.592015,0.737348,0.408305,0.524648,0.484665,0.669480,0.364909,0.230360,0.073803,0.352651,0.169716,0.326042"
19,stim_0019.png,stim_0019.png,-0.364,-0.474536,16,0.15,3,Trend_Down,Big,11,0,0,"0.000000,0.066667,0.133333,0.200000,0.266667,0.333333,0.400000,0.466667,0.533333,0.600000,0.666667,0.733333,0.800000,0.866667,0.933333,1.000000","0.623695,0.971741,0.689223,0.431577,0.431764,0.440169,0.771759,0.572946,0.646601,0.410743,0.442836,0.526528,0.251888,0.368702,0.173005,0.246823"
20,stim_0020.png,stim_0020.png,-0.364,-0.511922,18,0.15,0,Trend_Down,Big,11,0,0,"0.000000,0.058824,0.117647,0.176471,0.235294,0.294118,0.352941,0.411765,0.470588,0.529412,0.588235,0.647059,0.705882,0.764706,0.823529,0.882353,0.941176,1.000000","0.694740,1.070007,0.597081,0.494788,0.276747,0.721752,0.787831,0.587240,0.418662,0.467995,0.525698,0.494974,0.463572,0.415293,0.150655,0.272241,0.341449,0.219276"
21,stim_0021.png,stim_0021.png,-0.364,-0.42564,18,0.15,1,Trend_Down,Big,11,0,0,"0.000000,0.058824,0.117647,0.176471,0.235294,0.294118,0.352941,0.411765,0.470588,0.529412,0.588235,0.647059,0.705882,0.764706,0.823529,0.882353,0.941176,1.000000","0.696953,0.801856,0.670914,0.559372,0.501489,0.542137,0.633280,0.622854,0.481703,0.460024,0.522704,0.374596,0.498267,0.331817,0.282205,0.483938,0.283187,0.252704"
22,stim_0022.png,stim_0022.png,-0.364,-0.236594,18,0.15,2,Trend_Down,Big,11,0,0,"0.000000,0.058824,0.117647,0.176471,0.235294,0.294118,0.352941,0.411765,0.470588,0.529412,0.588235,0.647059,0.705882,0.764706,0.823529,0.882353,0.941176,1.000000","0.652463,0.568331,0.649459,0.694722,0.644852,0.480110,0.363693,0.608760,0.593636,0.243291,0.420659,0.387298,0.410276,0.557149,0.426671,0.362176,0.515336,0.421117"
