index,filename,path,slope,observed_slope,n,sigma,version,trend_category,size_category,dot_size_px,out_of_bounds_retries,sign_mismatch_retries,stimulus_type,x_values,y_values
0,train_0000.png,training/train_0000.png,-0.364,-0.184452,8,0.15,0,Trend_Down,Small,11,0,0,training,"0.000000,0.142857,0.285714,0.428571,0.571429,0.714286,0.857143,1.000000","0.666773,0.410173,0.556268,0.432251,0.599294,0.696316,0.277397,0.361526"
1,train_0001.png,training/train_0001.png,-0.364,-0.168669,10,0.15,0,Trend_Down,Small,11,0,0,training,"0.000000,0.111111,0.222222,0.333333,0.444444,0.555556,0.666667,0.777778,0.888889,1.000000","0.419987,0.618270,0.545410,0.627599,0.604571,0.558426,0.423059,0.322952,0.564985,0.314741"
2,train_0002.png,training/train_0002.png,-0.364,-0.247746,12,0.15,0,Trend_Down,Small,11,0,0,training,"0.000000,0.090909,0.181818,0.272727,0.363636,0.454545,0.545455,0.636364,0.727273,0.818182,0.909091,1.000000","0.582645,0.394002,0.803716,0.489120,0.765225,0.399829,0.412434,0.547712,0.571020,0.312920,0.377708,0.343668"
3,train_0003.png,training/train_0003.png,-0.364,-0.383576,14,0.15,0,Trend_Down,Small,11,0,0,training,"0.000000,0.076923,0.153846,0.230769,0.307692,0.384615,0.461538,0.538462,0.615385,0.692308,0.769231,0.846154,0.923077,1.000000","0.691158,0.794571,0.681865,0.574207,0.329913,0.534501,0.598546,0.459512,0.499717,0.449772,0.418336,0.325733,0.053828,0.588341"
4,train_0004.png,training/train_0004.png,-0.364,-0.279362,16,0.15,0,Trend_Down,Big,11,0,0,training,"0.000000,0.066667,0.133333,0.200000,0.266667,0.333333,0.400000,0.466667,0.533333,0.600000,0.666667,0.733333,0.800000,0.866667,0.933333,1.000000","0.333699,0.821358,0.776741,0.631360,0.468676,0.633167,0.561046,0.506014,0.402557,0.431425,0.366914,0.428863,0.365834,0.524673,0.465786,0.281886"
5,train_0005.png,training/train_0005.png,-0.364,-0.407186,18,0.15,0,Trend_Down,Big,11,0,0,training,"0.000000,0.058824,0.117647,0.176471,0.235294,0.294118,0.352941,0.411765,0.470588,0.529412,0.588235,0.647059,0.705882,0.764706,0.823529,0.882353,0.941176,1.000000","0.893557,0.478103,0.677144,0.371190,0.793572,0.476854,0.556407,0.532666,0.691363,0.597136,0.489725,0.551990,0.241412,0.414990,0.197755,0.517942,0.189518,0.328678"
6,train_0006.png,training/train_0006.png,-0.364,-0.326452,20,0.15,0,Trend_Down,Big,11,0,0,training,"0.000000,0.052632,0.105263,0.157895,0.210526,0.263158,0.315789,0.368421,0.421053,0.473684,0.526316,0.578947,0.631579,0.684211,0.736842,0.789474,0.842105,0.894737,0.947368,1.000000","0.799470,0.692349,0.659948,0.565119,0.645795,0.272691,0.568971,0.358979,0.491910,0.497276,0.540200,0.662338,0.640163,0.536347,0.263728,0.460378,0.313136,0.310434,0.339673,0.381095"
7,train_0007.png,training/train_0007.png,-0.364,-0.249529,22,0.15,0,Trend_Down,Big,11,0,0,training,"0.000000,0.047619,0.095238,0.142857,0.190476,0.238095,0.285714,0.333333,0.380952,0.428571,0.476190,0.523810,0.571429,0.619048,0.666667,0.714286,0.761905,0.809524,0.857143,0.904762,0.952381,1.000000","0.415867,0.512718,0.637024,0.754669,0.519047,0.452015,0.661747,0.684289,0.768381,0.703956,0.484500,0.373759,0.397918,0.304211,0.383081,0.381124,0.474587,0.579901,0.482363,0.404606,0.348832,0.275404"
8,train_0008.png,training/train_0008.png,-0.2679,-0.064163,8,0.15,0,Trend_Down,Small,11,0,0,training,"0.000000,0.142857,0.285714,0.428571,0.571429,0.714286,0.857143,1.000000","0.663950,0.512927,0.252794,0.398371,0.778593,0.503377,0.459778,0.430210"
9,train_0009.png,training/train_0009.png,-0.2679,-0.169387,10,0.15,0,Trend_Down,Small,11,0,0,training,"0.000000,0.111111,0.222222,0.333333,0.444444,0.555556,0.666667,0.777778,0.888889,1.000000","0.488648,0.509815,0.616928,0.478256,0.415678,0.662263,0.747072,0.571146,0.277375,0.232818"
10,train_0010.png,training/train_0010.png,-0.2679,-0.034121,12,0.15,0,Trend_Down,Small,11,0,0,training,"0.000000,0.090909,0.181818,0.272727,0.363636,0.454545,0.545455,0.636364,0.727273,0.818182,0.909091,1.000000","0.608191,0.711022,0.407222,0.257743,0.459108,0.699283,0.504537,0.243277,0.332758,0.785559,0.441668,0.549632"
11,train_0011.png,training/train_0011.png,-0.2679,-0.100988,14,0.15,0,Trend_Down,Small,11,0,0,training,"0.000000,0.076923,0.153846,0.230769,0.307692,0.384615,0.461538,0.538462,0.615385,0.692308,0.769231,0.846154,0.923077,1.000000","0.369722,0.526392,0.592893,0.869938,0.532895,0.584427,0.320528,0.405125,0.442835,0.239335,0.588737,0.651827,0.535691,0.339655"
12,train_0012.png,training/train_0012.png,-0.2679,-0.126852,16,0.15,0,Trend_Down,Big,11,0,0,training,"0.000000,0.066667,0.133333,0.200000,0.266667,0.333333,0.400000,0.466667,0.533333,0.600000,0.666667,0.733333,0.800000,0.866667,0.933333,1.000000","0.631474,0.350389,0.767521,0.774612,0.268982,0.432989,0.623797,0.509947,0.503991,0.365243,0.356523,0.525400,0.410743,0.457387,0.491576,0.529425"
13,train_0013.png,training/train_0013.png,-0.2679,-0.31579,18,0.15,0,Trend_Down,Big,11,0,0,training,"0.000000,0.058824,0.117647,0.176471,0.235294,0.294118,0.352941,0.411765,0.470588,0.529412,0.588235,0.647059,0.705882,0.764706,0.823529,0.882353,0.941176,1.000000","0.369140,0.419229,0.780876,0.855906,0.722812,0.552857,0.724709,0.453953,0.660891,0.331699,0.306789,0.712202,0.371182,0.422031,0.141520,0.507202,0.273638,0.393364"
14,train_0014.png,training/train_0014.png,-0.2679,-0.194307,20,0.15,0,Trend_Down,Big,11,0,0,training,"0.000000,0.052632,0.105263,0.157895,0.210526,0.263158,0.315789,0.368421,0.421053,0.473684,0.526316,0.578947,0.631579,0.684211,0.736842,0.789474,0.842105,0.894737,0.947368,1.000000","0.608549,0.522050,0.538252,0.641006,0.854425,0.300299,0.514864,0.549671,0.583032,0.537577,0.444671,0.500854,0.369284,0.410417,0.426167,0.246153,0.517045,0.513357,0.586418,0.335908"
15,train_0015.png,training/train_0015.png,-0.2679,-0.192078,22,0.15,0,Trend_Down,Big,11,0,0,training,"0.000000,0.047619,0.095238,0.142857,0.190476,0.238095,0.285714,0.333333,0.380952,0.428571,0.476190,0.523810,0.571429,0.619048,0.666667,0.714286,0.761905,0.809524,0.857143,0.904762,0.952381,1.000000","0.732143,0.462717,0.887394,0.437861,0.587382,0.305527,0.435397,0.314100,0.523430,0.661863,0.455455,0.553030,0.421457,0.748188,0.443704,0.675341,0.300597,0.489721,0.447489,0.464818,0.467887,0.184500"
16,train_0016.png,training/train_0016.png,-0.1763,-0.204033,8,0.15,0,Trend_Down,Small,11,0,0,training,"0.000000,0.142857,0.285714,0.428571,0.571429,0.714286,0.857143,1.000000","0.576830,0.526804,0.344437,0.821689,0.678131,0.402097,0.178034,0.471978"
17,train_0017.png,training/train_0017.png,-0.1763,-0.101638,10,0.15,0,Trend_Down,Small,11,0,0,training,"0.000000,0.111111,0.222222,0.333333,0.444444,0.555556,0.666667,0.777778,0.888889,1.000000","0.590660,0.602467,0.451044,0.570396,0.438009,0.373489,0.478757,0.501400,0.593244,0.400534"
18,train_0018.png,training/train_0018.png,-0.1763,-0.44956,12,0.15,0,Trend_Down,Small,11,0,0,training,"0.000000,0.090909,0.181818,0.272727,0.363636,0.454545,0.545455,0.636364,0.727273,0.818182,0.909091,1.000000","0.544084,0.780955,0.624096,0.667740,0.772330,0.490934,0.345259,0.482715,0.235037,0.546498,0.283845,0.226507"
19,train_0019.png,training/train_0019.png,-0.1763,-0.315824,14,0.15,0,Trend_Down,Small,11,0,1,training,"0.000000,0.076923,0.153846,0.230769,0.307692,0.384615,0.461538,0.538462,0.615385,0.692308,0.769231,0.846154,0.923077,1.000000","0.604312,0.687311,0.557571,0.421976,0.564343,0.627523,0.670799,0.470454,0.583127,0.405754,0.442637,0.392446,0.301046,0.270701"
20,train_0020.png,training/train_0020.png,-0.1763,-0.202531,16,0.15,0,Trend_Down,Big,11,0,0,training,"0.000000,0.066667,0.133333,0.200000,0.266667,0.333333,0.400000,0.466667,0.533333,0.600000,0.666667,0.733333,0.800000,0.866667,0.933333,1.000000","0.728445,0.511758,0.663999,0.510987,0.639664,0.497625,0.358020,0.360747,0.389523,0.405653,0.571595,0.706307,0.578947,0.255517,0.523222,0.297991"
21,train_0021.png,training/train_0021.png,-0.1763,-0.199793,18,0.15,0,Trend_Down,Big,11,0,0,training,"0.000000,0.058824,0.117647,0.176471,0.235294,0.294118,0.352941,0.411765,0.470588,0.529412,0.588235,0.647059,0.705882,0.764706,0.823529,0.882353,0.941176,1.000000","0.597490,0.658811,0.591229,0.704555,0.286115,0.384364,0.465879,0.762675,0.575682,0.355690,0.298067,0.630549,0.749906,0.413830,0.413414,0.353887,0.431053,0.326806"
22,train_0022.png,training/train_0022.png,-0.1763,-0.279295,20,0.15,0,Trend_Down,Big,11,0,0,training,"0.000000,0.052632,0.105263,0.157895,0.210526,0.263158,0.315789,0.368421,0.421053,0.473684,0.526316,0.578947,0.631579,0.684211,0.736842,0.789474,0.842105,0.894737,0.947368,1.000000","0.537851,0.436235,0.618039,0.727313,0.459781,0.602618,0.687300,0.705277,0.909943,0.466807,0.497331,0.248466,0.397638,0.445728,0.287329,0.306438,0.455258,0.425042,0.351418,0.434188"
23,train_0023.png,training/train_0023.png,-0.1763,-0.129194,22,0.15,0,Trend_Down,Big,11,0,0,training,"0.000000,0.047619,0.095238,0.142857,0.190476,0.238095,0.285714,0.333333,0.380952,0.428571,0.476190,0.523810,0.571429,0.619048,0.666667,0.714286,0.761905,0.809524,0.857143,0.904762,0.952381,1.000000","0.851976,0.331697,0.564811,0.512031,0.601361,0.670773,0.466710,0.317218,0.346807,0.382395,0.482983,0.401491,0.760021,0.716714,0.390418,0.339706,0.462296,0.708626,0.561046,0.589559,0.298802,0.242558"
24,train_0024.png,training/train_0024.png,-0.0875,-0.142121,8,0.15,0,Trend_Down,Small,11,0,0,training,"0.000000,0.142857,0.285714,0.428571,0.571429,0.714286,0.857143,1.000000","0.603930,0.756273,0.405422,0.548490,0.353247,0.234967,0.336828,0.760843"
25,train_0025.png,training/train_0025.png,-0.0875,-0.054174,10,0.15,0,Trend_Down,Small,11,0,0,training,"0.000000,0.111111,0.222222,0.333333,0.444444,0.555556,0.666667,0.777778,0.888889,1.000000","0.517691,0.415905,0.585641,0.543620,0.395032,0.498683,0.586868,0.623847,0.670736,0.161977"
26,train_0026.png,training/train_0026.png,-0.0875,-0.271059,12,0.15,0,Trend_Down,Small,11,0,0,training,"0.000000,0.090909,0.181818,0.272727,0.363636,0.454545,0.545455,0.636364,0.727273,0.818182,0.909091,1.000000","0.739623,0.393012,0.591230,0.558184,0.590705,0.441260,0.504541,0.540091,0.795280,0.356664,0.106517,0.382893"
27,train_0027.png,training/train_0027.png,-0.0875,-0.161451,14,0.15,0,Trend_Down,Small,11,0,0,training,"0.000000,0.076923,0.153846,0.230769,0.307692,0.384615,0.461538,0.538462,0.615385,0.692308,0.769231,0.846154,0.923077,1.000000","0.535647,0.450217,0.497918,0.760137,0.589876,0.508697,0.192084,0.792451,0.405465,0.621445,0.617933,0.252177,0.531892,0.244061"
28,train_0028.png,training/train_0028.png,-0.0875,-0.076225,16,0.15,0,Trend_Down,Big,11,0,0,training,"0.000000,0.066667,0.133333,0.200000,0.266667,0.333333,0.400000,0.466667,0.533333,0.600000,0.666667,0.733333,0.800000,0.866667,0.933333,1.000000","0.571515,0.474614,0.400418,0.594234,0.781388,0.412194,0.254716,0.548071,0.492412,0.371524,0.779295,0.541732,0.418463,0.708768,0.367625,0.283032"
