index,filename,path,slope_param,observed_slope,n,sigma,x_values,y_values
0,neutral_0000.png,neutral/neutral_0000.png,0,0.04543,15,0.2,"0.000000,0.071429,0.142857,0.214286,0.285714,0.357143,0.428571,0.500000,0.571429,0.642857,0.714286,0.785714,0.857143,0.928571,1.000000","0.256993,0.411055,0.369247,0.665382,0.549123,0.468996,0.553725,0.967137,0.490632,0.762752,0.313333,0.388862,0.137950,0.534303,0.630512"
1,neutral_0001.png,neutral/neutral_0001.png,0,0.208437,15,0.2,"0.000000,0.071429,0.142857,0.214286,0.285714,0.357143,0.428571,0.500000,0.571429,0.642857,0.714286,0.785714,0.857143,0.928571,1.000000","0.277549,0.434224,0.689323,0.162191,0.665947,0.415804,0.326610,0.697306,0.467303,0.579865,0.364932,0.798862,0.465783,0.357927,0.796374"
2,neutral_0002.png,neutral/neutral_0002.png,0,0.019928,15,0.2,"0.000000,0.071429,0.142857,0.214286,0.285714,0.357143,0.428571,0.500000,0.571429,0.642857,0.714286,0.785714,0.857143,0.928571,1.000000","0.536013,0.356399,0.435046,0.282387,0.523785,0.695413,0.514927,0.517380,0.615639,0.511983,0.808989,0.592545,0.342562,0.447163,0.319770"
3,neutral_0003.png,neutral/neutral_0003.png,0,-0.264603,15,0.2,"0.000000,0.071429,0.142857,0.214286,0.285714,0.357143,0.428571,0.500000,0.571429,0.642857,0.714286,0.785714,0.857143,0.928571,1.000000","0.635573,0.534096,0.581469,0.503920,0.626014,0.673052,0.733963,0.672381,0.293577,0.448394,0.245028,0.268004,0.178776,0.388951,0.716801"
4,neutral_0004.png,neutral/neutral_0004.png,0,0.221799,15,0.2,"0.000000,0.071429,0.142857,0.214286,0.285714,0.357143,0.428571,0.500000,0.571429,0.642857,0.714286,0.785714,0.857143,0.928571,1.000000","0.266360,0.302241,0.508091,0.383329,0.744448,0.545510,0.650571,0.516750,0.474350,0.214123,0.488835,0.651013,0.278166,0.534829,0.941385"
5,neutral_0005.png,neutral/neutral_0005.png,0,0.061494,15,0.2,"0.000000,0.071429,0.142857,0.214286,0.285714,0.357143,0.428571,0.500000,0.571429,0.642857,0.714286,0.785714,0.857143,0.928571,1.000000","0.693553,0.372836,0.286706,0.465018,0.559516,0.433316,0.493063,0.434367,0.362214,0.840997,0.474582,0.538293,0.674431,0.437450,0.433661"
6,neutral_0006.png,neutral/neutral_0006.png,0,-0.117771,15,0.2,"0.000000,0.071429,0.142857,0.214286,0.285714,0.357143,0.428571,0.500000,0.571429,0.642857,0.714286,0.785714,0.857143,0.928571,1.000000","0.677619,0.819623,0.318230,0.604316,0.410044,0.130908,0.404158,0.610984,0.963374,0.208363,0.564445,0.448521,0.340280,0.352669,0.646464"
7,neutral_0007.png,neutral/neutral_0007.png,0,-0.036652,15,0.2,"0.000000,0.071429,0.142857,0.214286,0.285714,0.357143,0.428571,0.500000,0.571429,0.642857,0.714286,0.785714,0.857143,0.928571,1.000000","0.742198,0.374509,0.571690,0.959899,0.141044,0.306038,0.065327,0.871652,0.251961,0.742525,0.457611,0.404686,0.479458,0.537722,0.593679"
8,neutral_0008.png,neutral/neutral_0008.png,0,-0.019544,15,0.2,"0.000000,0.071429,0.142857,0.214286,0.285714,0.357143,0.428571,0.500000,0.571429,0.642857,0.714286,0.785714,0.857143,0.928571,1.000000","0.570894,0.251671,0.706966,0.590089,0.522630,0.396561,0.486890,0.904054,0.395105,0.217327,0.136679,0.412685,0.995351,0.400499,0.512600"
9,neutral_0009.png,neutral/neutral_0009.png,0,-0.276439,15,0.2,"0.000000,0.071429,0.142857,0.214286,0.285714,0.357143,0.428571,0.500000,0.571429,0.642857,0.714286,0.785714,0.857143,0.928571,1.000000","0.535711,0.880865,0.333519,0.311899,0.808342,0.704502,0.314476,0.883808,0.615422,0.438887,0.243135,0.321943,0.194756,0.303236,0.609501"
10,neutral_0010.png,neutral/neutral_0010.png,0,-0.01304,15,0.2,"0.000000,0.071429,0.142857,0.214286,0.285714,0.357143,0.428571,0.500000,0.571429,0.642857,0.714286,0.785714,0.857143,0.928571,1.000000","0.525218,0.548662,0.563646,0.513677,0.478360,0.333494,0.535978,0.551535,0.231934,0.509340,0.541426,1.010200,0.243014,0.306705,0.606811"
11,neutral_0011.png,neutral/neutral_0011.png,0,0.089747,15,0.2,"0.000000,0.071429,0.142857,0.214286,0.285714,0.357143,0.428571,0.500000,0.571429,0.642857,0.714286,0.785714,0.857143,0.928571,1.000000","0.249071,0.621576,0.289537,0.300931,0.709950,0.554340,0.500069,0.604931,0.491886,0.737685,0.564726,0.424136,0.729602,0.399008,0.322550"
12,neutral_0012.png,neutral/neutral_0012.png,0,-0.076126,15,0.2,"0.000000,0.071429,0.142857,0.214286,0.285714,0.357143,0.428571,0.500000,0.571429,0.642857,0.714286,0.785714,0.857143,0.928571,1.000000","0.622003,0.571317,0.795878,-0.086352,0.645008,0.593336,0.495437,0.424979,0.416635,0.376162,0.784871,0.439303,0.606031,0.508164,0.307228"
