index,filename,path,slope,observed_slope,residual_variance,n,sigma,version,trend_category,size_category,dot_size_px,out_of_bounds_retries,sign_mismatch_retries,range_reject_retries,x_values,y_values
0,stim_0000.png,stim_0000.png,-0.3153,-0.317117,0.020836,8,0.15,0,Trend_Down,Small,11,0,0,15,"0.000000,0.142857,0.285714,0.428571,0.571429,0.714286,0.857143,1.000000","0.547166,0.689094,0.688376,0.659989,0.151162,0.516518,0.369621,0.378075"
1,stim_0001.png,stim_0001.png,-0.3153,-0.300709,0.027941,8,0.15,1,Trend_Down,Small,11,0,0,10,"0.000000,0.142857,0.285714,0.428571,0.571429,0.714286,0.857143,1.000000","0.759463,0.611565,0.268522,0.662102,0.471081,0.630617,0.153130,0.443520"
2,stim_0002.png,stim_0002.png,-0.3153,-0.304015,0.021773,8,0.15,2,Trend_Down,Small,11,0,1,35,"0.000000,0.142857,0.285714,0.428571,0.571429,0.714286,0.857143,1.000000","0.558910,0.668539,0.540277,0.510950,0.672989,0.253209,0.629912,0.165213"
3,stim_0003.png,stim_0003.png,-0.3153,-0.310285,0.020009,8,0.15,3,Trend_Down,Small,11,0,0,8,"0.000000,0.142857,0.285714,0.428571,0.571429,0.714286,0.857143,1.000000","0.526456,0.600886,0.741877,0.377762,0.609159,0.644136,0.235021,0.264704"
4,stim_0004.png,stim_0004.png,-0.3153,-0.303328,0.026606,8,0.15,4,Trend_Down,Small,11,0,0,3,"0.000000,0.142857,0.285714,0.428571,0.571429,0.714286,0.857143,1.000000","0.684212,0.490468,0.538389,0.702719,0.430583,0.290688,0.711732,0.151209"
5,stim_0005.png,stim_0005.png,-0.3153,-0.323906,0.011628,8,0.15,5,Trend_Down,Small,11,0,2,26,"0.000000,0.142857,0.285714,0.428571,0.571429,0.714286,0.857143,1.000000","0.584506,0.818969,0.448632,0.468889,0.517305,0.506464,0.254521,0.400714"
6,stim_0006.png,stim_0006.png,-0.3153,-0.312689,0.011765,8,0.15,6,Trend_Down,Small,11,0,1,12,"0.000000,0.142857,0.285714,0.428571,0.571429,0.714286,0.857143,1.000000","0.832716,0.581756,0.403540,0.438835,0.406145,0.584944,0.395224,0.356840"
7,stim_0007.png,stim_0007.png,-0.3153,-0.314929,0.030311,8,0.15,7,Trend_Down,Small,11,0,1,14,"0.000000,0.142857,0.285714,0.428571,0.571429,0.714286,0.857143,1.000000","0.520404,0.510212,0.886712,0.542166,0.601632,0.321662,0.135028,0.482184"
8,stim_0008.png,stim_0008.png,-0.3153,-0.318504,0.017275,10,0.15,0,Trend_Down,Small,11,0,2,16,"0.000000,0.111111,0.222222,0.333333,0.444444,0.555556,0.666667,0.777778,0.888889,1.000000","0.719023,0.696619,0.439207,0.525715,0.410780,0.560314,0.651954,0.382435,0.130828,0.483124"
9,stim_0009.png,stim_0009.png,-0.3153,-0.326525,0.015847,10,0.15,1,Trend_Down,Small,11,0,0,2,"0.000000,0.111111,0.222222,0.333333,0.444444,0.555556,0.666667,0.777778,0.888889,1.000000","0.695601,0.742840,0.625326,0.488155,0.240437,0.482759,0.488781,0.579200,0.225835,0.431066"
10,stim_0010.png,stim_0010.png,-0.3153,-0.321088,0.013528,10,0.15,2,Trend_Down,Small,11,0,0,3,"0.000000,0.111111,0.222222,0.333333,0.444444,0.555556,0.666667,0.777778,0.888889,1.000000","0.439389,0.742070,0.793987,0.560440,0.395946,0.517195,0.470474,0.359049,0.453667,0.267783"
11,stim_0011.png,stim_0011.png,-0.3153,-0.304979,0.021474,10,0.15,3,Trend_Down,Small,11,0,0,1,"0.000000,0.111111,0.222222,0.333333,0.444444,0.555556,0.666667,0.777778,0.888889,1.000000","0.597447,0.777291,0.780053,0.418221,0.353350,0.489473,0.212133,0.387764,0.594018,0.390249"
12,stim_0012.png,stim_0012.png,-0.3153,-0.325436,0.012831,10,0.15,4,Trend_Down,Small,11,0,0,5,"0.000000,0.111111,0.222222,0.333333,0.444444,0.555556,0.666667,0.777778,0.888889,1.000000","0.623933,0.751684,0.603398,0.451140,0.502521,0.271544,0.657308,0.474602,0.403751,0.260117"
13,stim_0013.png,stim_0013.png,-0.3153,-0.296722,0.029718,10,0.15,5,Trend_Down,Small,11,0,0,15,"0.000000,0.111111,0.222222,0.333333,0.444444,0.555556,0.666667,0.777778,0.888889,1.000000","0.589241,0.552877,0.378638,0.654304,0.872706,0.521581,0.329466,0.469844,0.539535,0.091807"
14,stim_0014.png,stim_0014.png,-0.3153,-0.317203,0.021551,10,0.15,6,Trend_Down,Small,11,0,0,9,"0.000000,0.111111,0.222222,0.333333,0.444444,0.555556,0.666667,0.777778,0.888889,1.000000","0.860886,0.573192,0.390657,0.683991,0.553199,0.212077,0.345759,0.546125,0.491807,0.342307"
15,stim_0015.png,stim_0015.png,-0.3153,-0.297466,0.025081,10,0.15,7,Trend_Down,Small,11,0,0,0,"0.000000,0.111111,0.222222,0.333333,0.444444,0.555556,0.666667,0.777778,0.888889,1.000000","0.884464,0.288285,0.688055,0.486417,0.503866,0.499197,0.389204,0.644237,0.253232,0.363043"
16,stim_0016.png,stim_0016.png,-0.3153,-0.333918,0.018789,12,0.15,0,Trend_Down,Small,11,0,0,11,"0.000000,0.090909,0.181818,0.272727,0.363636,0.454545,0.545455,0.636364,0.727273,0.818182,0.909091,1.000000","0.728404,0.741747,0.566305,0.443804,0.499244,0.395099,0.579850,0.291794,0.582251,0.688691,0.207985,0.274828"
17,stim_0017.png,stim_0017.png,-0.3153,-0.330366,0.016232,12,0.15,1,Trend_Down,Small,11,0,0,6,"0.000000,0.090909,0.181818,0.272727,0.363636,0.454545,0.545455,0.636364,0.727273,0.818182,0.909091,1.000000","0.696746,0.539555,0.406164,0.574353,0.824456,0.700123,0.373910,0.460629,0.440766,0.277219,0.423966,0.282113"
18,stim_0018.png,stim_0018.png,-0.3153,-0.302525,0.020913,12,0.15,2,Trend_Down,Small,11,0,0,11,"0.000000,0.090909,0.181818,0.272727,0.363636,0.454545,0.545455,0.636364,0.727273,0.818182,0.909091,1.000000","0.918731,0.462682,0.625536,0.547523,0.421658,0.361200,0.539259,0.267362,0.626036,0.445845,0.535613,0.248555"
19,stim_0019.png,stim_0019.png,-0.3153,-0.315678,0.016194,12,0.15,3,Trend_Down,Small,11,0,0,0,"0.000000,0.090909,0.181818,0.272727,0.363636,0.454545,0.545455,0.636364,0.727273,0.818182,0.909091,1.000000","0.586490,0.925244,0.427719,0.594250,0.604179,0.321122,0.547766,0.441895,0.309907,0.413824,0.376739,0.450864"
20,stim_0020.png,stim_0020.png,-0.3153,-0.33336,0.011133,12,0.15,4,Trend_Down,Small,11,0,0,1,"0.000000,0.090909,0.181818,0.272727,0.363636,0.454545,0.545455,0.636364,0.727273,0.818182,0.909091,1.000000","0.666131,0.752576,0.619359,0.354577,0.511266,0.421540,0.620158,0.586352,0.507812,0.381148,0.229600,0.349481"
21,stim_0021.png,stim_0021.png,-0.3153,-0.30504,0.019094,12,0.15,5,Trend_Down,Small,11,0,0,10,"0.000000,0.090909,0.181818,0.272727,0.363636,0.454545,0.545455,0.636364,0.727273,0.818182,0.909091,1.000000","0.846308,0.499661,0.587364,0.474849,0.664691,0.474148,0.499028,0.418409,0.138435,0.434275,0.624098,0.338734"
22,stim_0022.png,stim_0022.png,-0.3153,-0.324305,0.021365,12,0.15,6,Trend_Down,Small,11,0,0,9,"0.000000,0.090909,0.181818,0.272727,0.363636,0.454545,0.545455,0.636364,0.727273,0.818182,0.909091,1.000000","0.625111,0.718683,0.634710,0.596097,0.817680,0.292417,0.391561,0.178492,0.463566,0.333132,0.464755,0.483796"
23,stim_0023.png,stim_0023.png,-0.3153,-0.313861,0.024557,12,0.15,7,Trend_Down,Small,11,0,0,0,"0.000000,0.090909,0.181818,0.272727,0.363636,0.454545,0.545455,0.636364,0.727273,0.818182,0.909091,1.000000","0.881654,0.695702,0.444680,0.458271,0.533280,0.141896,0.610056,0.573480,0.502782,0.404322,0.511177,0.242701"
24,stim_0024.png,stim_0024.png,-0.3153,-0.319432,0.01621,14,0.15,0,Trend_Down,Small,11,0,0,2,"0.000000,0.076923,0.153846,0.230769,0.307692,0.384615,0.461538,0.538462,0.615385,0.692308,0.769231,0.846154,0.923077,1.000000","0.660211,0.445413,0.584221,0.853399,0.655524,0.414787,0.534190,0.621567,0.368739,0.394050,0.340252,0.444793,0.184962,0.497893"
25,stim_0025.png,stim_0025.png,-0.3153,-0.318401,0.01433,14,0.15,1,Trend_Down,Small,11,0,0,3,"0.000000,0.076923,0.153846,0.230769,0.307692,0.384615,0.461538,0.538462,0.615385,0.692308,0.769231,0.846154,0.923077,1.000000","0.819177,0.509270,0.571604,0.750317,0.595351,0.422867,0.302678,0.607450,0.351996,0.523723,0.271964,0.424598,0.496168,0.352837"
26,stim_0026.png,stim_0026.png,-0.3153,-0.320171,0.016075,14,0.15,2,Trend_Down,Small,11,0,0,8,"0.000000,0.076923,0.153846,0.230769,0.307692,0.384615,0.461538,0.538462,0.615385,0.692308,0.769231,0.846154,0.923077,1.000000","0.726720,0.376203,0.609329,0.780657,0.616820,0.603493,0.469633,0.342211,0.514018,0.571147,0.322984,0.463013,0.162323,0.441448"
27,stim_0027.png,stim_0027.png,-0.3153,-0.328673,0.016651,14,0.15,3,Trend_Down,Small,11,0,0,5,"0.000000,0.076923,0.153846,0.230769,0.307692,0.384615,0.461538,0.538462,0.615385,0.692308,0.769231,0.846154,0.923077,1.000000","0.756857,0.647393,0.522289,0.810106,0.350192,0.613337,0.440006,0.292040,0.532584,0.565389,0.213958,0.445681,0.449258,0.360909"
