index,filename,path,slope_param,observed_slope,residual_variance,n,sigma,dot_size_px,out_of_bounds_retries,x_values,y_values
0,neutral_0000.png,neutral/neutral_0000.png,0,0.022303,0.015159,15,0.15,11,0,"0.000000,0.071429,0.142857,0.214286,0.285714,0.357143,0.428571,0.500000,0.571429,0.642857,0.714286,0.785714,0.857143,0.928571,1.000000","0.485713,0.592249,0.329932,0.570483,0.270907,0.532929,0.576695,0.510042,0.763818,0.568233,0.453717,0.416212,0.335829,0.471686,0.621553"
1,neutral_0001.png,neutral/neutral_0001.png,0,0.056997,0.026381,15,0.15,11,0,"0.000000,0.071429,0.142857,0.214286,0.285714,0.357143,0.428571,0.500000,0.571429,0.642857,0.714286,0.785714,0.857143,0.928571,1.000000","0.390150,0.334637,0.567651,0.675292,0.604353,0.393435,0.570641,0.282667,0.723573,0.378463,0.677089,0.216675,0.413984,0.759291,0.512098"
2,neutral_0002.png,neutral/neutral_0002.png,0,0.038395,0.021005,15,0.15,11,0,"0.000000,0.071429,0.142857,0.214286,0.285714,0.357143,0.428571,0.500000,0.571429,0.642857,0.714286,0.785714,0.857143,0.928571,1.000000","0.717958,0.415025,0.286013,0.492172,0.357476,0.304296,0.445192,0.703433,0.584197,0.635751,0.652646,0.673390,0.424423,0.476773,0.331254"
3,neutral_0003.png,neutral/neutral_0003.png,0,-0.185937,0.014152,15,0.15,11,0,"0.000000,0.071429,0.142857,0.214286,0.285714,0.357143,0.428571,0.500000,0.571429,0.642857,0.714286,0.785714,0.857143,0.928571,1.000000","0.580075,0.482364,0.596975,0.682385,0.595344,0.607606,0.561702,0.241876,0.491484,0.438851,0.374859,0.352203,0.622508,0.604156,0.267611"
4,neutral_0004.png,neutral/neutral_0004.png,0,-0.078823,0.015806,15,0.15,11,0,"0.000000,0.071429,0.142857,0.214286,0.285714,0.357143,0.428571,0.500000,0.571429,0.642857,0.714286,0.785714,0.857143,0.928571,1.000000","0.418775,0.657379,0.480472,0.343777,0.716616,0.496048,0.417264,0.663727,0.617389,0.377279,0.480093,0.651195,0.370964,0.299064,0.509956"
5,neutral_0005.png,neutral/neutral_0005.png,0,-0.127748,0.015138,15,0.15,11,0,"0.000000,0.071429,0.142857,0.214286,0.285714,0.357143,0.428571,0.500000,0.571429,0.642857,0.714286,0.785714,0.857143,0.928571,1.000000","0.404803,0.452654,0.671982,0.351053,0.528593,0.544129,0.714879,0.674505,0.584263,0.540410,0.531862,0.475116,0.388332,0.417104,0.220315"
6,neutral_0006.png,neutral/neutral_0006.png,0,-0.039172,0.008583,15,0.15,11,0,"0.000000,0.071429,0.142857,0.214286,0.285714,0.357143,0.428571,0.500000,0.571429,0.642857,0.714286,0.785714,0.857143,0.928571,1.000000","0.597690,0.553683,0.325237,0.521536,0.544154,0.667364,0.445160,0.582957,0.399532,0.456813,0.389496,0.400177,0.471431,0.605727,0.539043"
7,neutral_0007.png,neutral/neutral_0007.png,0,0.208908,0.021521,15,0.15,11,0,"0.000000,0.071429,0.142857,0.214286,0.285714,0.357143,0.428571,0.500000,0.571429,0.642857,0.714286,0.785714,0.857143,0.928571,1.000000","0.426196,0.427486,0.642488,0.355444,0.343538,0.533309,0.253380,0.582727,0.576961,0.221290,0.582577,0.683094,0.740486,0.407972,0.723051"
8,neutral_0008.png,neutral/neutral_0008.png,0,-0.155559,0.014029,15,0.15,11,0,"0.000000,0.071429,0.142857,0.214286,0.285714,0.357143,0.428571,0.500000,0.571429,0.642857,0.714286,0.785714,0.857143,0.928571,1.000000","0.485745,0.478245,0.573681,0.430455,0.710415,0.515228,0.514800,0.604997,0.594588,0.515340,0.729100,0.298521,0.294819,0.333980,0.420086"
9,neutral_0009.png,neutral/neutral_0009.png,0,0.240715,0.022146,15,0.15,11,0,"0.000000,0.071429,0.142857,0.214286,0.285714,0.357143,0.428571,0.500000,0.571429,0.642857,0.714286,0.785714,0.857143,0.928571,1.000000","0.351615,0.556228,0.377580,0.187539,0.447038,0.378714,0.493538,0.753722,0.515809,0.553781,0.832562,0.284828,0.555502,0.675583,0.535961"
10,neutral_0010.png,neutral/neutral_0010.png,0,0.105388,0.012015,15,0.15,11,0,"0.000000,0.071429,0.142857,0.214286,0.285714,0.357143,0.428571,0.500000,0.571429,0.642857,0.714286,0.785714,0.857143,0.928571,1.000000","0.308905,0.544337,0.479640,0.377213,0.517925,0.330354,0.646475,0.604918,0.566835,0.680727,0.418231,0.592010,0.349584,0.574742,0.508103"
11,neutral_0011.png,neutral/neutral_0011.png,0,0.358926,0.022994,15,0.15,11,0,"0.000000,0.071429,0.142857,0.214286,0.285714,0.357143,0.428571,0.500000,0.571429,0.642857,0.714286,0.785714,0.857143,0.928571,1.000000","0.148232,0.469341,0.375909,0.569922,0.491918,0.616050,0.432577,0.308399,0.269360,0.455838,0.496872,0.712541,0.655700,0.949843,0.547498"
12,neutral_0012.png,neutral/neutral_0012.png,0,-0.138188,0.007338,15,0.15,11,0,"0.000000,0.071429,0.142857,0.214286,0.285714,0.357143,0.428571,0.500000,0.571429,0.642857,0.714286,0.785714,0.857143,0.928571,1.000000","0.724425,0.463356,0.411610,0.437637,0.479086,0.622004,0.615992,0.578526,0.423777,0.539304,0.509742,0.448789,0.453324,0.447185,0.345243"
13,neutral_0013.png,neutral/neutral_0013.png,0,0.114392,0.026917,15,0.15,11,0,"0.000000,0.071429,0.142857,0.214286,0.285714,0.357143,0.428571,0.500000,0.571429,0.642857,0.714286,0.785714,0.857143,0.928571,1.000000","0.695113,0.536055,0.569763,0.314512,0.453384,0.316210,0.318216,0.583539,0.377511,0.426288,0.416753,0.384936,0.514969,0.956564,0.636187"
