index,filename,path,slope,observed_slope,residual_variance,n,sigma,version,trend_category,size_category,dot_size_px,out_of_bounds_retries,sign_mismatch_retries,range_reject_retries,x_values,y_values
0,stim_0000.png,stim_0000.png,-0.1405,-0.156272,0.028732,8,0.15,0,Trend_Down,Small,11,0,2,16,"0.000000,0.142857,0.285714,0.428571,0.571429,0.714286,0.857143,1.000000","0.713561,0.595717,0.584350,0.406831,0.261932,0.194894,0.643744,0.598971"
1,stim_0001.png,stim_0001.png,-0.1405,-0.134938,0.012887,8,0.15,1,Trend_Down,Small,11,0,2,11,"0.000000,0.142857,0.285714,0.428571,0.571429,0.714286,0.857143,1.000000","0.646883,0.311356,0.589847,0.515399,0.609784,0.577123,0.418877,0.330731"
2,stim_0002.png,stim_0002.png,-0.1405,-0.130492,0.019443,8,0.15,2,Trend_Down,Small,11,0,5,20,"0.000000,0.142857,0.285714,0.428571,0.571429,0.714286,0.857143,1.000000","0.467165,0.396152,0.628552,0.822377,0.502668,0.373966,0.447681,0.361438"
3,stim_0003.png,stim_0003.png,-0.1405,-0.156545,0.015511,8,0.15,3,Trend_Down,Small,11,0,0,5,"0.000000,0.142857,0.285714,0.428571,0.571429,0.714286,0.857143,1.000000","0.668499,0.631295,0.290136,0.625303,0.368242,0.413825,0.587742,0.414959"
4,stim_0004.png,stim_0004.png,-0.1405,-0.138125,0.014443,8,0.15,4,Trend_Down,Small,11,0,4,20,"0.000000,0.142857,0.285714,0.428571,0.571429,0.714286,0.857143,1.000000","0.464245,0.809034,0.456291,0.403584,0.530025,0.357213,0.524541,0.455067"
5,stim_0005.png,stim_0005.png,-0.1405,-0.152536,0.014581,8,0.15,5,Trend_Down,Small,11,0,7,6,"0.000000,0.142857,0.285714,0.428571,0.571429,0.714286,0.857143,1.000000","0.545146,0.566814,0.719495,0.440444,0.345931,0.332022,0.637225,0.412923"
6,stim_0006.png,stim_0006.png,-0.1405,-0.144873,0.014801,8,0.15,6,Trend_Down,Small,11,0,3,7,"0.000000,0.142857,0.285714,0.428571,0.571429,0.714286,0.857143,1.000000","0.604774,0.606077,0.308925,0.650236,0.550806,0.313073,0.575227,0.390882"
7,stim_0007.png,stim_0007.png,-0.1405,-0.133968,0.010105,8,0.15,7,Trend_Down,Small,11,0,2,8,"0.000000,0.142857,0.285714,0.428571,0.571429,0.714286,0.857143,1.000000","0.750657,0.394980,0.553324,0.376944,0.495701,0.450042,0.517753,0.460600"
8,stim_0008.png,stim_0008.png,-0.1405,-0.158043,0.02358,10,0.15,0,Trend_Down,Small,11,0,1,3,"0.000000,0.111111,0.222222,0.333333,0.444444,0.555556,0.666667,0.777778,0.888889,1.000000","0.483078,0.573883,0.799479,0.515544,0.320018,0.279409,0.641040,0.662933,0.353630,0.370985"
9,stim_0009.png,stim_0009.png,-0.1405,-0.128093,0.01193,10,0.15,1,Trend_Down,Small,11,0,2,11,"0.000000,0.111111,0.222222,0.333333,0.444444,0.555556,0.666667,0.777778,0.888889,1.000000","0.641358,0.435074,0.595962,0.471615,0.429585,0.407577,0.719192,0.565982,0.352178,0.381477"
10,stim_0010.png,stim_0010.png,-0.1405,-0.154413,0.011116,10,0.15,2,Trend_Down,Small,11,0,3,6,"0.000000,0.111111,0.222222,0.333333,0.444444,0.555556,0.666667,0.777778,0.888889,1.000000","0.509138,0.412153,0.648010,0.630838,0.641012,0.541904,0.288557,0.501162,0.474214,0.353011"
11,stim_0011.png,stim_0011.png,-0.1405,-0.123921,0.032417,10,0.15,3,Trend_Down,Small,11,0,1,20,"0.000000,0.111111,0.222222,0.333333,0.444444,0.555556,0.666667,0.777778,0.888889,1.000000","0.533404,0.518767,0.459596,0.331113,0.893202,0.457475,0.440763,0.759516,0.344082,0.262080"
12,stim_0012.png,stim_0012.png,-0.1405,-0.131128,0.013254,10,0.15,4,Trend_Down,Small,11,0,9,33,"0.000000,0.111111,0.222222,0.333333,0.444444,0.555556,0.666667,0.777778,0.888889,1.000000","0.542010,0.618011,0.616795,0.595336,0.277645,0.389823,0.407269,0.623792,0.573348,0.355972"
13,stim_0013.png,stim_0013.png,-0.1405,-0.145628,0.031951,10,0.15,5,Trend_Down,Small,11,0,5,18,"0.000000,0.111111,0.222222,0.333333,0.444444,0.555556,0.666667,0.777778,0.888889,1.000000","0.563150,0.603280,0.405171,0.582814,0.581512,0.683412,0.212475,0.262556,0.803506,0.302124"
14,stim_0014.png,stim_0014.png,-0.1405,-0.148897,0.010321,10,0.15,6,Trend_Down,Small,11,0,5,10,"0.000000,0.111111,0.222222,0.333333,0.444444,0.555556,0.666667,0.777778,0.888889,1.000000","0.568914,0.659056,0.309795,0.602530,0.498467,0.638551,0.399937,0.481280,0.479563,0.361908"
15,stim_0015.png,stim_0015.png,-0.1405,-0.145857,0.013193,10,0.15,7,Trend_Down,Small,11,0,0,0,"0.000000,0.111111,0.222222,0.333333,0.444444,0.555556,0.666667,0.777778,0.888889,1.000000","0.402169,0.812787,0.499316,0.557952,0.552735,0.367911,0.400212,0.444248,0.547833,0.414838"
16,stim_0016.png,stim_0016.png,-0.1405,-0.152643,0.014137,12,0.15,0,Trend_Down,Small,11,0,3,1,"0.000000,0.090909,0.181818,0.272727,0.363636,0.454545,0.545455,0.636364,0.727273,0.818182,0.909091,1.000000","0.462621,0.655296,0.629113,0.533652,0.592302,0.459562,0.296566,0.450190,0.573808,0.415567,0.671700,0.259623"
