index,filename,path,slope,observed_slope,residual_variance,n,sigma,version,trend_category,size_category,dot_size_px,out_of_bounds_retries,sign_mismatch_retries,range_reject_retries,stimulus_type,x_values,y_values
0,train_0000.png,training/train_0000.png,-0.1405,-0.152298,0.016321,8,0.15,0,Trend_Down,Small,11,0,6,24,training,"0.000000,0.142857,0.285714,0.428571,0.571429,0.714286,0.857143,1.000000","0.540737,0.472413,0.648690,0.641377,0.249251,0.631846,0.473749,0.341937"
1,train_0001.png,training/train_0001.png,-0.1405,-0.132322,0.020616,10,0.15,0,Trend_Down,Small,11,0,3,6,training,"0.000000,0.111111,0.222222,0.333333,0.444444,0.555556,0.666667,0.777778,0.888889,1.000000","0.714698,0.515880,0.636235,0.329047,0.642611,0.305220,0.243406,0.506500,0.548547,0.557856"
2,train_0002.png,training/train_0002.png,-0.1405,-0.125257,0.024976,12,0.15,0,Trend_Down,Small,11,0,1,15,training,"0.000000,0.090909,0.181818,0.272727,0.363636,0.454545,0.545455,0.636364,0.727273,0.818182,0.909091,1.000000","0.680720,0.452372,0.442596,0.625959,0.369807,0.235872,0.823244,0.578165,0.607185,0.515921,0.339508,0.328650"
3,train_0003.png,training/train_0003.png,-0.1405,-0.133973,0.012729,14,0.15,0,Trend_Down,Small,11,0,0,19,training,"0.000000,0.076923,0.153846,0.230769,0.307692,0.384615,0.461538,0.538462,0.615385,0.692308,0.769231,0.846154,0.923077,1.000000","0.553554,0.636508,0.416858,0.578898,0.501963,0.649224,0.343906,0.656678,0.594563,0.399690,0.275566,0.365778,0.447092,0.579721"
4,train_0004.png,training/train_0004.png,-0.1405,-0.1479,0.020506,16,0.15,0,Trend_Down,Big,11,0,3,28,training,"0.000000,0.066667,0.133333,0.200000,0.266667,0.333333,0.400000,0.466667,0.533333,0.600000,0.666667,0.733333,0.800000,0.866667,0.933333,1.000000","0.553947,0.633552,0.438459,0.691036,0.499411,0.458333,0.461640,0.476247,0.259334,0.919835,0.567778,0.410509,0.316598,0.488542,0.397315,0.427462"
5,train_0005.png,training/train_0005.png,-0.1405,-0.142395,0.021359,18,0.15,0,Trend_Down,Big,11,0,0,0,training,"0.000000,0.058824,0.117647,0.176471,0.235294,0.294118,0.352941,0.411765,0.470588,0.529412,0.588235,0.647059,0.705882,0.764706,0.823529,0.882353,0.941176,1.000000","0.419937,0.554312,0.558640,0.715963,0.416871,0.802267,0.329571,0.505004,0.772131,0.301682,0.480229,0.605256,0.549860,0.293494,0.267022,0.415272,0.514750,0.497739"
6,train_0006.png,training/train_0006.png,-0.1405,-0.144755,0.02728,20,0.15,0,Trend_Down,Big,11,0,2,10,training,"0.000000,0.052632,0.105263,0.157895,0.210526,0.263158,0.315789,0.368421,0.421053,0.473684,0.526316,0.578947,0.631579,0.684211,0.736842,0.789474,0.842105,0.894737,0.947368,1.000000","0.560489,0.718302,0.658445,0.308182,0.526429,0.377495,0.531209,0.540924,0.406741,0.589774,0.591502,0.552470,0.414511,0.299143,0.720153,0.727821,0.207383,0.750435,0.338374,0.180219"
7,train_0007.png,training/train_0007.png,-0.1405,-0.145465,0.013437,22,0.15,0,Trend_Down,Big,11,0,0,2,training,"0.000000,0.047619,0.095238,0.142857,0.190476,0.238095,0.285714,0.333333,0.380952,0.428571,0.476190,0.523810,0.571429,0.619048,0.666667,0.714286,0.761905,0.809524,0.857143,0.904762,0.952381,1.000000","0.294762,0.524195,0.764862,0.515572,0.460504,0.553009,0.702230,0.624758,0.687553,0.445837,0.487326,0.497663,0.563650,0.338872,0.538040,0.505063,0.287560,0.523229,0.379897,0.499561,0.314996,0.490863"
8,train_0008.png,training/train_0008.png,-0.1051,-0.108785,0.015067,8,0.15,0,Trend_Down,Small,11,0,2,8,training,"0.000000,0.142857,0.285714,0.428571,0.571429,0.714286,0.857143,1.000000","0.669017,0.584634,0.542286,0.341062,0.266981,0.568360,0.448446,0.579214"
9,train_0009.png,training/train_0009.png,-0.1051,-0.096005,0.012629,10,0.15,0,Trend_Down,Small,11,0,0,5,training,"0.000000,0.111111,0.222222,0.333333,0.444444,0.555556,0.666667,0.777778,0.888889,1.000000","0.674051,0.691282,0.328903,0.535367,0.345372,0.393365,0.488669,0.478668,0.545143,0.519180"
